ModelName,ModelEthnicity
Adaora Akubilo,Nigerian
Akure Wall,Nigerian
Akure Wall,English
Alicia Hall,American
Aline Nakashima,Japanese
Aline Nakashima,Brazilian
Alyssa Miller,American
Amber Noelle Ehresmann,American
Amber Smith,Hungarian
Amber Smith,American
Amy Wesson,African
Amy Wesson,American
Ana Beatriz Barros,Portuguese
Ana Beatriz Barros,Spanish
Ana Paula Araujo,Brazilian
Ana Paula Lemes,Brazilian
Ana Paula Lemes,Argentinian
Andrea Orme,German
Angela Lindvall,American
Angie Everhart,Irish
Ann Peterson,American
Ann Simonton,American
Anna Getaneh,Ethiopian
Anne Vyalitsyna,Russian
Annette Molen,American
Annie Morton,American
Apollonia van Ravenstein,Dutch
Ariel Meredith,American
Ashley Richardson,American
Audrey Quock,Chinese
Aurelie Claudel,French
Aya Thorgren,Brazilian
Babette March,German
Bar Refaeli,Israeli
Barbara Carrera,Nicaraguan
Barbara Minty,American
Barbra Ehn,American
Beri Smither,American
Bernadette Swann,African
Bernadette Swann,American
Beyonce Knowles,African
Beyonce Knowles,American
Brandi Quinones,Puerto Rican
Brandi Quinones,Sicilian
Bridget Hall,English
Bridget Hall,Cherokee
Britta Dubbels,German
Brooklyn Decker,American
Caprice Bourret,American
Caprice Bourret,Canadian
Caprice Bourret,French
Carla Campbell,Jamaican
Carla Maria,African
Carla Maria,American
Carmen Luisa Vela,Dominican
Carol Alt,American
Carol Latimer,American
Carolyn Murphy,American
Carre Otis,American
Chandra North,American
Charissa Craig,African
Charissa Craig,American
Cheryl Tiegs,American
Christie Brinkley,American
Christine Teigen,Thai
Christine Teigen,Norwegian
Cindy Crawford,American
Cintia Dicker,Brazilian
Cintia Dicker,German
Coco Mitchell,African
Coco Mitchell,American
Crystal Renn,American
Cynthia Korman,American
Damaris Lewis,African
Damaris Lewis,American
Daniela Pestova,Czech
Daniella Sarahyba,Lebanese
Daniella Sarahyba,Spanish
Dara Torres,American
Dayle Haddon,Canadian
Dominique Piek,South African
Ehrinn Cummings,Canadian
Ehrinn Cummings,German
Elle Macpherson,Australian
Elsa Benitez,Mexican
Emily DiDonato,Italian
Emily DiDonato,Irish
Erin Gray,American
Estella Warren,Canadian
Estelle Lefebure,French
Esti Ginzburg,Israeli
Eva Herzigova,Czech
Fernanda Motta,Brazilian
Fernanda Tavares,Brazilian
Fernanda Tavares,Portuguese
Frankie Rayder,American
Gabrielle Reece,American
Gail O'Neill,African
Gail O'Neill,American
Genevieve Morton,South African
Georgianna Robertson,Indian
Georgianna Robertson,Jamaican
Georgianna Robertson,Scottish
Hannah Davis,Virgin Islander
Hannah Davis,American
Heidi Klum,German
Hilary Rhoda,American
Hilary Safire,American
Hina Tama,Polynesian
Ingrid Seynhaeve,Belgian
Irina Gerasimenko,Russian
Irina Pantaeva,Eskimo
Irina Shayk,Russian
Isabeli Fontana,Italian
Izabel Goulart,Brazilian
Izabel Goulart,Italian
Jamee Becker,American
Jane Gill,American
Janelle Fishman,Israeli
Jarah Mariano,Hawaiian
Jarah Mariano,Korean
Jarah Mariano,Chinese
Jean Pelton,American
Jeisa Chiminazzo,Italian
Jeisa Chiminazzo,German
Jenna de Rosnay,American
Jenny Brunt,British
Jesse Sanders,American
Jessica Gomes,Singaporean
Jessica Gomes,Portuguese
Jessica Hart,Australian
Jessica Perez,Costa Rican
Jessica Perez,American
Jessica Van Der Steen,Belgian
Jessica White,African
Jessica White,American
Jocelyn Javits,American
Josie Maran,American
Judit Masco,Spanish
Juliana Martins,Brazilian
Julie Henderson,American
Julie Ordon,Swiss
Kadra Ahmed Omar,Ethiopian
Kara Young,Indonesian
Karen Alexander,African
Karen Alexander,American
Karen Mulder,Dutch
Kate Bock,Canadian
Kate James,Australian
Kate Upton,American
Kathryn Redding,American
Kathy Ireland,American
Kathy Loghry,American
Kay Hughes,American
Kelly Emberg,American
Kenza Fourati,Tunisian
Kim Alexis,American
Kim Cloutier,Canadian
Kim Lemanton,American
Kirby Griffin,African
Kirby Griffin,American
Kristy Hinze,Australian
Kylie Bax,New Zealand
Laetitia Casta,French
Laetitia Casta,Italian
Lana Ogilvie,African
Lana Ogilvie,Canadian
Lena Kansbod,Swedish
Libby Otis,American
Lorraine Pascale,African
Louise Forsling,Swedish
Louise Vyent,Surinese
Louise Vyent,Dutch
Lucia Dvorska,Slovakian
Lujan Fernandez,Argentinian
Lynn Brophy,American
Maggie Smith,American
Malia Jones,Hawaiian
Malia Jones,Spanish
Malia Jones,Filipino
Malia Jones,German
Malia Jones,English
Mallory Snyder,American
Manon von Gerkan,German
Margaux Hemingway,American
Maria Joao,Brazilian
Maria von Hartz,American
Marilyn Tindall,American
Marisa Miller,American
Mary Sturdevant,American
May Andersen,Danish
Melania Knauss,Austrian
Melania Knauss,Serbian
Melania Knauss,Slovenian
Melissa Baker,Greek
Melissa Haro,American
Melissa Keller,American
Michaela Bercu,Israeli
Micheline Lee,Unknown
Michelle Alves,Brazilian
Michelle Behennah,British
Michelle Lombardo,American
Michelle Vawer,Canadian
Molly Sims,Cherokee
Molly Sims,American
Monica Bellucci,Italian
Monika Schnarre,Canadian
Monika Schnarre,German
Monique Moura de Carvalho,Brazilian
Naomi Campbell,Chinese
Naomi Campbell,Jamaican
Natasha Barnard,South African
Navia Nguyenm,American
Navia Nguyenm,Vietnamese
Niki Taylor,American
Nina Agdal,Danish
Noemie Lenoir,French
Noemie Lenoir,Caribbean
Oluchi Onweagba,African
Pania Rose,Maori
Pania Rose,Dutch
Patricia Velasquez,Native American
Paula Warner,American
Paulette Kieon,Polynesian
Paulina Porizkova,Czech
Petra Nemcova,Czech
Pixie Petersen,American
Quiana Grant,African
Quiana Grant,American
Rachel Hunter,New Zealand
Rachel Roberts,Canadian
Raica Oliveira,Brazilian
Rebecca Romijn,American
Rebecca Romijn,Dutch
Reka Ebergenyi,Hungarian
Renee Simonsen,Danish
Rita Tellone,American
Roberta Little,African
Roberta Little,American
Roshumba Williams,African
Roshumba Williams,American
Rosie de la Cruz,American
Sabrina Barnett,Italian
Sabrina Barnett,Haitian
Sabrina Barnett,Cuban
Samantha Jones,American
Sarah Nursey,American
Sarah O'Hare,British
Selita Ebanks,Native American
Selita Ebanks,Irish
Selita Ebanks,African
Selita Ebanks,American
Shakara Ledard,Bahamian
Shakara Ledard,French
Shana Zadrick,English
Shana Zadrick,German
Shannan Click,American
Shelia Roscoe,American
Shirley Mallmann,German
Sonia Dara,Indian
Stacey Williams,American
Steffi Graf,German
Stephanie Seymour,American
Sue Peterson,American
Sunny Bippus,American
Suzy Smith,American
Talisa Soto,Puerto Rican
Tamara Spoelder,African
Tanga Moreau,Belgian
Tannia Rubiano,Colombian
Tori Praver,American
Turia Mau,Polynesian
Tyra Banks,African
Tyra Banks,American
Valeria Mazza,Argentinian
Vanessa Lorenzo,Spanish
Vendela Kirsebom,Norwegian
Vendela Kirsebom,Turkish
Veronica Blume,German
Veronica Blume,Uruguayan
Veronica Varekova,Czech
Vicky Howard,American
Yamila Diaz,Lebanese
Yamila Diaz,Spanish
Yasmeen Ghauri,German
Yasmeen Ghauri,Pakistani
Yasmin Brunet,Brazilian
Yesica Toscanini,Argentinian
Yesica Toscanini,Italian
Yvette Sylvander,Swedish
Yvonne Sylvander,Swedish
Zoe Duchesne,Canadian
