id,url,model,year,type,photo,total.year.photo
1,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/1/8,carre_otis,2000,model,1,8
2,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/2/8,carre_otis,2000,model,2,8
3,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/3/8,carre_otis,2000,model,3,8
4,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/4/8,carre_otis,2000,model,4,8
5,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/5/8,carre_otis,2000,model,5,8
6,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/6/8,carre_otis,2000,model,6,8
7,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/7/8,carre_otis,2000,model,7,8
8,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/carre_otis/2000/model/8/8,carre_otis,2000,model,8,8
9,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/1/6,daniela_pestova,2000,model,1,6
10,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/2/6,daniela_pestova,2000,model,2,6
11,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/3/6,daniela_pestova,2000,model,3,6
12,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/4/6,daniela_pestova,2000,model,4,6
13,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/5/6,daniela_pestova,2000,model,5,6
14,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2000/model/6/6,daniela_pestova,2000,model,6,6
15,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/1/6,estella_warren,2000,model,1,6
16,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/2/6,estella_warren,2000,model,2,6
17,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/3/6,estella_warren,2000,model,3,6
18,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/4/6,estella_warren,2000,model,4,6
19,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/5/6,estella_warren,2000,model,5,6
20,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/estella_warren/2000/model/6/6,estella_warren,2000,model,6,6
21,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/gabrielle_reece/2000/model/1/1,gabrielle_reece,2000,model,1,1
22,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/1/7,heidi_klum,2000,model,1,7
23,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/2/7,heidi_klum,2000,model,2,7
24,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/3/7,heidi_klum,2000,model,3,7
25,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/4/7,heidi_klum,2000,model,4,7
26,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/5/7,heidi_klum,2000,model,5,7
27,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/6/7,heidi_klum,2000,model,6,7
28,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/heidi_klum/2000/model/7/7,heidi_klum,2000,model,7,7
29,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/1/6,kristy_hinze,2000,model,1,6
30,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/2/6,kristy_hinze,2000,model,2,6
31,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/3/6,kristy_hinze,2000,model,3,6
32,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/4/6,kristy_hinze,2000,model,4,6
33,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/5/6,kristy_hinze,2000,model,5,6
34,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kristy_hinze/2000/model/6/6,kristy_hinze,2000,model,6,6
35,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/1/6,kylie_bax,2000,model,1,6
36,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/2/6,kylie_bax,2000,model,2,6
37,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/3/6,kylie_bax,2000,model,3,6
38,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/4/6,kylie_bax,2000,model,4,6
39,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/5/6,kylie_bax,2000,model,5,6
40,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/kylie_bax/2000/model/6/6,kylie_bax,2000,model,6,6
41,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/1/6,laetitia_casta,2000,model,1,6
42,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/2/6,laetitia_casta,2000,model,2,6
43,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/3/6,laetitia_casta,2000,model,3,6
44,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/4/6,laetitia_casta,2000,model,4,6
45,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/5/6,laetitia_casta,2000,model,5,6
46,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/laetitia_casta/2000/model/6/6,laetitia_casta,2000,model,6,6
47,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/1/6,lujan_fernandez,2000,model,1,6
48,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/2/6,lujan_fernandez,2000,model,2,6
49,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/3/6,lujan_fernandez,2000,model,3,6
50,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/4/6,lujan_fernandez,2000,model,4,6
51,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/5/6,lujan_fernandez,2000,model,5,6
52,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/6/6,lujan_fernandez,2000,model,6,6
53,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/1/6,michelle_behennah,2000,model,1,6
54,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/2/6,michelle_behennah,2000,model,2,6
55,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/3/6,michelle_behennah,2000,model,3,6
56,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/4/6,michelle_behennah,2000,model,4,6
57,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/5/6,michelle_behennah,2000,model,5,6
58,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/6/6,michelle_behennah,2000,model,6,6
59,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/1/8,noemie_lenoir,2000,model,1,8
60,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/2/8,noemie_lenoir,2000,model,2,8
61,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/3/8,noemie_lenoir,2000,model,3,8
62,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/4/8,noemie_lenoir,2000,model,4,8
63,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/5/8,noemie_lenoir,2000,model,5,8
64,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/6/8,noemie_lenoir,2000,model,6,8
65,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/7/8,noemie_lenoir,2000,model,7,8
66,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/8/8,noemie_lenoir,2000,model,8,8
