,Governing_Body,Variable,Variable_Type,Facet_Value,Facet_Type,Value_Type,Source,Period,Date,Value
1,PGA,Percentage of Fans,Fan Composition,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.63
2,PGA,Percentage of Fans,Fan Composition,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.37
3,PGA,Percentage of Fans,Fan Composition,Age,18-to-34,Percent of Total,ESPN Sports Poll,2012,NA,0.24
4,PGA,Percentage of Fans,Fan Composition,Age,35-to-54,Percent of Total,ESPN Sports Poll,2012,NA,0.38
5,PGA,Percentage of Fans,Fan Composition,Ethnicity,55 and older,Percent of Total,ESPN Sports Poll,2012,NA,0.38
6,PGA,Percentage of Fans,Fan Composition,Ethnicity,White,Percent of Total,ESPN Sports Poll,2012,NA,0.85
7,PGA,Percentage of Fans,Fan Composition,Ethnicity,Black,Percent of Total,ESPN Sports Poll,2012,NA,0.1
8,PGA,Percentage of Fans,Fan Composition,Ethnicity,Asian,Percent of Total,ESPN Sports Poll,2012,NA,0.02
9,PGA,Percentage of Fans,Fan Composition,Ethnicity,Hispanic,Percent of Total,ESPN Sports Poll,2012,NA,0.07
10,PGA,Percentage of Fans,Fan Composition,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.03
11,PGA,Percentage of Fans,Fan Composition,Ethnicity,"Less than $25,000",Percent of Total,ESPN Sports Poll,2012,NA,0.12
12,PGA,Percentage of Fans,Fan Composition,Income,"$25,000 to $34,999",Percent of Total,ESPN Sports Poll,2012,NA,0.1
13,PGA,Percentage of Fans,Fan Composition,Income,"$35,000 to $49,999",Percent of Total,ESPN Sports Poll,2012,NA,0.19
14,PGA,Percentage of Fans,Fan Composition,Income,"$50,000 to $74,999",Percent of Total,ESPN Sports Poll,2012,NA,0.2
15,PGA,Percentage of Fans,Fan Composition,Income,"$75,000 and above",Percent of Total,ESPN Sports Poll,2012,NA,0.39
16,PGA,Percentage of Fans,Fan Composition,Income,"$100,000 and above",Percent of Total,ESPN Sports Poll,2012,NA,0.22
17,PGA,Percentage of Fans,Fan Composition,Income,"$250,000 and above",Percent of Total,ESPN Sports Poll,2012,NA,0.03
18,LPGA,Percentage of Fans,Fan Composition,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.59
19,LPGA,Percentage of Fans,Fan Composition,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.41
20,LPGA,Percentage of Fans,Fan Composition,Age,18-to-34,Percent of Total,ESPN Sports Poll,2012,NA,0.21
21,LPGA,Percentage of Fans,Fan Composition,Age,35-to-54,Percent of Total,ESPN Sports Poll,2012,NA,0.38
22,LPGA,Percentage of Fans,Fan Composition,Ethnicity,55 and older,Percent of Total,ESPN Sports Poll,2012,NA,0.41
23,LPGA,Percentage of Fans,Fan Composition,Ethnicity,White,Percent of Total,ESPN Sports Poll,2012,NA,0.85
24,LPGA,Percentage of Fans,Fan Composition,Ethnicity,Black,Percent of Total,ESPN Sports Poll,2012,NA,0.1
25,LPGA,Percentage of Fans,Fan Composition,Ethnicity,Asian,Percent of Total,ESPN Sports Poll,2012,NA,0.03
26,LPGA,Percentage of Fans,Fan Composition,Ethnicity,Hispanic,Percent of Total,ESPN Sports Poll,2012,NA,0.07
27,LPGA,Percentage of Fans,Fan Composition,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.02
28,LPGA,Percentage of Fans,Fan Composition,Ethnicity,"Less than $25,000",Percent of Total,ESPN Sports Poll,2012,NA,0.12
29,LPGA,Percentage of Fans,Fan Composition,Income,"$25,000 to $34,999",Percent of Total,ESPN Sports Poll,2012,NA,0.1
30,LPGA,Percentage of Fans,Fan Composition,Income,"$35,000 to $49,999",Percent of Total,ESPN Sports Poll,2012,NA,0.2
31,LPGA,Percentage of Fans,Fan Composition,Income,"$50,000 to $74,999",Percent of Total,ESPN Sports Poll,2012,NA,0.19
32,LPGA,Percentage of Fans,Fan Composition,Income,"$75,000 and above",Percent of Total,ESPN Sports Poll,2012,NA,0.39
33,LPGA,Percentage of Fans,Fan Composition,Income,"$100,000 and above",Percent of Total,ESPN Sports Poll,2012,NA,0.23
34,LPGA,Percentage of Fans,Fan Composition,Income,"$250,000 and above",Percent of Total,ESPN Sports Poll,2012,NA,0.03
