,Sport,Governing_Body,Period,Value,Source,Variable,Value_Type
1,Auto Racing,NA,1985,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
2,Professional Baseball,MLB,1985,0.23,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
3,Bowling,NA,1985,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
4,Boxing,NA,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
5,College Football,NCAA Men's Football,1985,0.1,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
6,Professional Hockey,NHL,1985,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
7,Horse Racing,NA,1985,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
8,Men's College Basketball,NCAA Men's Basketball,1985,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
9,Men's Professional Golf,PGA,1985,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
10,Men's Professional Basketball,NBA,1985,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
11,Men's Professional Soccer,NA,1985,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
12,Men's Professional Tennis,USTA,1985,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
13,Not sure,NA,1985,0.005,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
14,Professional Football,NFL,1985,0.24,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
15,Swimming,NA,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
16,Track & Field,NA,1985,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
17,Women's College Basketball,NCAA Women's Basketball,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
18,Women's Professional Golf,LPGA,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
19,Women's Professional Basketball,WNBA,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
20,Women's Professional Soccer,NA,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
21,Women's Professional Tennis,WTA,1985,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
22,Auto Racing,NA,1989,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
23,Professional Baseball,MLB,1989,0.19,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
24,Bowling,NA,1989,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
25,Boxing,NA,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
26,College Football,NCAA Men's Football,1989,0.06,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
27,Professional Hockey,NHL,1989,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
28,Horse Racing,NA,1989,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
29,Men's College Basketball,NCAA Men's Basketball,1989,0.1,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
30,Men's Professional Golf,PGA,1989,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
31,Men's Professional Basketball,NBA,1989,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
32,Men's Professional Soccer,NA,1989,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
33,Men's Professional Tennis,USTA,1989,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
34,Not sure,NA,1989,0.01,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
35,Professional Football,NFL,1989,0.26,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
36,Swimming,NA,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
37,Track & Field,NA,1989,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
38,Women's College Basketball,NCAA Women's Basketball,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
39,Women's Professional Golf,LPGA,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
40,Women's Professional Basketball,WNBA,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
41,Women's Professional Soccer,NA,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
42,Women's Professional Tennis,WTA,1989,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
43,Auto Racing,NA,1992,0.05,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
44,Professional Baseball,MLB,1992,0.21,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
45,Bowling,NA,1992,0.02,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
46,Boxing,NA,1992,NA,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
47,College Football,NCAA Men's Football,1992,0.07,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
48,Professional Hockey,NHL,1992,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
49,Horse Racing,NA,1992,0.03,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
50,Men's College Basketball,NCAA Men's Basketball,1992,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
51,Men's Professional Golf,PGA,1992,0.04,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
52,Men's Professional Basketball,NBA,1992,0.08,Harris Interactive,Active Fan of Sport/League,Percentage of Survey
