,Governing_Body,Variable,Variable_Type,Facet_Type,Facet_Value,Value_Type,Source,Period,Value
1,NBA,NBA Fans,Fan Composition,Gender,Male,Percentage of Total,ESPN Sports Poll,2012,0.6
2,NBA,NBA Fans,Fan Composition,Gender,Female,Percent of Total,ESPN Sports Poll,2012,0.4
3,NBA,NBA Fans,Fan Composition,Age,12-to-17,Percent of Total,ESPN Sports Poll,2012,0.16
4,NBA,NBA Fans,Fan Composition,Age,18-to-24,Percent of Total,ESPN Sports Poll,2012,0.15
5,NBA,NBA Fans,Fan Composition,Age,25-to-34,Percent of Total,ESPN Sports Poll,2012,0.18
6,NBA,NBA Fans,Fan Composition,Age,35-to-44,Percent of Total,ESPN Sports Poll,2012,0.13
7,NBA,NBA Fans,Fan Composition,Age,45-to-54,Percent of Total,ESPN Sports Poll,2012,0.18
8,NBA,NBA Fans,Fan Composition,Age,55 and older,Percent of Total,ESPN Sports Poll,2012,0.21
9,NBA,NBA Fans,Fan Composition,Ethnicity,Caucasian,Percent of Total,ESPN Sports Poll,2012,0.65
10,NBA,NBA Fans,Fan Composition,Ethnicity,Hispanic-American,Percent of Total,ESPN Sports Poll,2012,0.15
11,NBA,NBA Fans,Fan Composition,Ethnicity,African-American,Percent of Total,ESPN Sports Poll,2012,0.14
12,NBA,NBA Fans,Fan Composition,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,0.06
