,Governing_Body,Variable,Facet_Type,Facet_Value,Value_Type,Source,Period,Date,Value
1,NHL,NHL Fans,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.64
2,NHL,NHL Fans,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.36
3,NHL,NHL Fans,Age,12-to-17,Percent of Total,ESPN Sports Poll,2012,NA,0.13
4,NHL,NHL Fans,Age,18-to-24,Percent of Total,ESPN Sports Poll,2012,NA,0.11
5,NHL,NHL Fans,Age,25-to-34,Percent of Total,ESPN Sports Poll,2012,NA,0.18
6,NHL,NHL Fans,Age,35-to-44,Percent of Total,ESPN Sports Poll,2012,NA,0.21
7,NHL,NHL Fans,Age,45-to-54,Percent of Total,ESPN Sports Poll,2012,NA,0.2
8,NHL,NHL Fans,Age,55 and older,Percent of Total,ESPN Sports Poll,2012,NA,0.17
9,NHL,NHL Fans,Ethnicity,Caucasian,Percent of Total,ESPN Sports Poll,2012,NA,0.78
10,NHL,NHL Fans,Ethnicity,Hispanic-American,Percent of Total,ESPN Sports Poll,2012,NA,0.09
11,NHL,NHL Fans,Ethnicity,African-American,Percent of Total,ESPN Sports Poll,2012,NA,0.08
12,NHL,NHL Fans,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.05
