,Governing_Body,Event,Sponsorship_Type,Period,Company,Contract_Type,Value,Value_Type,Detail
1,Indycar,Indianapolis 500,Title Sponsor,2012,Izod,Annual License,7,Dollars_Millions,6 Year Deal Signed in November 2009
2,Indycar,Indianapolis 500,Official,2012,AirMed,NA,NA,NA,NA
3,Indycar,Indianapolis 500,Official,2012,Apex Brazil,NA,NA,NA,NA
4,Indycar,Indianapolis 500,Official,2012,Avis,NA,NA,NA,NA
5,Indycar,Indianapolis 500,Official,2012,Brembo,NA,NA,NA,NA
6,Indycar,Indianapolis 500,Official,2012,BorgWarner,BorgWarner Turbo Systems,NA,NA,NA
7,Indycar,Indianapolis 500,Official,2012,Cenvo,NA,NA,NA,NA
8,Indycar,Indianapolis 500,Official,2012,General Motors,Chevrolet,NA,NA,NA
9,Indycar,Indianapolis 500,Official,2012,Dallara,NA,NA,NA,NA
10,Indycar,Indianapolis 500,Official,2012,DB Schenker,NA,NA,NA,NA
11,Indycar,Indianapolis 500,Official,2012,Exact Target,NA,NA,NA,NA
12,Indycar,Indianapolis 500,Official,2012,Featherlite Trailers,NA,NA,NA,NA
13,Indycar,Indianapolis 500,Official,2012,Firestone,NA,NA,NA,NA
14,Indycar,Indianapolis 500,Official,2012,Fuzzy‰Ûªs Ultra Premium Vodka,NA,NA,NA,NA
15,Indycar,Indianapolis 500,Official,2012,Green Fuel Technologies,NA,NA,NA,NA
16,Indycar,Indianapolis 500,Official,2012,Holmatro,NA,NA,NA,NA
17,Indycar,Indianapolis 500,Official,2012,Honda,NA,NA,NA,NA
18,Indycar,Indianapolis 500,Official,2012,Honda,Honda Generators,NA,NA,NA
19,Indycar,Indianapolis 500,Official,2012,IZOD,NA,NA,NA,NA
20,Indycar,Indianapolis 500,Official,2012,Just Pop In,NA,NA,NA,NA
21,Indycar,Indianapolis 500,Official,2012,Kymco Motorcycles Scooters & ATVs,NA,NA,NA,NA
22,Indycar,Indianapolis 500,Official,2012,Lincoln Electric,NA,NA,NA,NA
23,Indycar,Indianapolis 500,Official,2012,Lotus,NA,NA,NA,NA
24,Indycar,Indianapolis 500,Official,2012,Novo Nordisk,NA,NA,NA,NA
25,Indycar,Indianapolis 500,Official,2012,Ortsbo,NA,NA,NA,NA
26,Indycar,Indianapolis 500,Official,2012,Peak Motor Oil,NA,NA,NA,NA
27,Indycar,Indianapolis 500,Official,2012,PerkinElmer,NA,NA,NA,NA
28,Indycar,Indianapolis 500,Official,2012,Philips,NA,NA,NA,NA
29,Indycar,Indianapolis 500,Official,2012,Racing Electronics,NA,NA,NA,NA
30,Indycar,Indianapolis 500,Official,2012,Safety-Kleen,NA,NA,NA,NA
31,Indycar,Indianapolis 500,Official,2012,Sheraton,NA,NA,NA,NA
32,Indycar,Indianapolis 500,Official,2012,Sirius XM Radio,NA,NA,NA,NA
33,Indycar,Indianapolis 500,Official,2012,Skip Barber Racing School,NA,NA,NA,NA
34,Indycar,Indianapolis 500,Official,2012,Sunoco,NA,NA,NA,NA
35,Indycar,Indianapolis 500,Official,2012,Victorinox,NA,NA,NA,NA
36,Indycar,Indianapolis 500,Official,2012,Wenger,NA,NA,NA,NA
37,Indycar,Indianapolis 500,Official,2012,XYQ,NA,NA,NA,NA
38,Indycar,Indianapolis 500,Promotional,2012,Boy Scouts of America,NA,NA,NA,NA
39,Indycar,Indianapolis 500,Promotional,2012,Clabber Girl,NA,NA,NA,NA
40,Indycar,Indianapolis 500,Promotional,2012,Driver‰Ûªs Edge,NA,NA,NA,NA
41,Indycar,Indianapolis 500,Promotional,2012,Herff Jones,NA,NA,NA,NA
42,Indycar,Indianapolis 500,Promotional,2012,Hot Wheels,NA,NA,NA,NA
43,Indycar,Indianapolis 500,Promotional,2012,Immersion Media,NA,NA,NA,NA
44,Indycar,Indianapolis 500,Promotional,2012,iRacing.com,NA,NA,NA,NA
45,Indycar,Indianapolis 500,Promotional,2012,Jesubi,NA,NA,NA,NA
46,Indycar,Indianapolis 500,Promotional,2012,Larsen‰Ûªs,NA,NA,NA,NA
47,Indycar,Indianapolis 500,Promotional,2012,Magnum Essential Equipment,NA,NA,NA,NA
48,Indycar,Indianapolis 500,Promotional,2012,National Guard,NA,NA,NA,NA
49,Indycar,Indianapolis 500,Promotional,2012,Trim Nutrition,NA,NA,NA,NA
50,Indycar,Indianapolis 500,Promotional,2012,Xtrac,NA,NA,NA,NA
