,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand
1,MLB,Official,2012,Anheuser-Busch,NA
2,MLB,Official,2012,Bank of America,NA
3,MLB,Official,2012,Bayer,One a Day
4,MLB,Official,2012,FIA Card Service,NA
5,MLB,Official,2012,Firestone,NA
6,MLB,Official,2012,Frito Lay,NA
7,MLB,Official,2012,Gatorade,NA
8,MLB,Official,2012,Gillette,NA
9,MLB,Official,2012,General Motors,Chevrolet
10,MLB,Official,2012,InterContinental Hotels Group,NA
11,MLB,Official,2012,KPMG,NA
12,MLB,Official,2012,MasterCardWorldwide,NA
13,MLB,Official,2012,Nike,NA
14,MLB,Official,2012,Pepsi-Cola,NA
15,MLB,Official,2012,Scotts,NA
16,MLB,Official,2012,State Farm,NA
17,MLB,Official,2012,Taco Bell,NA
18,MLB,Official,2012,Sirius XM Satellite Radio,NA
19,MLB,MLB.com,2012,Anheuser-Busch,NA
20,MLB,MLB.com,2012,Bank of America,NA
21,MLB,MLB.com,2012,Bayer,One a Day
22,MLB,MLB.com,2012,Captain Morgan,NA
23,MLB,MLB.com,2012,Cisco,NA
24,MLB,MLB.com,2012,Dove,NA
25,MLB,MLB.com,2012,FIA Card Service,NA
26,MLB,MLB.com,2012,Firestone,NA
27,MLB,MLB.com,2012,Frito-Lay,NA
28,MLB,MLB.com,2012,Gatorade,NA
29,MLB,MLB.com,2012,General Motors,Chevrolet
30,MLB,MLB.com,2012,Gillette,NA
31,MLB,MLB.com,2012,InterContinental Hotels Group,Holiday Inn
32,MLB,MLB.com,2012,MasterCard International,NA
33,MLB,MLB.com,2012,Nike,NA
34,MLB,MLB.com,2012,Panasonic,NA
35,MLB,MLB.com,2012,Pepsi-Cola,NA
36,MLB,MLB.com,2012,Prudential,NA
37,MLB,MLB.com,2012,Scotts,NA
38,MLB,MLB.com,2012,Sears,NA
39,MLB,MLB.com,2012,Sports Illustrated,NA
40,MLB,MLB.com,2012,Sprint,NA
41,MLB,MLB.com,2012,State Farm,NA
42,MLB,MLB.com,2012,Under Armour,NA
43,MLB,MLB.com,2012,U.S. Army,NA
44,MLB,MLB.com,2012,U.S. Marines Corps,NA
45,NA,NA,NA,NA,NA
