,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand,Contract_Type,Value,Value_Type,Detail
1,NASCAR,Official,2012,3M,NA,NA,NA,NA,NA
2,NASCAR,Official,2012,Bank of America,NA,NA,NA,NA,NA
3,NASCAR,Official,2012,Camping World,NA,NA,NA,NA,NA
4,NASCAR,Official,2012,Canadian Tire,NA,NA,NA,NA,NA
5,NASCAR,Official,2012,General Motors,Chevrolet,NA,NA,NA,NA
6,NASCAR,Official,2012,Coca-Cola,NA,NA,NA,NA,NA
7,NASCAR,Official,2012,Molson Coors,Coors Light,NA,NA,NA,NA
8,NASCAR,Official,2012,DirecTV,NA,NA,NA,NA,NA
9,NASCAR,Official,2012,Chrysler LLC,Dodge,NA,NA,NA,NA
10,NASCAR,Official,2012,Drive4COPD,NA,NA,NA,NA,NA
11,NASCAR,Official,2012,DuPont,NA,NA,NA,NA,NA
12,NASCAR,Official,2012,Exide,NA,NA,NA,NA,NA
13,NASCAR,Official,2012,Featherlite,Featherlite Coach,NA,NA,NA,NA
14,NASCAR,Official,2012,Featherlite,Featherlite Trailers,NA,NA,NA,NA
15,NASCAR,Official,2012,Ford,NA,NA,NA,NA,NA
16,NASCAR,Official,2012,Freescale,NA,NA,NA,NA,NA
17,NASCAR,Official,2012,Freightliner Trucks,NA,NA,NA,NA,NA
18,NASCAR,Official,2012,Growth Energy,NA,NA,NA,NA,NA
19,NASCAR,Official,2012,Proctor & Gamble,Gillette,NA,NA,NA,NA
20,NASCAR,Official,2012,Goodyear,NA,NA,NA,NA,NA
21,NASCAR,Official,2012,Proctor & Gamble,Head & Shoulders,NA,NA,NA,NA
22,NASCAR,Official,2012,Mars,NA,NA,NA,NA,NA
23,NASCAR,Official,2012,Exxon Mobil,Mobil 1,NA,NA,NA,NA
24,NASCAR,Official,2012,McLaren,NA,NA,NA,NA,NA
25,NASCAR,Official,2012,Kraft,Nabisco,NA,NA,NA,NA
26,NASCAR,Official,2012,National Corn Growers Assoc.,NA,NA,NA,NA,NA
27,NASCAR,Official,2012,Nationwide Insurance,NA,NA,NA,NA,NA
28,NASCAR,Official,2012,Office Depot,NA,NA,NA,NA,NA
29,NASCAR,Official,2012,Proctor & Gamble,Old Spice,NA,NA,NA,NA
30,NASCAR,Official,2012,Safety-Kleen,NA,NA,NA,NA,NA
31,NASCAR,Official,2012,Sirius XM Radio,NA,NA,NA,NA,NA
32,NASCAR,Official,2012,Sprint,NA,NA,NA,NA,NA
33,NASCAR,Official,2012,Sunoco,NA,NA,NA,NA,NA
34,NASCAR,Official,2012,Toyota,NA,NA,NA,NA,NA
35,NASCAR,Official,2012,Unilever,NA,NA,NA,NA,NA
36,NASCAR,Official,2012,UPS,NA,NA,NA,NA,NA
37,NASCAR,Official,2012,USG,NA,NA,NA,NA,NA
38,NASCAR,Official,2012,Visa,NA,NA,NA,NA,NA
39,NASCAR,Official,2012,K & N,NA,NA,NA,NA,NA
40,NASCAR,Official,2012,Whelen Engineering,NA,NA,NA,NA,NA
41,NASCAR,Title,2012,Nationwide Insurance,NA,Annual License,10,Dollars_Millions,7 Year Deal Signed in 2007 Lasting Through 2014 Season
