,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand
1,NBA,Official,2011-2012,Adidas,NA
2,NBA,Official,2011-2012,AutoTrader.com,NA
3,NBA,Official,2011-2012,Anheuser-Busch,Budweiser 
4,NBA,Official,2011-2012,BBVA,NA
5,NBA,Official,2011-2012,Cisco,NA
6,NBA,Official,2011-2012,Coca-Cola Co.,Dasani 
7,NBA,Official,2011-2012,EA Sports,NA
8,NBA,Official,2011-2012,FedEx,NA
9,NBA,Official,2011-2012,PepsiCo,Gatorade 
10,NBA,Official,2011-2012,Hewlett-Packard,NA
11,NBA,Official,2011-2012,Haier,NA
12,NBA,Official,2011-2012,Kia Motors,NA
13,NBA,Official,2011-2012,Novartis Pharmaceutical,Lamasil 
14,NBA,Official,2011-2012,Lenovo,NA
15,NBA,Official,2011-2012,McDonald‰Ûªs,NA
16,NBA,Official,2011-2012,Nike,NA
17,NBA,Official,2011-2012,Coca-Cola Co.,Minute Maid 
18,NBA,Official,2011-2012,Right Guard,NA
19,NBA,Official,2011-2012,Southwest Airlines,NA
20,NBA,Official,2011-2012,Spaulding,NA
21,NBA,Official,2011-2012,Coca-Cola Co.,Sprite 
22,NBA,Official,2011-2012,T-Mobile,NA
23,NBA,Official,2011-2012,Toyota,NA
24,NBA,Official,2011-2012,Wrigley,NA
25,NBA,Official,2011-2012,Sirius XM Satellite Radio,NA
