,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand
1,NFL,Official,2011-2012,Bank of America,NA
2,NFL,Official,2011-2012,Bridgestone,NA
3,NFL,Official,2011-2012,Campbell Soup,NA
4,NFL,Official,2011-2012,Cannon,Canon USA
5,NFL,Official,2011-2012,FedEx,NA
6,NFL,Official,2011-2012,PepsiCo,Frito-Lay
7,NFL,Official,2011-2012,Gatorade,Gatorade
8,NFL,Official,2011-2012,General Motors,NA
9,NFL,Official,2011-2012,IBM,NA
10,NFL,Official,2011-2012,Mars Snackfood,NA
11,NFL,Official,2011-2012,MillerCoors ,Coors Light
12,NFL,Official,2011-2012,Monster.com,NA
13,NFL,Official,2011-2012,Motorola,NA
14,NFL,Official,2011-2012,National Dairy Council,NA
15,NFL,Official,2011-2012,National Guard,NA
16,NFL,Official,2011-2012,News America,NA
17,NFL,Official,2011-2012,PepsiCo,Pepsi
18,NFL,Official,2011-2012,Proctor & Gamble,Prilosec OTC
19,NFL,Official,2011-2012,Proctor & Gamble,Head & Shoulders
20,NFL,Official,2011-2012,Proctor & Gamble,Old Spice
21,NFL,Official,2011-2012,Samsung,NA
22,NFL,Official,2011-2012,Sprint,NA
23,NFL,Official,2011-2012,State Farm,NA
24,NFL,Official,2011-2012,Ticketmaster,NA
25,NFL,Official,2011-2012,Tropicana,NA
26,NFL,Official,2011-2012,Visa,NA
