,Governing_Body,Event,Sponsorship_Type,Period,Company
1,LeMans,American LeMans Series,Official,2012,Autoweek
2,LeMans,American LeMans Series,Official,2012,BMW
3,LeMans,American LeMans Series,Official,2012,Chevrolet
4,LeMans,American LeMans Series,Official,2012,Delivra
5,LeMans,American LeMans Series,Official,2012,Deltran Battery Tender
6,LeMans,American LeMans Series,Official,2012,Dunlap
7,LeMans,American LeMans Series,Official,2012,Flaken
8,LeMans,American LeMans Series,Official,2012,Forza Motorsport
9,LeMans,American LeMans Series,Official,2012,IHG
10,LeMans,American LeMans Series,Official,2012,Mazda
11,LeMans,American LeMans Series,Official,2012,Michelin
12,LeMans,American LeMans Series,Official,2012,MucOff
13,LeMans,American LeMans Series,Official,2012,Panoz
14,LeMans,American LeMans Series,Official,2012,NameSilo
15,LeMans,American LeMans Series,Official,2012,Porsche
16,LeMans,American LeMans Series,Official,2012,Robert Graham
17,LeMans,American LeMans Series,Official,2012,Sports Car Club of America
18,LeMans,American LeMans Series,Official,2012,Tequila PatrÌ_n
19,LeMans,American LeMans Series,Official,2012,VP Racing Fuel
20,LeMans,American LeMans Series,Official,2012,World Endurance Championship
21,LeMans,American LeMans Series,Official,2012,Yancy‰Ûªs Fancy
22,LeMans,American LeMans Series,Official,2012,Yokohama
23,LeMans,Grand Am,Official,2012,Allstate Roadside Service
24,LeMans,Grand Am,Official,2012,Coca-Cola
25,LeMans,Grand Am,Official,2012,Continental Tire
26,LeMans,Grand Am,Official,2012,Featherlite Trailers
27,LeMans,Grand Am,Official,2012,InterContinental Hotels & Resorts. iRacing.com
28,LeMans,Grand Am,Official,2012,PRS Guitars
29,LeMans,Grand Am,Official,2012,Rolex
30,LeMans,Grand Am,Official,2012,Short‰Ûªs Travel Management
31,LeMans,Grand Am,Official,2012,Speedcom Communications
32,LeMans,Grand Am,Official,2012,Sunoco
33,LeMans,Grand Am,Official,2012,SunTrust
34,LeMans,Grand Am,Official,2012,Toshiba
35,LeMans,Grand Am,Official,2012,Total Lubricants
36,LeMans,Grand Am,Official,2012,VisitFlorida.com
37,LeMans,NHRA,Partnership,2012,Coca-Cola
38,LeMans,NHRA,Partnership,2012,Powerade
39,LeMans,NHRA,Partnership,2012,Dasani
40,LeMans,NHRA,Partnership,2012,Full Throttle
41,LeMans,NHRA,Official,2012,Brut
42,LeMans,NHRA,Official,2012,Budweiser
43,LeMans,NHRA,Official,2012,Craftsman
44,LeMans,NHRA,Official,2012,CSK Auto
45,LeMans,NHRA,Official,2012,Elite
46,LeMans,NHRA,Official,2012,Fram
47,LeMans,NHRA,Official,2012,GMC Trucks
48,LeMans,NHRA,Official,2012,Goodyear
49,LeMans,NHRA,Official,2012,Harley-Davidson
50,LeMans,NHRA,Official,2012,Hurst
51,LeMans,NHRA,Official,2012,Lend America
52,LeMans,NHRA,Official,2012,Lucas Oil
53,LeMans,NHRA,Official,2012,Main Gate
54,LeMans,NHRA,Official,2012,Motel 6
55,LeMans,NHRA,Official,2012,Okuma
56,LeMans,NHRA,Official,2012,Phoenix Custom Apparel
57,LeMans,NHRA,Official,2012,Pontiac
58,LeMans,NHRA,Official,2012,Prestone
59,LeMans,NHRA,Official,2012,R.E. Racing Electronics
60,LeMans,NHRA,Official,2012,Ringers Gloves
61,LeMans,NHRA,Official,2012,Sioux City Truck and Trailer
62,LeMans,NHRA,Official,2012,Skoal
63,LeMans,NHRA,Official,2012,Summit Racing Equipment
64,LeMans,NHRA,Official,2012,U.S. Army
65,LeMans,NHRA,Official,2012,UPS
66,LeMans,NHRA,Official,2012,VP Racing
67,LeMans,NHRA,Official,2012,WyoTech
68,LeMans,World of Outlaws Sprint Car Series,Official,2012,Armor All
69,LeMans,World of Outlaws Sprint Car Series,Official,2012,AstroTitanium
70,LeMans,World of Outlaws Sprint Car Series,Official,2012,ButlerBuilt
71,LeMans,World of Outlaws Sprint Car Series,Official,2012,Cometic Gasket
72,LeMans,World of Outlaws Sprint Car Series,Official,2012,Comp Cams
73,LeMans,World of Outlaws Sprint Car Series,Official,2012,Fuel Safe
74,LeMans,World of Outlaws Sprint Car Series,Official,2012,The Goodyear Tire & Rubber Company
75,LeMans,World of Outlaws Sprint Car Series,Official,2012,Intercomp
