,Governing_Body,Sponsorship_Type,Period,Company,Company_Brand
1,PGA,Official,2012,Aflac,NA
2,PGA,Official,2012,Allegheny Sports Medicine,NA
3,PGA,Official,2012,Anheiser-Busch ,Michelob Ultra
4,PGA,Official,2012,Anheiser-Busch ,O‰ÛªDoul‰Ûªs
5,PGA,Official,2012,Avis,NA
6,PGA,Official,2012,Beringer,NA
7,PGA,Official,2012,Boston Hannah,NA
8,PGA,Official,2012,Bridgestone,NA
9,PGA,Official,2012,Carey International,NA
10,PGA,Official,2012,CDW,NA
11,PGA,Official,2012,Cessna,NA
12,PGA,Official,2012,Charles Schwab,NA
13,PGA,Official,2012,Coca-Cola,NA
14,PGA,Official,2012,FedEx,NA
15,PGA,Official,2012,Forbes,NA
16,PGA,Official,2012,GE,NA
17,PGA,Official,2012,Getty Images,NA
18,PGA,Official,2012,Golf Digest Publications,NA
19,PGA,Official,2012,Hawaii Tourism Authority,NA
20,PGA,Official,2012,Humana,NA
21,PGA,Official,2012,InterContinental Hotels Group,NA
22,PGA,Official,2012,John Deere,NA
23,PGA,Official,2012,Ketel One,NA
24,PGA,Official,2012,MasterCard,NA
25,PGA,Official,2012,Mitsubishi Electric,NA
26,PGA,Official,2012,Nature Valley,NA
27,PGA,Official,2012,Nolet‰Ûªs Finest Gins,NA
28,PGA,Official,2012,PricewaterhouseCoopers,NA
29,PGA,Official,2012,Rolex,NA
30,PGA,Official,2012,Sentient,NA
31,PGA,Official,2012,Southern Company,NA
32,PGA,Official,2012,Tiffany & Co.,NA
33,PGA,Official,2012,Transitions Optical,NA
34,PGA,Official,2012,Travelers,NA
35,PGA,Official,2012,United Airlines,NA
36,PGA,Official,2012,USA Today Sports,NA
37,PGA,Official,2012,Web.com,NA
38,PGA,Official,2012,Western Union Business Solutions,NA
