"","Governing_Body","Sponsorship_Type","Period","Company"
"1","United States Cycling","Official",2012,"Dow"
"2","United States Cycling","Official",2012,"Exergy Development Group"
"3","United States Cycling","Official",2012,"Gatorade"
"4","United States Cycling","Official",2012,"Holiday Inn"
"5","United States Cycling","Official",2012,"Nike"
"6","United States Cycling","Official",2012,"Ouch Sports Medicine Center"
"7","United States Cycling","Official",2012,"Post Grape Nuts"
"8","United States Cycling","Official",2012,"Shimano"
"9","United States Cycling","Official",2012,"Skins Compression Clothing"
"10","United States Cycling","Official",2012,"Spy Optics"
"11","United States Cycling","Official",2012,"United HealthCare"
"12","United States Cycling","Official",2012,"Volkswagen"
