ID_Sport_Sponsorship,Governing_Body,Sponsorship_Type,Period,Sport_Sponsor,Company,Company_Brand,Event,Sport,Contract_Type,Value,Value_Type,Detail,Franchise,Sponsorship
1,LPGA,Official,2012,Titleist,Acushnet Company,Titleist,,,,,,,,
2,LPGA,Official,2012,Footjoy,Acushnet Company,Footjoy,,,,,,,,
3,LPGA,Official,2012,Andrews Sports Medicine  Orthopaedic Center,Andrews Sports Medicine  Orthopaedic Center,,,,,,,,,
4,LPGA,Official,2012,AnheuserBusch,AnheuserBusch,,,,,,,,,
5,LPGA,Official,2012,Arpin Van Lines,Arpin Van Lines,,,,,,,,,
6,LPGA,Official,2012,Canyon Ranch,Canyon Ranch,,,,,,,,,
7,LPGA,Official,2012,Floridas Natural Brand,Floridas Natural Brand,,,,,,,,,
8,LPGA,Official,2012,Frontier Airlines,Frontier Airlines,,,,,,,,,
9,LPGA,Official,2012,Getty Images,Getty Images,,,,,,,,,
10,LPGA,Official,2012,InterContinental Hotels Group,InterContinental Hotels Group,,,,,,,,,
11,LPGA,Official,2012,Kia,Kia,,,,,,,,,
12,LPGA,Official,2012,Language Training Center,Language Training Center,,,,,,,,,
13,LPGA,Official,2012,MedjetAssist,MedjetAssist,,,,,,,,,
14,LPGA,Official,2012,Mirassou Winery,Mirassou Winery,,,,,,,,,
15,LPGA,Official,2012,National Car Rental,National Car Rental,,,,,,,,,
16,LPGA,Official,2012,Prudential,Prudential,,,,,,,,,
17,LPGA,Official,2012,RolexWatch USA,RolexWatch USA,,,,,,,,,
18,LPGA,Official,2012,RR Donnelley,RR Donnelley,,,,,,,,,
19,LPGA,Official,2012,Sunology,Sunology,,,,,,,,,
20,LPGA,Official,2012,The JM Smucker Co,The JM Smucker Co,,,,,,,,,
21,LPGA,Official,2012,Tiffany & Co,Tiffany & Co,,,,,,,,,
22,LPGA,Official,2012,Volvik,Volvik,,,,,,,,,
23,USSAIL,Regatta,2012,Louis Vuitton,LVMH,Louis Vuitton,America's Cup,Yachting,,,,,,
24,USSAIL,Team,2012,BMW,BMW,,America's Cup,Yachting,,,,,,
25,USSAIL,Team,2012,Oracle,Oracle,,America's Cup,Yachting,,,,,,
26,USSAIL,Team,2012,Audi,Volkswagen,Audi,America's Cup,Yachting,,,,,,
27,BASS,Title,2012,Cabelas,Cabelas,,,Bass Fishing,,,,,,
28,BASS,Official,2012,Berkley Fishing,Berkley Fishing,,,Bass Fishing,,,,,,
29,BASS,Official,2012,Evan Williams Bourbon,Evan Williams Bourbon,,,Bass Fishing,,,,,,
30,BASS,Official,2012,Mercury,Mercury,,,Bass Fishing,,,,,,
31,BASS,Official,2012,Skeeter Fishing Boats,Skeeter Fishing Boats,,,Bass Fishing,,,,,,
32,BASS,Official,2012,Toyota Trucks,Toyota Trucks,,,Bass Fishing,,,,,,
33,BASS,Official,2012,Triton Boats,Triton Boats,,,Bass Fishing,,,,,,
34,BASS,Official,2012,Yamaha,Yamaha,,,Bass Fishing,,,,,,
35,BASS,Supporting,2012,Booyah Bait Co,Booyah Bait Co,,,Bass Fishing,,,,,,
36,BASS,Supporting,2012,Hummingbird,Hummingbird,,,Bass Fishing,,,,,,
37,BASS,Supporting,2012,Lowrance,Lowrance,,,Bass Fishing,,,,,,
38,BASS,Supporting,2012,Minn Kota Sports,Minn Kota Sports,,,Bass Fishing,,,,,,
39,BASS,Supporting,2012,Owner Hooks,Owner Hooks,,,Bass Fishing,,,,,,
40,BASS,Supporting,2012,Simms,Simms,,,Bass Fishing,,,,,,
41,FLW,Title,2011,Walmart,Walmart,,,Bass Fishing,,,,,,
42,FLW,Official,2011,AMP Energy,AMP Energy,,,Bass Fishing,,,,,,
43,FLW,Official,2011,BandAid,BandAid,,,Bass Fishing,,,,,,
44,FLW,Official,2011,Castrol,Castrol,,,Bass Fishing,,,,,,
45,FLW,Official,2011,Chevrolet,Chevrolet,,,Bass Fishing,,,,,,
46,FLW,Official,2011,Diet Mountain Dew,Diet Mountain Dew,,,Bass Fishing,,,,,,
47,FLW,Official,2011,Dunkin Donuts,Dunkin Donuts,,,Bass Fishing,,,,,,
48,FLW,Official,2011,Duracell,Duracell,,,Bass Fishing,,,,,,
49,FLW,Official,2011,EverStart,EverStart,,,Bass Fishing,,,,,,
50,FLW,Official,2011,Evinrude,Evinrude,,,Bass Fishing,,,,,,
51,FLW,Official,2011,Folgers,Folgers,,,Bass Fishing,,,,,,
52,FLW,Official,2011,Gillette,Gillette,,,Bass Fishing,,,,,,
53,FLW,Official,2011,Goodwill Industries,Goodwill Industries,,,Bass Fishing,,,,,,
54,FLW,Official,2011,Iams,Iams,,,Bass Fishing,,,,,,
55,FLW,Official,2011,Keebler,Keebler,,,Bass Fishing,,,,,,
56,FLW,Official,2011,Kelloggs,Kelloggs,,,Bass Fishing,,,,,,
57,FLW,Official,2011,LowRange,LowRange,,,Bass Fishing,,,,,,
58,FLW,Official,2011,Mercury,Mercury,,,Bass Fishing,,,,,,
59,FLW,Official,2011,National Guard,National Guard,,,Bass Fishing,,,,,,
60,FLW,Official,2011,Neosporin,Neosporin,,,Bass Fishing,,,,,,
61,FLW,Official,2011,Off,Off,,,Bass Fishing,,,,,,
62,FLW,Official,2011,PickensPlancom,PickensPlancom,,,Bass Fishing,,,,,,
63,FLW,Official,2011,Planters,Planters,,,Bass Fishing,,,,,,
64,FLW,Official,2011,PlayStation 3,PlayStation 3,,,Bass Fishing,,,,,,
65,FLW,Official,2011,Prevacid,Prevacid,,,Bass Fishing,,,,,,
66,FLW,Official,2011,Pringles,Pringles,,,Bass Fishing,,,,,,
67,FLW,Official,2011,Ranger Boats,Ranger Boats,,,Bass Fishing,,,,,,
68,FLW,Official,2011,Rapala,Rapala,,,Bass Fishing,,,,,,
69,FLW,Official,2011,Scotch Blue Painters Tape,Scotch Blue Painters Tape,,,Bass Fishing,,,,,,
70,FLW,Official,2011,Snickers,Snickers,,,Bass Fishing,,,,,,
71,FLW,Official,2011,Straight Talk,Straight Talk,,,Bass Fishing,,,,,,
72,WON,Official,2012,Bass Pro Shops,Bass Pro Shops,,,Bass Fishing,,,,,,
73,WON,Official,2012,BoatResponsiblycom,BoatResponsiblycom,,,Bass Fishing,,,,,,
74,WON,Official,2012,Boulder Station Casino,Boulder Station Casino,,,Bass Fishing,,,,,,
75,WON,Official,2012,Canyon Plastics,Canyon Plastics,,,Bass Fishing,,,,,,
76,WON,Official,2012,Costa,Costa,,,Bass Fishing,,,,,,
77,WON,Official,2012,HiSeas,HiSeas,,,Bass Fishing,,,,,,
78,WON,Official,2012,Konocti Vista Casino,Konocti Vista Casino,,,Bass Fishing,,,,,,
79,WON,Official,2012,Lowrance,Lowrance,,,Bass Fishing,,,,,,
80,WON,Official,2012,Mercury,Mercury,,,Bass Fishing,,,,,,
81,WON,Official,2012,Motor Guide,Motor Guide,,,Bass Fishing,,,,,,
82,WON,Official,2012,Nitro,Nitro,,,Bass Fishing,,,,,,
83,WON,Official,2012,Plano Molding Company,Plano Molding Company,,,Bass Fishing,,,,,,
84,WON,Official,2012,Quality Performance Marine,Quality Performance Marine,,,Bass Fishing,,,,,,
85,WON,Official,2012,Seaguar,Seaguar,,,Bass Fishing,,,,,,
86,WON,Official,2012,Trolling Motor Doctor,Trolling Motor Doctor,,,Bass Fishing,,,,,,
87,WON,Official,2012,YoZuri America,YoZuri America,,,Bass Fishing,,,,,,
88,Indycar,Title Sponsor,2012,Izod,Izod,,Indianapolis 500,,Jersey,7,Dollars_Millions, 6 Year Deal Signed in November 2009,,
89,Indycar,Official,2012,AirMed,AirMed,,Indianapolis 500,,,,,,,
90,Indycar,Official,2012,Apex Brazil,Apex Brazil,,Indianapolis 500,,,,,,,
91,Indycar,Official,2012,Avis,Avis,,Indianapolis 500,,,,,,,
92,Indycar,Official,2012,Brembo,Brembo,,Indianapolis 500,,,,,,,
93,Indycar,Official,2012,BorgWarner Turbo Systems,BorgWarner,BorgWarner Turbo Systems,Indianapolis 500,,,,,,,
94,Indycar,Official,2012,Cenvo,Cenvo,,Indianapolis 500,,,,,,,
95,Indycar,Official,2012,Chevrolet,General Motors,Chevrolet,Indianapolis 500,,,,,,,
96,Indycar,Official,2012,Dallara,Dallara,,Indianapolis 500,,,,,,,
97,Indycar,Official,2012,DB Schenker,DB Schenker,,Indianapolis 500,,,,,,,
98,Indycar,Official,2012,Exact Target,Exact Target,,Indianapolis 500,,,,,,,
99,Indycar,Official,2012,Featherlite Trailers,Featherlite Trailers,,Indianapolis 500,,,,,,,
100,Indycar,Official,2012,Firestone,Firestone,,Indianapolis 500,,,,,,,
101,Indycar,Official,2012,Fuzzys Ultra Premium Vodka,Fuzzys Ultra Premium Vodka,,Indianapolis 500,,,,,,,
102,Indycar,Official,2012,Green Fuel Technologies,Green Fuel Technologies,,Indianapolis 500,,,,,,,
103,Indycar,Official,2012,Holmatro,Holmatro,,Indianapolis 500,,,,,,,
104,Indycar,Official,2012,Honda,Honda,,Indianapolis 500,,,,,,,
105,Indycar,Official,2012,Honda Generators,Honda,Honda Generators,Indianapolis 500,,,,,,,
106,Indycar,Official,2012,IZOD,IZOD,,Indianapolis 500,,,,,,,
107,Indycar,Official,2012,Just Pop In,Just Pop In,,Indianapolis 500,,,,,,,
108,Indycar,Official,2012,Kymco Motorcycles Scooters  ATVs,Kymco Motorcycles Scooters  ATVs,,Indianapolis 500,,,,,,,
109,Indycar,Official,2012,Lincoln Electric,Lincoln Electric,,Indianapolis 500,,,,,,,
110,Indycar,Official,2012,Lotus,Lotus,,Indianapolis 500,,,,,,,
111,Indycar,Official,2012,Novo Nordisk,Novo Nordisk,,Indianapolis 500,,,,,,,
112,Indycar,Official,2012,Ortsbo,Ortsbo,,Indianapolis 500,,,,,,,
113,Indycar,Official,2012,Peak Motor Oil,Peak Motor Oil,,Indianapolis 500,,,,,,,
114,Indycar,Official,2012,PerkinElmer,PerkinElmer,,Indianapolis 500,,,,,,,
115,Indycar,Official,2012,Philips,Philips,,Indianapolis 500,,,,,,,
116,Indycar,Official,2012,Racing Electronics,Racing Electronics,,Indianapolis 500,,,,,,,
117,Indycar,Official,2012,SafetyKleen,SafetyKleen,,Indianapolis 500,,,,,,,
118,Indycar,Official,2012,Sheraton,Sheraton,,Indianapolis 500,,,,,,,
119,Indycar,Official,2012,Sirius XM Radio,Sirius XM Radio,,Indianapolis 500,,,,,,,
120,Indycar,Official,2012,Skip Barber Racing School,Skip Barber Racing School,,Indianapolis 500,,,,,,,
121,Indycar,Official,2012,Sunoco,Sunoco,,Indianapolis 500,,,,,,,
122,Indycar,Official,2012,Victorinox,Victorinox,,Indianapolis 500,,,,,,,
123,Indycar,Official,2012,Wenger,Wenger,,Indianapolis 500,,,,,,,
124,Indycar,Official,2012,XYQ,XYQ,,Indianapolis 500,,,,,,,
125,Indycar,Promotional,2012,Boy Scouts of America,Boy Scouts of America,,Indianapolis 500,,,,,,,
126,Indycar,Promotional,2012,Clabber Girl,Clabber Girl,,Indianapolis 500,,,,,,,
127,Indycar,Promotional,2012,Drivers Edge,Drivers Edge,,Indianapolis 500,,,,,,,
128,Indycar,Promotional,2012,Herff Jones,Herff Jones,,Indianapolis 500,,,,,,,
129,Indycar,Promotional,2012,Hot Wheels,Hot Wheels,,Indianapolis 500,,,,,,,
130,Indycar,Promotional,2012,Immersion Media,Immersion Media,,Indianapolis 500,,,,,,,
131,Indycar,Promotional,2012,iRacingcom,iRacingcom,,Indianapolis 500,,,,,,,
132,Indycar,Promotional,2012,Jesubi,Jesubi,,Indianapolis 500,,,,,,,
133,Indycar,Promotional,2012,Larsens,Larsens,,Indianapolis 500,,,,,,,
134,Indycar,Promotional,2012,Magnum Essential Equipment,Magnum Essential Equipment,,Indianapolis 500,,,,,,,
135,Indycar,Promotional,2012,National Guard,National Guard,,Indianapolis 500,,,,,,,
136,Indycar,Promotional,2012,Trim Nutrition,Trim Nutrition,,Indianapolis 500,,,,,,,
137,Indycar,Promotional,2012,Xtrac,Xtrac,,Indianapolis 500,,,,,,,
138,MLB,Official,2012,AnheuserBusch,AnheuserBusch,,,,,,,,,
139,MLB,Official,2012,Bank of America,Bank of America,,,,,,,,,
140,MLB,Official,2012,One a Day,Bayer,One a Day,,,,,,,,
141,MLB,Official,2012,FIA Card Service,FIA Card Service,,,,,,,,,
142,MLB,Official,2012,Firestone,Firestone,,,,,,,,,
143,MLB,Official,2012,Frito Lay,Frito Lay,,,,,,,,,
144,MLB,Official,2012,Gatorade,Gatorade,,,,,,,,,
145,MLB,Official,2012,Gillette,Gillette,,,,,,,,,
146,MLB,Official,2012,Chevrolet,General Motors,Chevrolet,,,,,,,,
147,MLB,Official,2012,InterContinental Hotels Group,InterContinental Hotels Group,,,,,,,,,
148,MLB,Official,2012,KPMG,KPMG,,,,,,,,,
149,MLB,Official,2012,MasterCardWorldwide,MasterCardWorldwide,,,,,,,,,
150,MLB,Official,2012,Nike,Nike,,,,,,,,,
151,MLB,Official,2012,PepsiCola,PepsiCola,,,,,,,,,
152,MLB,Official,2012,Scotts,Scotts,,,,,,,,,
153,MLB,Official,2012,State Farm,State Farm,,,,,,,,,
154,MLB,Official,2012,Taco Bell,Taco Bell,,,,,,,,,
155,MLB,Official,2012,Sirius XM Satellite Radio,Sirius XM Satellite Radio,,,,,,,,,
156,MLB,MLB.com,2012,AnheuserBusch,AnheuserBusch,,,,,,,,,
157,MLB,MLB.com,2012,Bank of America,Bank of America,,,,,,,,,
158,MLB,MLB.com,2012,One a Day,Bayer,One a Day,,,,,,,,
159,MLB,MLB.com,2012,Captain Morgan,Captain Morgan,,,,,,,,,
160,MLB,MLB.com,2012,Cisco,Cisco,,,,,,,,,
161,MLB,MLB.com,2012,Dove,Dove,,,,,,,,,
162,MLB,MLB.com,2012,FIA Card Service,FIA Card Service,,,,,,,,,
163,MLB,MLB.com,2012,Firestone,Firestone,,,,,,,,,
164,MLB,MLB.com,2012,FritoLay,FritoLay,,,,,,,,,
165,MLB,MLB.com,2012,Gatorade,Gatorade,,,,,,,,,
166,MLB,MLB.com,2012,Chevrolet,General Motors,Chevrolet,,,,,,,,
167,MLB,MLB.com,2012,Gillette,Gillette,,,,,,,,,
168,MLB,MLB.com,2012,Holiday Inn,InterContinental Hotels Group,Holiday Inn,,,,,,,,
169,MLB,MLB.com,2012,MasterCard International,MasterCard International,,,,,,,,,
170,MLB,MLB.com,2012,Nike,Nike,,,,,,,,,
171,MLB,MLB.com,2012,Panasonic,Panasonic,,,,,,,,,
172,MLB,MLB.com,2012,PepsiCola,PepsiCola,,,,,,,,,
173,MLB,MLB.com,2012,Prudential,Prudential,,,,,,,,,
174,MLB,MLB.com,2012,Scotts,Scotts,,,,,,,,,
175,MLB,MLB.com,2012,Sears,Sears,,,,,,,,,
176,MLB,MLB.com,2012,Sports Illustrated,Sports Illustrated,,,,,,,,,
177,MLB,MLB.com,2012,Sprint,Sprint,,,,,,,,,
178,MLB,MLB.com,2012,State Farm,State Farm,,,,,,,,,
179,MLB,MLB.com,2012,Under Armour,Under Armour,,,,,,,,,
