"","Athelete","Sport","Variable","Value","Value_Type","Period","Source"
"1","Tiger Woods","PGA","Total Endorsement Earnings",60,"Dollars_Millions",2011,"Sports Illustrated"
"2","Phil Mickelson","PGA","Total Endorsement Earnings",57,"Dollars_Millions",2011,"Sports Illustrated"
"3","LeBron James","NBA","Total Endorsement Earnings",30,"Dollars_Millions",2011,"Sports Illustrated"
"4","Dale Earnhardt Jr.","NASCAR","Total Endorsement Earnings",22,"Dollars_Millions",2011,"Sports Illustrated"
"5","Jeff Gordon","NASCAR","Total Endorsement Earnings",15,"Dollars_Millions",2011,"Sports Illustrated"
"6","Peyton Manning","NFL","Total Endorsement Earnings",15,"Dollars_Millions",2011,"Sports Illustrated"
"7","Dwyane Wade","NBA","Total Endorsement Earnings",14,"Dollars_Millions",2011,"Sports Illustrated"
"8","Kevin Durant","NBA","Total Endorsement Earnings",14,"Dollars_Millions",2011,"Sports Illustrated"
"9","Kevin Garnett","NBA","Total Endorsement Earnings",14,"Dollars_Millions",2011,"Sports Illustrated"
"10","Dwight Howard","NBA","Total Endorsement Earnings",12,"Dollars_Millions",2011,"Sports Illustrated"
"11","Jimmy Johnson","NASCAR","Total Endorsement Earnings",12,"Dollars_Millions",2011,"Sports Illustrated"
"12","Derek Jeter","NBA","Total Endorsement Earnings",10,"Dollars_Millions",2011,"Sports Illustrated"
"13","Kobe Bryant","NBA","Total Endorsement Earnings",10,"Dollars_Millions",2011,"Sports Illustrated"
"14","Tom Brady","NFL","Total Endorsement Earnings",10,"Dollars_Millions",2011,"Sports Illustrated"
"15","Jim Furyk","PGA","Total Endorsement Earnings",9,"Dollars_Millions",2011,"Sports Illustrated"
"16","Amar’e Stoudemire","NBA","Total Endorsement Earnings",8,"Dollars_Millions",2011,"Sports Illustrated"
"17","Albert Pujols","MLB","Total Endorsement Earnings",8,"Dollars_Millions",2011,"Sports Illustrated"
"18","Eli Manning","NFL","Total Endorsement Earnings",7,"Dollars_Millions",2011,"Sports Illustrated"
