"","League","Event","Sport","Location_Value","Location_Type","Variable","Variable_Type","Facet_Type","Facet_Value","Value_Type","Source","Period","Date","Value","Value_Details"
"1",NA,"ING New York City Marathon","Marathon","New York","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,250,NA
"2",NA,"Honolulu Marathon","Marathon","Honolulu","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,100,NA
"3",NA,"Boston Marathon","Marathon","Boston","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,95,NA
"4",NA,"Bank of America Chicago Marathon","Marathon","Chicago","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,80,NA
"5",NA,"City of Los Angeles Marathon","Marathon","Los Angeles","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,60,NA
"6",NA,"P.F. Chang’s Rock ‘n’ Roll Arizona Marathon","Marathon","Arizona","State","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,41,NA
"7",NA,"ING Miami Tropical Marathon","Marathon","Miami","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,35,NA
"8",NA,"Marine Corps Marathon","Marathon","Washington, D.C.","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,20,NA
"9",NA,"Portland Marathon","Marathon","Portland","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,15,NA
"10",NA,"Under Armour Baltimore Marathon","Marathon","Baltimore","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,15,NA
"11",NA,"HP Houston Marathon","Marathon","Houston","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,12,NA
"12",NA,"Peachtree Road Race","Marathon","Atlanta","City","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Advertising Age",2011,NA,10,NA
"13",NA,"RBS Six Nations Europe’s Premier International Rugby Tournament","Rugby","England, France, Ireland, Italy, Scotland, Wales","Countries","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"Mastercard",2010,NA,632.8,NA
"14",NA,"2010 World Cup","Soccer","South Africa","Counry","Economic Impact","Estimated",NA,"Dollars_Millions",NA,"South African Bid Committee",2010,NA,3100,NA
