"","League","Variable","Facet","Facet_Value","Value_Type","Source","Period","Date","Value","Value_Details"
"1","NBA","Franchises","League",NA,"Franchises","NBA",NA,NA,30,NA
"2","NBA","Total Regular Season Games","League",NA,"Games","NBA",NA,NA,1230,NA
"3","NBA","Franchise Regular Season Home Games","League",NA,"Games","NBA",NA,NA,41,NA
"4","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","1997-1998",NA,17135,NA
"5","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","1998-1999",NA,16738,NA
"6","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","1999-2000",NA,16135,NA
"7","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2000-2001",NA,16784,NA
"8","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2001-2002",NA,16974,NA
"9","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2002-2003",NA,16883,NA
"10","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2003-2004",NA,16994,NA
"11","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2004-2005",NA,17314,NA
"12","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2005-2006",NA,17543,NA
"13","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2006-2007",NA,17760,NA
"14","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2007-2008",NA,17311,NA
"15","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2008-2009",NA,17520,NA
"16","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2009-2010",NA,17149,NA
"17","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2010-2011",NA,17323,NA
"18","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2011-2012",NA,17273,NA
"19","NBA","Average Home Game Attendance","League",NA,"Average Fans Per Game","NBA","2012-2013",2012-12-06,16594,NA
"20","NBA","Average Home Game Attendance","Franchise","Chicago Bulls","Average Fans Per Game","NBA","2011-2012",NA,22161,NA
"21","NBA","Average Home Game Attendance","Franchise","Portland Trailblazers","Average Fans Per Game","NBA","2011-2012",NA,20496,NA
"22","NBA","Average Home Game Attendance","Franchise","Dallas Mavericks","Average Fans Per Game","NBA","2011-2012",NA,20334,NA
"23","NBA","Average Home Game Attendance","Franchise","Miami Heat","Average Fans Per Game","NBA","2011-2012",NA,19935,NA
"24","NBA","Average Home Game Attendance","Franchise","New York Knicks","Average Fans Per Game","NBA","2011-2012",NA,19763,NA
"25","NBA","Average Home Game Attendance","Franchise","Utah Jazz","Average Fans Per Game","NBA","2011-2012",NA,19306,NA
"26","NBA","Average Home Game Attendance","Franchise","Los Angeles Clippers","Average Fans Per Game","NBA","2011-2012",NA,19219,NA
"27","NBA","Average Home Game Attendance","Franchise","Los Angeles Lakers","Average Fans Per Game","NBA","2011-2012",NA,18997,NA
"28","NBA","Average Home Game Attendance","Franchise","Orlando Magic","Average Fans Per Game","NBA","2011-2012",NA,18896,NA
"29","NBA","Average Home Game Attendance","Franchise","Golden State Warriors","Average Fans Per Game","NBA","2011-2012",NA,18857,NA
"30","NBA","Average Home Game Attendance","Franchise","Boston Celtics","Average Fans Per Game","NBA","2011-2012",NA,18624,NA
"31","NBA","Average Home Game Attendance","Franchise","San Antonio Spurs","Average Fans Per Game","NBA","2011-2012",NA,18396,NA
"32","NBA","Average Home Game Attendance","Franchise","Oklahoma City Thunder","Average Fans Per Game","NBA","2011-2012",NA,18203,NA
"33","NBA","Average Home Game Attendance","Franchise","Philadelphia 76ers","Average Fans Per Game","NBA","2011-2012",NA,17502,NA
"34","NBA","Average Home Game Attendance","Franchise","Minnesota Timberwolves","Average Fans Per Game","NBA","2011-2012",NA,17490,NA
"35","NBA","Average Home Game Attendance","Franchise","Denver Nuggets","Average Fans Per Game","NBA","2011-2012",NA,17029,NA
"36","NBA","Average Home Game Attendance","Franchise","Toronto Raptors","Average Fans Per Game","NBA","2011-2012",NA,16835,NA
"37","NBA","Average Home Game Attendance","Franchise","Washington Wizards","Average Fans Per Game","NBA","2011-2012",NA,16728,NA
"38","NBA","Average Home Game Attendance","Franchise","Cleveland Cavaliers","Average Fans Per Game","NBA","2011-2012",NA,15926,NA
"39","NBA","Average Home Game Attendance","Franchise","Memphis Grizzlies","Average Fans Per Game","NBA","2011-2012",NA,15704,NA
"40","NBA","Average Home Game Attendance","Franchise","Phoenix Suns","Average Fans Per Game","NBA","2011-2012",NA,15597,NA
"41","NBA","Average Home Game Attendance","Franchise","Houston Rockets","Average Fans Per Game","NBA","2011-2012",NA,15363,NA
"42","NBA","Average Home Game Attendance","Franchise","Atlanta Hawks","Average Fans Per Game","NBA","2011-2012",NA,15199,NA
"43","NBA","Average Home Game Attendance","Franchise","New Orleans Hornets","Average Fans Per Game","NBA","2011-2012",NA,15109,NA
"44","NBA","Average Home Game Attendance","Franchise","Charlotte Bobcats","Average Fans Per Game","NBA","2011-2012",NA,14757,NA
"45","NBA","Average Home Game Attendance","Franchise","Milwaukee Bucks","Average Fans Per Game","NBA","2011-2012",NA,14718,NA
