"","League","Variable","Facet_Type","Facet_Value","Value_Type","Source","Period","Date","Value","Value_Details"
"1","NFL","Franchises","League",NA,"Franchises","NFL",NA,NA,32,NA
"2","NFL","Total Regular Season Games","League",NA,"Games","NFL",NA,NA,256,NA
"3","NFL","Franchise Regular Season Home Games","League",NA,"Games","NFL",NA,NA,8,NA
"4","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2000",NA,66896,NA
"5","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2001",NA,65187,NA
"6","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2002",NA,66282,NA
"7","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2003",NA,66328,NA
"8","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2004",NA,66409,NA
"9","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2005",NA,66455,NA
"10","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2006",NA,67738,NA
"11","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2007",NA,67775,NA
"12","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2008",NA,66625,NA
"13","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2009",NA,65043,NA
"14","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2010",NA,66960,NA
"15","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2011",NA,67358,NA
"16","NFL","Average Home Game Attendance","League",NA,"Average Fans Per Game","NFL","2012",NA,67615,NA
"17","NFL","Average Home Game Attendance","Franchise","Washington Redskins","Average Fans Per Game","NFL","2012",NA,76921,NA
"18","NFL","Average Home Game Attendance","Franchise","Washington Redskins","Average Fans Per Game","NFL","2011",NA,78868,NA
"19","NFL","Average Home Game Attendance","Franchise","Tennessee Titans","Average Fans Per Game","NFL","2012",NA,69143,NA
"20","NFL","Average Home Game Attendance","Franchise","Tennessee Titans","Average Fans Per Game","NFL","2011",NA,69143,NA
"21","NFL","Average Home Game Attendance","Franchise","Tampa Bay Buccaneers","Average Fans Per Game","NFL","2012",NA,56614,NA
"22","NFL","Average Home Game Attendance","Franchise","Tampa Bay Buccaneers","Average Fans Per Game","NFL","2011",NA,54057,NA
"23","NFL","Average Home Game Attendance","Franchise","St. Louis Rams","Average Fans Per Game","NFL","2012",NA,56394,NA
"24","NFL","Average Home Game Attendance","Franchise","St. Louis Rams","Average Fans Per Game","NFL","2011",NA,56862,NA
"25","NFL","Average Home Game Attendance","Franchise","Seattle Seahawks","Average Fans Per Game","NFL","2012",NA,66413,NA
"26","NFL","Average Home Game Attendance","Franchise","Seattle Seahawks","Average Fans Per Game","NFL","2011",NA,67957,NA
"27","NFL","Average Home Game Attendance","Franchise","San Francisco 49ers","Average Fans Per Game","NFL","2012",NA,69732,NA
"28","NFL","Average Home Game Attendance","Franchise","San Francisco 49ers","Average Fans Per Game","NFL","2011",NA,69732,NA
"29","NFL","Average Home Game Attendance","Franchise","San Diego Chargers","Average Fans Per Game","NFL","2012",NA,65392,NA
"30","NFL","Average Home Game Attendance","Franchise","San Diego Chargers","Average Fans Per Game","NFL","2011",NA,59899,NA
"31","NFL","Average Home Game Attendance","Franchise","Pittsburgh Steelers","Average Fans Per Game","NFL","2012",NA,63034,NA
"32","NFL","Average Home Game Attendance","Franchise","Pittsburgh Steelers","Average Fans Per Game","NFL","2011",NA,62541,NA
"33","NFL","Average Home Game Attendance","Franchise","Philadelphia Eagles","Average Fans Per Game","NFL","2012",NA,69144,NA
"34","NFL","Average Home Game Attendance","Franchise","Philadelphia Eagles","Average Fans Per Game","NFL","2011",NA,69144,NA
"35","NFL","Average Home Game Attendance","Franchise","Oakland Raiders","Average Fans Per Game","NFL","2012",NA,59242,NA
"36","NFL","Average Home Game Attendance","Franchise","Oakland Raiders","Average Fans Per Game","NFL","2011",NA,54746,NA
"37","NFL","Average Home Game Attendance","Franchise","New York Jets","Average Fans Per Game","NFL","2012",NA,79088,NA
"38","NFL","Average Home Game Attendance","Franchise","New York Giants","Average Fans Per Game","NFL","2012",NA,80311,NA
"39","NFL","Average Home Game Attendance","Franchise","New York Jets","Average Fans Per Game","NFL","2012",NA,78986,NA
"40","NFL","Average Home Game Attendance","Franchise","New York Giants","Average Fans Per Game","NFL","2011",NA,79475,NA
"41","NFL","Average Home Game Attendance","Franchise","New Orleans Saints","Average Fans Per Game","NFL","2011",NA,73042,NA
"42","NFL","Average Home Game Attendance","Franchise","New Orleans Saints","Average Fans Per Game","NFL","2011",NA,72814,NA
"43","NFL","Average Home Game Attendance","Franchise","New England Patriots","Average Fans Per Game","NFL","2012",NA,68756,NA
"44","NFL","Average Home Game Attendance","Franchise","New England Patriots","Average Fans Per Game","NFL","2011",NA,68755,NA
"45","NFL","Average Home Game Attendance","Franchise","Minnesota Vikings","Average Fans Per Game","NFL","2012",NA,62816,NA
"46","NFL","Average Home Game Attendance","Franchise","Minnesota Vikings","Average Fans Per Game","NFL","2011",NA,59589,NA
"47","NFL","Average Home Game Attendance","Franchise","Miami Dolphins","Average Fans Per Game","NFL","2012",NA,60886,NA
"48","NFL","Average Home Game Attendance","Franchise","Miami Dolphins","Average Fans Per Game","NFL","2011",NA,58484,NA
"49","NFL","Average Home Game Attendance","Franchise","Kansas City Chiefs","Average Fans Per Game","NFL","2012",NA,72082,NA
"50","NFL","Average Home Game Attendance","Franchise","Kansas City Chiefs","Average Fans Per Game","NFL","2011",NA,69304,NA
"51","NFL","Average Home Game Attendance","Franchise","Jacksonville Jaguars","Average Fans Per Game","NFL","2012",NA,62331,NA
"52","NFL","Average Home Game Attendance","Franchise","Jacksonville Jaguars","Average Fans Per Game","NFL","2011",NA,63765,NA
"53","NFL","Average Home Game Attendance","Franchise","Indianapolis Colts","Average Fans Per Game","NFL","2012",NA,64828,NA
"54","NFL","Average Home Game Attendance","Franchise","Indianapolis Colts","Average Fans Per Game","NFL","2011",NA,64978,NA
"55","NFL","Average Home Game Attendance","Franchise","Houston Texans","Average Fans Per Game","NFL","2012",NA,71496,NA
"56","NFL","Average Home Game Attendance","Franchise","Houston Texans","Average Fans Per Game","NFL","2011",NA,71655,NA
"57","NFL","Average Home Game Attendance","Franchise","Green Bay Packers","Average Fans Per Game","NFL","2012",NA,70512,NA
"58","NFL","Average Home Game Attendance","Franchise","Green Bay Packers","Average Fans Per Game","NFL","2011",NA,70528,NA
"59","NFL","Average Home Game Attendance","Franchise","Detroit Lions","Average Fans Per Game","NFL","2012",NA,63742,NA
"60","NFL","Average Home Game Attendance","Franchise","Detroit Lions","Average Fans Per Game","NFL","2011",NA,63643,NA
"61","NFL","Average Home Game Attendance","Franchise","Denver Broncos","Average Fans Per Game","NFL","2012",NA,75327,NA
"62","NFL","Average Home Game Attendance","Franchise","Denver Broncos","Average Fans Per Game","NFL","2011",NA,76701,NA
"63","NFL","Average Home Game Attendance","Franchise","Dallas Cowboys","Average Fans Per Game","NFL","2012",NA,85512,NA
"64","NFL","Average Home Game Attendance","Franchise","Dallas Cowboys","Average Fans Per Game","NFL","2011",NA,86680,NA
"65","NFL","Average Home Game Attendance","Franchise","Cleveland Browns","Average Fans Per Game","NFL","2012",NA,65859,NA
"66","NFL","Average Home Game Attendance","Franchise","Cleveland Browns","Average Fans Per Game","NFL","2011",NA,67592,NA
"67","NFL","Average Home Game Attendance","Franchise","Cincinnati Bengals","Average Fans Per Game","NFL","2012",NA,49251,NA
"68","NFL","Average Home Game Attendance","Franchise","Cincinnati Bengals","Average Fans Per Game","NFL","2011",NA,60724,NA
