"","Association","Franchise","Advertising_Company","Advertising_Company_Segment","Variable","Value","Value_Type","Period","Source","NA.","NA..1","NA..2"
"1","Supercross",NA,NA,NA,"Total Attendance","0.770432","Value_Millions",1998,"Supercross",NA,770432,0.770432
"2","Supercross",NA,NA,NA,"Total Attendance","0.753124","Value_Millions",1999,"Supercross",NA,753124,0.753124
"3","Supercross",NA,NA,NA,"Total Attendance","0.759112","Value_Millions",2000,"Supercross",NA,759112,0.759112
"4","Supercross",NA,NA,NA,"Total Attendance","0.791253","Value_Millions",2001,"Supercross",NA,791253,0.791253
"5","Supercross",NA,NA,NA,"Total Attendance","0.792909","Value_Millions",2002,"Supercross",NA,792909,0.792909
"6","Supercross",NA,NA,NA,"Total Attendance","0.811428","Value_Millions",2003,"Supercross",NA,811428,0.811428
"7","Supercross",NA,NA,NA,"Total Attendance","0.791445","Value_Millions",2004,"Supercross",NA,791445,0.791445
"8","Supercross",NA,NA,NA,"Total Attendance","0.819093","Value_Millions",2005,"Supercross",NA,819093,0.819093
"9","Supercross",NA,NA,NA,"Total Attendance","0.830851","Value_Millions",2006,"Supercross",NA,830851,0.830851
"10","Supercross",NA,NA,NA,"Total Attendance","0.831987","Value_Millions",2007,"Supercross",NA,831987,0.831987
"11","Supercross",NA,NA,NA,"Total Attendance","0.799401","Value_Millions",2008,"Supercross",NA,799401,0.799401
"12","Supercross",NA,NA,NA,"Total Attendance","0.786913","Value_Millions",2009,"Supercross",NA,786913,0.786913
"13","Supercross",NA,NA,NA,"Total Attendance","0.787593","Value_Millions",2010,"Supercross",NA,787593,0.787593
"14","Supercross",NA,NA,NA,"Total Attendance","0.826973","Value_Millions",2011,"Supercross",NA,826973,0.826973
"15","Supercross",NA,NA,NA,"Total Attendance","0.8316","Value_Millions",2012,"Supercross",NA,831600,0.8316
"16","Supercross",NA,NA,NA,"Ticket Sales","20.8","Dollars_Millions",2011,"Sports Business Journal",NA,NA,NA
"17","Supercross",NA,NA,NA,"Sponsorship","14.2","Dollars_Millions",2011,"Sports Business Journal",NA,NA,NA
"18","Supercross",NA,NA,NA,"Merchandise","8.3","Dollars_Millions",2011,"Sports Business Journal",NA,NA,NA
"19","Supercross",NA,NA,NA,"Television Rights","1.1","Dollars_Millions",2011,"Sports Business Journal",NA,NA,NA
"20","Supercross","Bloodshot/Rockstar Suzuki",NA,NA,"Franchise Name","Bloodshot/Rockstar Suzuki","Franchise_Name",NA,NA,NA,NA,NA
"21","Supercross","Butler Brothers Mx",NA,NA,"Franchise Name","Butler Brothers Mx","Franchise_Name",NA,NA,NA,NA,NA
"22","Supercross","Cernic’s Kawasaki",NA,NA,"Franchise Name","Cernic’s Kawasaki","Franchise_Name",NA,NA,NA,NA,NA
"23","Supercross","Gibbs Racing",NA,NA,"Franchise Name","Gibbs Racing","Franchise_Name",NA,NA,NA,NA,NA
"24","Supercross","Honda",NA,NA,"Franchise Name","Honda","Franchise_Name",NA,NA,NA,NA,NA
"25","Supercross","L&M Racing",NA,NA,"Franchise Name","L&M Racing","Franchise_Name",NA,NA,NA,NA,NA
"26","Supercross","Makita Suzuki",NA,NA,"Franchise Name","Makita Suzuki","Franchise_Name",NA,NA,NA,NA,NA
"27","Supercross","MB1/Tokyo Mods",NA,NA,"Franchise Name","MB1/Tokyo Mods","Franchise_Name",NA,NA,NA,NA,NA
"28","Supercross","MDK/KTM Factory Team",NA,NA,"Franchise Name","MDK/KTM Factory Team","Franchise_Name",NA,NA,NA,NA,NA
"29","Supercross","MDK/KTM Lites Team",NA,NA,"Franchise Name","MDK/KTM Lites Team","Franchise_Name",NA,NA,NA,NA,NA
"30","Supercross","Monster Kawasaki",NA,NA,"Franchise Name","Monster Kawasaki","Franchise_Name",NA,NA,NA,NA,NA
"31","Supercross","Monster/Pro Circuit Kawasaki",NA,NA,"Franchise Name","Monster/Pro Circuit Kawasaki","Franchise_Name",NA,NA,NA,NA,NA
"32","Supercross","Moto XXX",NA,NA,"Franchise Name","Moto XXX","Franchise_Name",NA,NA,NA,NA,NA
"33","Supercross","Pro30.com/Ware Enterprises Racing",NA,NA,"Franchise Name","Pro30.com/Ware Enterprises Racing","Franchise_Name",NA,NA,NA,NA,NA
"34","Supercross","Richardson’s RV",NA,NA,"Franchise Name","Richardson’s RV","Franchise_Name",NA,NA,NA,NA,NA
"35","Supercross","Sobe/NoFear/Samsung Mobile",NA,NA,"Franchise Name","Sobe/NoFear/Samsung Mobile","Franchise_Name",NA,NA,NA,NA,NA
"36","Supercross","Solitaire/MB1",NA,NA,"Franchise Name","Solitaire/MB1","Franchise_Name",NA,NA,NA,NA,NA
"37","Supercross","Star Racing",NA,NA,"Franchise Name","Star Racing","Franchise_Name",NA,NA,NA,NA,NA
"38","Supercross","Tamer Motorsports",NA,NA,"Franchise Name","Tamer Motorsports","Franchise_Name",NA,NA,NA,NA,NA
"39","Supercross","Troy Lee",NA,NA,"Franchise Name","Troy Lee","Franchise_Name",NA,NA,NA,NA,NA
"40","Supercross","WBR/Rockstar Suzuki",NA,NA,"Franchise Name","WBR/Rockstar Suzuki","Franchise_Name",NA,NA,NA,NA,NA
"41","Supercross","Yamaha of Troy",NA,NA,"Franchise Name","Yamaha of Troy","Franchise_Name",NA,NA,NA,NA,NA
