"","Period","Sport","Event","Event_Participants","Variable","Value","Value_Type","Source"
"1",1975,"Basketball","NCAA Final","UCLA vs KENTUCKY","Television Viewers",30.08,"Value_Millions","The Nielson Company"
"2",1976,"Basketball","NCAA Final","INDIANA vs MICHIGAN","Television Viewers",26.71,"Value_Millions","The Nielson Company"
"3",1977,"Basketball","NCAA Final","MARQUETTE vs NORTH CAROLINA","Television Viewers",26.4,"Value_Millions","The Nielson Company"
"4",1978,"Basketball","NCAA Final","KENTUCKY vs DUKE","Television Viewers",25.38,"Value_Millions","The Nielson Company"
"5",1979,"Basketball","NCAA Final","MICHIGAN ST vs INDIANA ST","Television Viewers",35.11,"Value_Millions","The Nielson Company"
"6",1980,"Basketball","NCAA Final","LOUISVILLE vs UCLA","Television Viewers",NA,"Value_Millions","The Nielson Company"
"7",1981,"Basketball","NCAA Final","INDIANA vs NORTH CAROLINA","Television Viewers",29.06,"Value_Millions","The Nielson Company"
"8",1982,"Basketball","NCAA Final","NORTH CAROLINA vs GEORGETOWN","Television Viewers",30.59,"Value_Millions","The Nielson Company"
"9",1983,"Basketball","NCAA Final","NC STATE vs HOUSTON","Television Viewers",32.14,"Value_Millions","The Nielson Company"
"10",1984,"Basketball","NCAA Final","GEORGETOWN vs HOUSTON","Television Viewers",25.14,"Value_Millions","The Nielson Company"
"11",1985,"Basketball","NCAA Final","VILLANOVA vs GEORGETOWN","Television Viewers",31.23,"Value_Millions","The Nielson Company"
"12",1986,"Basketball","NCAA Final","LOUISVILLE vs DUKE","Television Viewers",28.71,"Value_Millions","The Nielson Company"
"13",1987,"Basketball","NCAA Final","INDIANA vs SYRACUSE","Television Viewers",32.06,"Value_Millions","The Nielson Company"
"14",1988,"Basketball","NCAA Final","KANSAS vs OKLAHOMA","Television Viewers",26.69,"Value_Millions","The Nielson Company"
"15",1989,"Basketball","NCAA Final","MICHIGAN vs SETON HALL","Television Viewers",31.12,"Value_Millions","The Nielson Company"
"16",1990,"Basketball","NCAA Final","UNLV vs DUKE","Television Viewers",29.26,"Value_Millions","The Nielson Company"
"17",1991,"Basketball","NCAA Final","DUKE vs KANSAS","Television Viewers",29.02,"Value_Millions","The Nielson Company"
"18",1992,"Basketball","NCAA Final","DUKE vs MICHIGAN","Television Viewers",34.31,"Value_Millions","The Nielson Company"
"19",1993,"Basketball","NCAA Final","NORTH CAROLINA vs MICHIGAN","Television Viewers",32.94,"Value_Millions","The Nielson Company"
"20",1994,"Basketball","NCAA Final","ARKANSAS vs DUKE","Television Viewers",32.73,"Value_Millions","The Nielson Company"
"21",1995,"Basketball","NCAA Final","UCLA vs ARKANSAS","Television Viewers",27.41,"Value_Millions","The Nielson Company"
"22",1996,"Basketball","NCAA Final","KENTUCKY vs SYRACUSE","Television Viewers",26.67,"Value_Millions","The Nielson Company"
"23",1997,"Basketball","NCAA Final","ARIZONA vs KENTUCKY","Television Viewers",28.36,"Value_Millions","The Nielson Company"
"24",1998,"Basketball","NCAA Final","KENTUCKY vs UTAH","Television Viewers",26.6,"Value_Millions","The Nielson Company"
"25",1999,"Basketball","NCAA Final","CONNECTICUT vs DUKE","Television Viewers",26.3,"Value_Millions","The Nielson Company"
"26",2000,"Basketball","NCAA Final","MICHIGAN ST vs FLORIDA","Television Viewers",20.59,"Value_Millions","The Nielson Company"
"27",2001,"Basketball","NCAA Final","DUKE vs ARIZONA","Television Viewers",23.87,"Value_Millions","The Nielson Company"
"28",2002,"Basketball","NCAA Final","MARYLAND vs INDIANA","Television Viewers",23.69,"Value_Millions","The Nielson Company"
"29",2003,"Basketball","NCAA Final","SYRACUSE vs  KANSAS","Television Viewers",18.57,"Value_Millions","The Nielson Company"
"30",2004,"Basketball","NCAA Final","CONNECTICUT vs GEORGIA TECH","Television Viewers",17.09,"Value_Millions","The Nielson Company"
"31",2005,"Basketball","NCAA Final","NORTH CAROLINA vs ILLINOIS","Television Viewers",23.9,"Value_Millions","The Nielson Company"
"32",2006,"Basketball","NCAA Final","UNIVERSITY OF FLORIDA vs UCLA","Television Viewers",17.54,"Value_Millions","The Nielson Company"
"33",2007,"Basketball","NCAA Final","UNIVERSITY OF FLORIDA vs OHIO STATE","Television Viewers",19.56,"Value_Millions","The Nielson Company"
"34",2008,"Basketball","NCAA Final","KANSAS vs MEMPHIS","Television Viewers",19.5,"Value_Millions","The Nielson Company"
"35",2009,"Basketball","NCAA Final","NORTH CAROLINA vs MICHIGAN STATE","Television Viewers",17.6,"Value_Millions","The Nielson Company"
"36",2010,"Basketball","NCAA Final","BUTLER vs DUKE","Television Viewers",23.94,"Value_Millions","The Nielson Company"
"37",2011,"Basketball","NCAA Final","UCONN vs BUTLER","Television Viewers",20.1,"Value_Millions","The Nielson Company"
"38",2012,"Basketball","NCAA Final","KANSAS vs KENTUCKY","Television Viewers",20.9,"Value_Millions","The Nielson Company"
