"","Period","League","Variable","Facet_Type","Facet_Value","Value","Value_Type","Source"
"1","2003-2004","NBA","Ratings","Network","ABC",2.4,"Value_Millions","The Nielson Company"
"2","2004-2005","NBA","Ratings","Network","ABC",2.3,"Value_Millions","The Nielson Company"
"3","2005-2006","NBA","Ratings","Network","ABC",2.2,"Value_Millions","The Nielson Company"
"4","2006-2007","NBA","Ratings","Network","ABC",2,"Value_Millions","The Nielson Company"
"5","2007-2008","NBA","Ratings","Network","ABC",2.2,"Value_Millions","The Nielson Company"
"6","2008-2009","NBA","Ratings","Network","ABC",2.3,"Value_Millions","The Nielson Company"
"7","2009-2010","NBA","Ratings","Network","ABC",2.2,"Value_Millions","The Nielson Company"
"8","2010-2011","NBA","Ratings","Network","ABC",2.9,"Value_Millions","The Nielson Company"
"9","2011-2012","NBA","Ratings","Network","ABC",3.1,"Value_Millions","The Nielson Company"
"10","2003-2004","NBA","Telecasts","Network","ABC",18,"Value","The Nielson Company"
"11","2004-2005","NBA","Telecasts","Network","ABC",18,"Value","The Nielson Company"
"12","2005-2006","NBA","Telecasts","Network","ABC",20,"Value","The Nielson Company"
"13","2006-2007","NBA","Telecasts","Network","ABC",19,"Value","The Nielson Company"
"14","2007-2008","NBA","Telecasts","Network","ABC",19,"Value","The Nielson Company"
"15","2008-2009","NBA","Telecasts","Network","ABC",19,"Value","The Nielson Company"
"16","2009-2010","NBA","Telecasts","Network","ABC",19,"Value","The Nielson Company"
"17","2010-2011","NBA","Telecasts","Network","ABC",19,"Value","The Nielson Company"
"18","2011-2012","NBA","Telecasts","Network","ABC",19,"Value","The Nielson Company"
"19","2003-2004","NBA","Ratings","Network","ESPN",1.3,"Value_Millions","The Nielson Company"
"20","2004-2005","NBA","Ratings","Network","ESPN",1.2,"Value_Millions","The Nielson Company"
"21","2005-2006","NBA","Ratings","Network","ESPN",1.2,"Value_Millions","The Nielson Company"
"22","2006-2007","NBA","Ratings","Network","ESPN",1.2,"Value_Millions","The Nielson Company"
"23","2007-2008","NBA","Ratings","Network","ESPN",1.3,"Value_Millions","The Nielson Company"
"24","2008-2009","NBA","Ratings","Network","ESPN",1.2,"Value_Millions","The Nielson Company"
"25","2009-2010","NBA","Ratings","Network","ESPN",1.2,"Value_Millions","The Nielson Company"
"26","2010-2011","NBA","Ratings","Network","ESPN",1.5,"Value_Millions","The Nielson Company"
"27","2011-2012","NBA","Ratings","Network","ESPN",1.5,"Value_Millions","The Nielson Company"
"28","2003-2004","NBA","Telecasts","Network","ESPN",64,"Value","The Nielson Company"
"29","2004-2005","NBA","Telecasts","Network","ESPN",66,"Value","The Nielson Company"
"30","2005-2006","NBA","Telecasts","Network","ESPN",65,"Value","The Nielson Company"
"31","2006-2007","NBA","Telecasts","Network","ESPN",69,"Value","The Nielson Company"
"32","2007-2008","NBA","Telecasts","Network","ESPN",70,"Value","The Nielson Company"
"33","2008-2009","NBA","Telecasts","Network","ESPN",69,"Value","The Nielson Company"
"34","2009-2010","NBA","Telecasts","Network","ESPN",69,"Value","The Nielson Company"
"35","2010-2011","NBA","Telecasts","Network","ESPN",69,"Value","The Nielson Company"
"36","2011-2012","NBA","Telecasts","Network","ESPN",69,"Value","The Nielson Company"
"37","2003-2004","NBA","Ratings","Network","TNT",1.4,"Value_Millions","The Nielson Company"
"38","2004-2005","NBA","Ratings","Network","TNT",1.3,"Value_Millions","The Nielson Company"
"39","2005-2006","NBA","Ratings","Network","TNT",1.3,"Value_Millions","The Nielson Company"
"40","2006-2007","NBA","Ratings","Network","TNT",1.2,"Value_Millions","The Nielson Company"
"41","2007-2008","NBA","Ratings","Network","TNT",1.1,"Value_Millions","The Nielson Company"
"42","2008-2009","NBA","Ratings","Network","TNT",1.1,"Value_Millions","The Nielson Company"
"43","2009-2010","NBA","Ratings","Network","TNT",1.1,"Value_Millions","The Nielson Company"
"44","2010-2011","NBA","Ratings","Network","TNT",1.6,"Value_Millions","The Nielson Company"
"45","2011-2012","NBA","Ratings","Network","TNT",1.7,"Value_Millions","The Nielson Company"
"46","2003-2004","NBA","Telecasts","Network","TNT",53,"Value","The Nielson Company"
"47","2004-2005","NBA","Telecasts","Network","TNT",53,"Value","The Nielson Company"
"48","2005-2006","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"49","2006-2007","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"50","2007-2008","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"51","2008-2009","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"52","2009-2010","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"53","2010-2011","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"54","2011-2012","NBA","Telecasts","Network","TNT",52,"Value","The Nielson Company"
"55","2003-2004","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"56","2004-2005","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"57","2005-2006","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"58","2006-2007","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"59","2007-2008","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"60","2008-2009","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"61","2009-2010","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"62","2010-2011","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"63","2011-2012","NBA","Ratings","Network","ESPN2",0.6,"Value_Millions","The Nielson Company"
"64","2003-2004","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
"65","2004-2005","NBA","Telecasts","Network","ESPN2",18,"Value","The Nielson Company"
"66","2005-2006","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
"67","2006-2007","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
"68","2007-2008","NBA","Telecasts","Network","ESPN2",20,"Value","The Nielson Company"
"69","2008-2009","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
"70","2009-2010","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
"71","2010-2011","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
"72","2011-2012","NBA","Telecasts","Network","ESPN2",21,"Value","The Nielson Company"
