"","League","Event","Matchup","Event_Details","Network","Variable","Value","Value_Type","Date","Period","Source"
"1","NFL","Super Bowl XLV","Packers-Steelers","","Fox","Viewers",111,"Value_Millions",2011-02-06,2011,"The Nielsen Company"
"2","NFL","AFC Championship","Jets-Steelers","","CBS","Viewers",54.8,"Value_Millions",2011-01-23,2011,"The Nielsen Company"
"3","NFL","NFC Championship","Packers-Bears","","Fox","Viewers",51.9,"Value_Millions",2011-01-23,2011,"The Nielsen Company"
"4","NFL","AFC Divisional Playoff","Jets-Patriots","","CBS","Viewers",43.5,"Value_Millions",2011-01-16,2011,"The Nielsen Company"
"5","NFL","NFC Wild Card","Packers-Eagles","","Fox","Viewers",39.3,"Value_Millions",2011-01-09,2011,"The Nielsen Company"
"6","NFL","AFC Divisional Playoff","Ravens-Steelers","","CBS","Viewers",34,"Value_Millions",2011-01-15,2011,"The Nielsen Company"
"7","NFL","AFC Wild Card","Jets-Colts","","NBC","Viewers",33.4,"Value_Millions",2011-01-08,2011,"The Nielsen Company"
"8","NFL","NFC Divisional Playoff","Seahawks-Bears","","Fox","Viewers",32.5,"Value_Millions",2011-01-16,2011,"The Nielsen Company"
"9","NFL","NFL on CBS","Dolphins-Cowboys","","CBS","Viewers",30.9,"Value_Millions",2011-11-24,2011,"The Nielsen Company"
"10","NFL","NFC Divisional Playoff","Packers-Falcons","","Fox","Viewers",30.8,"Value_Millions",2011-01-15,2011,"The Nielsen Company"
"11","MLB","World Series","Cardinals-Rangers","Game Seven","Fox","Viewers",25.4,"Value_Millions",2011-10-28,2011,"The Nielsen Company"
"12","NBA","NBA Finals","Mavericks-Heat","Game Six","ABC","Viewers",23.9,"Value_Millions",2011-06-12,2011,"The Nielsen Company"
"13","MLB","World Series","Cardinals-Rangers","Game Six","Fox","Viewers",21.1,"Value_Millions",2011-10-27,2011,"The Nielsen Company"
"14","NCAA Men's Basketball","NCAA Tournament","UConn-Butler","National Championship Game","CBS","Viewers",20.1,"Value_Millions",2011-04-04,2011,"The Nielsen Company"
"15","NCAA Football","NCAA Football","LSU-Alabama","","CBS","Viewers",20,"Value_Millions",2011-11-05,2011,"The Nielsen Company"
"16","NBA","NBA Finals","Mavericks-Heat","Game Five","ABC","Viewers",18.3,"Value_Millions",2011-06-09,2011,"The Nielsen Company"
"17","NCAA Men's Basketball","NCAA Tournament","UConn-Kentucky","Final Four","CBS","Viewers",16.7,"Value_Millions",2011-04-02,2011,"The Nielsen Company"
"18","NBA","NBA Finals","Mavericks-Heat","Game Four","ABC","Viewers",16.1,"Value_Millions",2011-06-07,2011,"The Nielsen Company"
"19","NASCAR","NASCAR Sprint Cup","Daytona 500","","Fox","Viewers",15.6,"Value_Millions",2011-02-20,2011,"The Nielsen Company"
"20","NBA","NBA Finals","Mavericks-Heat","Game Two","ABC","Viewers",15.5,"Value_Millions",2011-06-02,2011,"The Nielsen Company"
