"","Period","Facet_Type","Facet_Value","Variable","Value","Value_Type","Source"
"1",2011-06-01,"Website","Yahoo! Sports","Unique Page Views",51.12,"Value_Millions","Comscore"
"2",2011-06-01,"Website","ESPN","Unique Page Views",36.2,"Value_Millions","Comscore"
"3",2011-06-01,"Website","FoxSports.com on MSN","Unique Page Views",24.9,"Value_Millions","Comscore"
"4",2011-06-01,"Website","Turner-SI Digital","Unique Page Views",23.06,"Value_Millions","Comscore"
"5",2011-06-01,"Website","Big Lead Sports by FSV","Unique Page Views",17.26,"Value_Millions","Comscore"
"6",2011-06-01,"Website","MLB.com","Unique Page Views",10.91,"Value_Millions","Comscore"
"7",2011-06-01,"Website","CBS Sports","Unique Page Views",10.27,"Value_Millions","Comscore"
"8",2011-06-01,"Website","NBC Sports","Unique Page Views",9.45,"Value_Millions","Comscore"
"9",2011-06-01,"Website","USA Today Sports Media Group","Unique Page Views",9.36,"Value_Millions","Comscore"
"10",2011-06-01,"Website","BleacherReport.com","Unique Page Views",7.86,"Value_Millions","Comscore"
"11",2011-06-01,"Website","Sporting News on AOL","Unique Page Views",7.05,"Value_Millions","Comscore"
"12",2011-06-01,"Website","NFL Internet Group","Unique Page Views",6.14,"Value_Millions","Comscore"
"13",2011-06-01,"Website","SB Nation","Unique Page Views",6.06,"Value_Millions","Comscore"
"14",2011-06-01,"Website","Stack Media","Unique Page Views",4.49,"Value_Millions","Comscore"
"15",2011-06-01,"Website","NHL Network","Unique Page Views",4.21,"Value_Millions","Comscore"
"16",2011-08-01,"Website","Yahoo! Sports","Unique Page Views",47.42,"Value_Millions","Comscore"
"17",2011-08-01,"Website","ESPN","Unique Page Views",41.62,"Value_Millions","Comscore"
"18",2011-08-01,"Website","FoxSports.com on MSN","Unique Page Views",31.52,"Value_Millions","Comscore"
"19",2011-08-01,"Website","NFL Internet Group","Unique Page Views",21.47,"Value_Millions","Comscore"
"20",2011-08-01,"Website","Big Lead Sports by FSV","Unique Page Views",20.08,"Value_Millions","Comscore"
"21",2011-08-01,"Website","Turner-SI Digital","Unique Page Views",18.57,"Value_Millions","Comscore"
"22",2011-08-01,"Website","MLB.com","Unique Page Views",16.61,"Value_Millions","Comscore"
"23",2011-08-01,"Website","CBS Sports","Unique Page Views",16,"Value_Millions","Comscore"
"24",2011-08-01,"Website","USA Today Sports Media Group","Unique Page Views",11.55,"Value_Millions","Comscore"
"25",2011-08-01,"Website","NBC Sports","Unique Page Views",11.03,"Value_Millions","Comscore"
"26",2011-08-01,"Website","Sporting News on AOL","Unique Page Views",7.73,"Value_Millions","Comscore"
"27",2011-08-01,"Website","BleacherReport.com","Unique Page Views",7.72,"Value_Millions","Comscore"
"28",2011-08-01,"Website","SB Nation","Unique Page Views",6.82,"Value_Millions","Comscore"
"29",2011-08-01,"Website","Stack Media","Unique Page Views",6.17,"Value_Millions","Comscore"
"30",2011-08-01,"Website","HuffPost Sports","Unique Page Views",4.46,"Value_Millions","Comscore"
"31",2012-03-01,"Website","Yahoo! Sports","Unique Page Views",49.91,"Value_Millions","Comscore"
"32",2012-03-01,"Website","ESPN","Unique Page Views",37.72,"Value_Millions","Comscore"
"33",2012-03-01,"Website","FoxSports.com on MSN","Unique Page Views",36.3,"Value_Millions","Comscore"
"34",2012-03-01,"Website","USA Today Sports Media Group","Unique Page Views",23.65,"Value_Millions","Comscore"
"35",2012-03-01,"Website","Turner Sports Digital","Unique Page Views",23.35,"Value_Millions","Comscore"
"36",2012-03-01,"Website","CBS Sports","Unique Page Views",20.95,"Value_Millions","Comscore"
"37",2012-03-01,"Website","NBC Sports","Unique Page Views",10.72,"Value_Millions","Comscore"
"38",2012-03-01,"Website","SB Nation","Unique Page Views",10.87,"Value_Millions","Comscore"
"39",2012-03-01,"Website","NFL Internet Group","Unique Page Views",10.71,"Value_Millions","Comscore"
"40",2012-03-01,"Website","Sports Illustrated sites","Unique Page Views",11.14,"Value_Millions","Comscore"
"41",2012-03-01,"Website","Sporting News on AOL","Unique Page Views",9.94,"Value_Millions","Comscore"
"42",2012-03-01,"Website","MLB.com","Unique Page Views",9.76,"Value_Millions","Comscore"
"43",2012-03-01,"Website","BleacherReport.com","Unique Page Views",8.99,"Value_Millions","Comscore"
"44",2012-03-01,"Website","Active.com sites","Unique Page Views",6.86,"Value_Millions","Comscore"
"45",2012-03-01,"Website","Big Lead Sports by FSV","Unique Page Views",6.24,"Value_Millions","Comscore"
