Date,Season,Details
6/1/1994,1993-1994,"The NBA fined Nick Van Exel (LAL) $5,000 for playing in an ""unsanctioned"" game. Members of Cincinnati's 1992 team played the touring Russian National team Wednesday. Since the game was not sanctioned by the NBA, Van Exel would not have been covered under his contract if he was injured in the game."
6/21/1994,1993-1994,"The NBA fined Chicago $100,000 for permitting Michael Jordan to change his jersey number from #45 to #23 during the playoffs. The team was fined an initial $25,000 when Jordan wore #23 in game 2 of the Orlando- Chicago series and warned that additional punishment would be assessed after the playoffs ended if Jordan continued to wear #23. The fine amounts to $25,000 per game for games 3-6 of the series."
9/30/1994,1994-1995,"The NBA reinstated Roy Tarpley. Tarpley was given a ""life suspension"" (since renamed to ""indefinite suspension"") on Oct. 16, 1991 with a strike three in the league's anti-drug program after he refused to take a drug test. Dallas is expected to sign Tarpley to a contract sometime next week."
10/10/1994,1994-1995,"Seattle has added an additional year worth $20 million to Shawn Kemp's contract. Thus, Kemp ended his hold-out. He was fined $1,200 for missing the first 4 days of training camp."
10/15/1994,1994-1995,Portland has suspended indefinitely without pay hold-out Clifford Robinson.
11/2/1994,1994-1995,"Dennis Rodman's (SA) suspension is no longer indefinite. He will miss 3 games and is currently expected to appear in November 12th's game vs New York. 11/1/94 San Antonio suspended without pay Dennis Rodman for ""conduct detrimental to the club."" His suspension will last at least through Friday's opener. 10/28/94 The NBA fined Charles Oakley (NY) $10,000 and suspended him for two games and fined Charles Barkley (Hou) $5,000 and suspended him for one game for their fight in Friday's Hou-NY game. 10/28/94 Vernon Maxwell (Hou) was fined $3,500 for a flagrant foul committed in Monday's Cle-Hou game. Maxwell threw a forearm at Chris Mills (Cle). 10/20/94 San Antonio fined Dennis Rodman $15,000 for not showing up to the Alamodome for last night's game. It was the largest fine San Antonio has ever handed out. Rodman was not scheduled to play due to back injuries."
11/7/1994,1994-1995,"Dennis Rodman (SA) did not show up at Wednesday's practice, as he was scheduled to appear. The Spurs have suspended Rodman without pay. Rodman had been on a paid leave of absence."
11/10/1994,1994-1995,Dennis Rodman's (SA) suspension ended and he decided to celebrate by skipping Thursday's practice. The GM and coach have scheduled a meeting with Rodman for today.
11/11/1994,1994-1995,"Dennis Rodman (SA) met with San Antonio's GM for about 1/2 hour yesterday and the two did not resolve their differences. Thus, Rodman is still suspended (indefinitely)."
11/12/1994,1994-1995,Dennis Rodman (SA) is not listed as suspended. He has been given an indefinite leave of absence - it was mutually agreed upon between the team and Rodman.
11/16/1994,1994-1995,"The league fined Chicago coach Phil Jackson $10,000 for criticizing a ref."
11/29/1994,1994-1995,Charlotte suspended David Wingate for 2 days for violating an undisclosed team policy.
