Franchise,Gate,Media,Stadium,Other Revenue,Total Revenue,Player Salaries,Other Expenses,Total Expenses,Operating Income,Franchise Value,Debt,Season,Source URL
Boston Celtics,,,,0,"167,927","92,574","139,384","231,958","-64,031",,,1951-1952,
Ft. Wayne Pistons,,,,0,"163,000","72,000","137,000","209,000","-46,000",,,1951-1952,
Minneapolis Lakers,,,,0,"366,293","82,488","294,898","377,386","-11,093",,,1951-1952,
Rochester Royals,,,,0,"184,437","73,000","122,100","195,100","-10,663",,,1951-1952,
Milwaukee Hawks,,,,0,"115,587","46,406","80,111","126,517","-10,930",,,1951-1952,
Syracuse Nationals,,,,0,"266,294","72,575","195,934","268,509","-2,215",,,1951-1952,
New York Knicks,,,,0,"269,919","91,432","132,445","223,877","46,042",,,1951-1952,
Ft. Wayne Pistons,"194,572",0,0,"15,715","210,287","78,921","148,434","227,355","-17,068",,,1952-1953,
Syracuse Nationals,"250,617",0,0,"15,678","266,295","72,575","195,934","268,509","-2,214",,,1952-1953,
New York Knicks,0,0,0,"269,919","269,919","91,432","132,445","223,877","46,042",,,1952-1953,
Boston Celtics,"131,380",0,0,"1,337","132,717","92,574","90,173","182,747","-50,030",,,1952-1953,
Minneapolis Lakers,"42,231",0,0,"324,062","366,293","130,882","246,509","377,391","-11,098",,,1952-1953,
Rochester Royals,"137,100",0,0,"35,837","172,937","73,000","122,100","195,100","-22,163",,,1952-1953,
Milwaukee Hawks,"82,177",0,0,"33,410","115,587","46,406","67,761","114,167","1,420",,,1952-1953,
Philadelphia Warriors,0,0,0,"114,509","114,509","64,824","83,074","147,898","-33,389",,,1952-1953,
Ft. Wayne Pistons,"126,529",0,0,"15,219","141,748","92,643","108,407","201,050","-59,302",,,1953-1954,
Syracuse Nationals,"170,382",0,0,"18,496","188,878","78,385","123,032","201,417","-12,539",,,1953-1954,
New York Knicks,0,0,0,"351,735","351,735","98,305","161,807","260,112","91,623",,,1953-1954,
Boston Celtics,"178,829",0,0,"11,821","190,650","95,833","99,944","195,777","-5,127",,,1953-1954,
Minneapolis Lakers,"59,093",0,0,"246,806","305,899","114,355","185,998","300,353","5,546",,,1953-1954,
Rochester Royals,"120,600",0,0,"30,500","151,100","71,000","122,500","193,500","-42,400",,,1953-1954,
Milwaukee Hawks,"75,929",0,0,"32,930","108,859","56,826","56,804","113,630","-4,771",,,1953-1954,
Philadelphia Warriors,0,0,0,"120,698","120,698","75,245","64,916","140,161","-19,463",,,1953-1954,
Ft. Wayne Pistons,"139,241",0,0,"24,182","163,423","100,234","82,550","182,784","-19,361",,,1954-1955,
Syracuse Nationals,"140,303",0,0,"59,148","199,451","70,790","130,721","201,511","-2,060",,,1954-1955,
