"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Atlanta Hawks","20","10",".667","2","1.61","105.4","102.9","","L. Drew (20-10)"
"2","2011-12","NBA","Atlanta Hawks*","40","26",".606","2","2.67","104.9","101.2","Lost Eastern Conference First Round","L. Drew (40-26)"
"3","2010-11","NBA","Atlanta Hawks*","44","38",".537","3","-1.10","106.1","107.0","Lost Eastern Conference Semifinals","L. Drew (44-38)"
"4","2009-10","NBA","Atlanta Hawks*","53","29",".646","2","4.44","111.9","106.7","Lost Eastern Conference Semifinals","M. Woodson (53-29)"
"5","2008-09","NBA","Atlanta Hawks*","47","35",".573","2","1.71","109.3","107.6","Lost Eastern Conference Semifinals","M. Woodson (47-35)"
"6","2007-08","NBA","Atlanta Hawks*","37","45",".451","3","-2.23","106.9","108.9","Lost Eastern Conference First Round","M. Woodson (37-45)"
"7","2006-07","NBA","Atlanta Hawks","30","52",".366","5","-4.86","103.0","108.3","","M. Woodson (30-52)"
"8","2005-06","NBA","Atlanta Hawks","26","56",".317","5","-4.69","106.4","111.6","","M. Woodson (26-56)"
"9","2004-05","NBA","Atlanta Hawks","13","69",".159","5","-9.62","100.6","111.1","","M. Woodson (13-69)"
"10","2003-04","NBA","Atlanta Hawks","28","54",".341","7","-5.00","101.0","106.1","","T. Stotts (28-54)"
"11","2002-03","NBA","Atlanta Hawks","35","47",".427","5","-3.87","102.3","106.1","","L. Kruger (11-16), T. Stotts (24-31)"
"12","2001-02","NBA","Atlanta Hawks","33","49",".402","6","-4.41","101.8","106.4","","L. Kruger (33-49)"
"13","2000-01","NBA","Atlanta Hawks","25","57",".305","7","-5.55","98.7","104.3","","L. Kruger (25-57)"
"14","1999-00","NBA","Atlanta Hawks","28","54",".341","7","-5.41","102.0","107.9","","L. Wilkens (28-54)"
"15","1998-99","NBA","Atlanta Hawks*","31","19",".620","2","2.82","100.5","97.1","Lost Eastern Conference Semifinals","L. Wilkens (31-19)"
"16","1997-98","NBA","Atlanta Hawks*","50","32",".610","4","3.85","108.2","104.3","Lost Eastern Conference First Round","L. Wilkens (50-32)"
"17","1996-97","NBA","Atlanta Hawks*","56","26",".683","2","5.52","108.5","102.3","Lost Eastern Conference Semifinals","L. Wilkens (56-26)"
"18","1995-96","NBA","Atlanta Hawks*","46","36",".561","4","1.28","109.4","108.0","Lost Eastern Conference Semifinals","L. Wilkens (46-36)"
"19","1994-95","NBA","Atlanta Hawks*","42","40",".512","5","1.05","106.6","105.2","Lost Eastern Conference First Round","L. Wilkens (42-40)"
"20","1993-94","NBA","Atlanta Hawks*","57","25",".695","1","4.94","107.2","101.7","Lost Eastern Conference Semifinals","L. Wilkens (57-25)"
"21","1992-93","NBA","Atlanta Hawks*","43","39",".524","4","-0.67","109.3","110.2","Lost Eastern Conference First Round","B. Weiss (43-39)"
"22","1991-92","NBA","Atlanta Hawks","38","44",".463","5","-1.15","107.3","108.9","","B. Weiss (38-44)"
"23","1990-91","NBA","Atlanta Hawks*","43","39",".524","4","0.72","110.9","110.1","Lost Eastern Conference First Round","B. Weiss (43-39)"
"24","1989-90","NBA","Atlanta Hawks","41","41",".500","6","0.64","113.0","111.9","","M. Fratello (41-41)"
"25","1988-89","NBA","Atlanta Hawks*","52","30",".634","3","5.26","112.2","107.2","Lost Eastern Conference First Round","M. Fratello (52-30)"
"26","1987-88","NBA","Atlanta Hawks*","50","32",".610","3","4.02","111.3","107.6","Lost Eastern Conference Semifinals","M. Fratello (50-32)"
"27","1986-87","NBA","Atlanta Hawks*","57","25",".695","1","7.19","112.6","105.2","Lost Eastern Conference Semifinals","M. Fratello (57-25)"
"28","1985-86","NBA","Atlanta Hawks*","50","32",".610","2","2.59","107.9","105.6","Lost Eastern Conference Semifinals","M. Fratello (50-32)"
"29","1984-85","NBA","Atlanta Hawks","34","48",".415","5","-1.14","105.9","107.3","","M. Fratello (34-48)"
"30","1983-84","NBA","Atlanta Hawks*","40","42",".488","3","-1.08","105.5","106.9","Lost Eastern Conference First Round","M. Fratello (40-42)"
"31","1982-83","NBA","Atlanta Hawks*","43","39",".524","2","-0.72","102.2","103.2","Lost Eastern Conference First Round","K. Loughery (43-39)"
"32","1981-82","NBA","Atlanta Hawks*","42","40",".512","2","0.81","105.1","104.6","Lost Eastern Conference First Round","K. Loughery (42-40)"
"33","1980-81","NBA","Atlanta Hawks","31","51",".378","4","-2.37","104.3","107.3","","H. Brown (31-48), M. Fratello (0-3)"
"34","1979-80","NBA","Atlanta Hawks*","50","32",".610","1","2.82","105.2","102.3","Lost Eastern Conference Semifinals","H. Brown (50-32)"
"35","1978-79","NBA","Atlanta Hawks*","46","36",".561","3","1.92","105.6","103.6","Lost Eastern Conference Semifinals","H. Brown (46-36)"
"36","1977-78","NBA","Atlanta Hawks*","41","41",".500","4","-0.13","99.7","99.8","Lost Eastern Conference First Round","H. Brown (41-41)"
"37","1976-77","NBA","Atlanta Hawks","31","51",".378","6","-3.87","97.8","101.6","","H. Brown (31-51)"
"38","1975-76","NBA","Atlanta Hawks","29","53",".354","5","-2.66","98.4","101.2","","C. Fitzsimmons (28-46), G. Tormholen (1-7)"
"39","1974-75","NBA","Atlanta Hawks","31","51",".378","4","-1.32","98.3","99.5","","C. Fitzsimmons (31-51)"
"40","1973-74","NBA","Atlanta Hawks","35","47",".427","2","-1.47","97.7","99.0","","C. Fitzsimmons (35-47)"
"41","1972-73","NBA","Atlanta Hawks*","46","36",".561","2","-0.16","","","Lost Eastern Conference Semifinals","C. Fitzsimmons (46-36)"
"42","1971-72","NBA","Atlanta Hawks*","36","46",".439","2","-1.94","","","Lost Eastern Conference Semifinals","R. Guerin (36-46)"
"43","1970-71","NBA","Atlanta Hawks*","36","46",".439","2","-1.31","","","Lost Eastern Conference Semifinals","R. Guerin (36-46)"
"44","1969-70","NBA","Atlanta Hawks*","48","34",".585","1","0.31","","","Lost Western Division Finals","R. Guerin (48-34)"
"45","1968-69","NBA","Atlanta Hawks*","48","34",".585","2","2.06","","","Lost Western Division Finals","R. Guerin (48-34)"
"46","1967-68","NBA","St. Louis Hawks*","56","26",".683","1","2.37","","","Lost Western Division Semifinals","R. Guerin (56-26)"
"47","1966-67","NBA","St. Louis Hawks*","39","42",".481","2","-1.44","","","Lost Western Division Finals","R. Guerin (39-42)"
"48","1965-66","NBA","St. Louis Hawks*","36","44",".450","3","-0.50","","","Lost Western Division Finals","R. Guerin (36-44)"
"49","1964-65","NBA","St. Louis Hawks*","45","35",".563","2","2.69","","","Lost Western Division Semifinals","H. Gallatin (17-16), R. Guerin (28-19)"
"50","1963-64","NBA","St. Louis Hawks*","46","34",".575","2","1.39","","","Lost Western Division Finals","H. Gallatin (46-34)"
"51","1962-63","NBA","St. Louis Hawks*","48","32",".600","2","1.38","","","Lost Western Division Finals","H. Gallatin (48-32)"
"52","1961-62","NBA","St. Louis Hawks","29","51",".363","4","-2.96","","","","P. Seymour (5-9), A. Levane (20-40), B. Pettit (4-2)"
"53","1960-61","NBA","St. Louis Hawks*","51","28",".646","1","2.98","","","Lost Finals","P. Seymour (51-28)"
"54","1959-60","NBA","St. Louis Hawks*","46","29",".613","1","1.77","","","Lost Finals","E. Macauley (46-29)"
"55","1958-59","NBA","St. Louis Hawks*","49","23",".681","1","2.89","","","Lost Western Division Finals","A. Phillip (6-4), E. Macauley (43-19)"
"56","1957-58","NBA","St. Louis Hawks*","41","31",".569","1","0.82","","","Won Finals","A. Hannum (41-31)"
"57","1956-57","NBA","St. Louis Hawks*","34","38",".472","1","-0.26","","","Lost Finals","R. Holzman (14-19), S. Martin (5-3), A. Hannum (15-16)"
"58","1955-56","NBA","St. Louis Hawks*","33","39",".458","3","-1.42","","","Lost Western Division Finals","R. Holzman (33-39)"
"59","1954-55","NBA","Milwaukee Hawks","26","46",".361","4","-2.66","","","","R. Holzman (26-46)"
"60","1953-54","NBA","Milwaukee Hawks","21","51",".292","4","-4.55","","","","A. Levane (11-35), R. Holzman (10-16)"
"61","1952-53","NBA","Milwaukee Hawks","27","44",".380","5","-2.49","","","","A. Levane (27-44)"
"62","1951-52","NBA","Milwaukee Hawks","17","49",".258","5","-7.04","","","","D. Moore (17-49)"
"63","1950-51","NBA","Tri-Cities Blackhawks","25","43",".368","5","-3.22","","","","D. McMillan (9-14), J. Logan (2-1), M. Todorovich (14-28)"
"64","1949-50","NBA","Tri-Cities Blackhawks*","29","35",".453","3","-1.43","","","Lost Western Division Semifinals","R. Potter (1-6), R. Auerbach (28-29)"
