"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Chicago Bulls","17","13",".567","2","0.17","102.3","101.4","","T. Thibodeau (17-13)"
"2","2011-12","NBA","Chicago Bulls*","50","16",".758","1","7.43","107.4","98.3","Lost Eastern Conference First Round","T. Thibodeau (50-16)"
"3","2010-11","NBA","Chicago Bulls*","62","20",".756","1","6.53","108.3","100.3","Lost Eastern Conference Finals","T. Thibodeau (62-20)"
"4","2009-10","NBA","Chicago Bulls*","41","41",".500","3","-1.63","103.5","105.3","Lost Eastern Conference First Round","V. Del Negro (41-41)"
"5","2008-09","NBA","Chicago Bulls*","41","41",".500","2","-0.16","108.4","108.7","Lost Eastern Conference First Round","V. Del Negro (41-41)"
"6","2007-08","NBA","Chicago Bulls","33","49",".402","4","-3.19","103.9","107.2","","S. Skiles (9-16), P. Myers (0-1), J. Boylan (24-32)"
"7","2006-07","NBA","Chicago Bulls*","49","33",".598","3","4.52","104.9","99.6","Lost Eastern Conference Semifinals","S. Skiles (49-33)"
"8","2005-06","NBA","Chicago Bulls*","41","41",".500","4","0.51","104.0","103.4","Lost Eastern Conference First Round","S. Skiles (41-41)"
"9","2004-05","NBA","Chicago Bulls*","47","35",".573","2","0.65","101.4","100.3","Lost Eastern Conference First Round","S. Skiles (47-35)"
"10","2003-04","NBA","Chicago Bulls","23","59",".280","8","-6.69","96.6","103.4","","B. Cartwright (4-10), P. Myers (0-2), S. Skiles (19-47)"
"11","2002-03","NBA","Chicago Bulls","30","52",".366","6","-5.31","100.2","105.6","","B. Cartwright (30-52)"
"12","2001-02","NBA","Chicago Bulls","21","61",".256","8","-8.52","98.2","107.6","","T. Floyd (4-21), B. Berry (0-2), B. Cartwright (17-38)"
"13","2000-01","NBA","Chicago Bulls","15","67",".183","8","-9.09","97.2","107.3","","T. Floyd (15-67)"
"14","1999-00","NBA","Chicago Bulls","17","65",".207","8","-9.23","94.2","104.6","","T. Floyd (17-65)"
"15","1998-99","NBA","Chicago Bulls","13","37",".260","8","-8.58","92.4","103.0","","T. Floyd (13-37)"
"16","1997-98","NBA","Chicago Bulls*","62","20",".756","1","7.24","107.7","99.8","Won Finals","P. Jackson (62-20)"
"17","1996-97","NBA","Chicago Bulls*","69","13",".841","1","10.70","114.4","102.4","Won Finals","P. Jackson (69-13)"
"18","1995-96","NBA","Chicago Bulls*","72","10",".878","1","11.80","115.2","101.8","Won Finals","P. Jackson (72-10)"
"19","1994-95","NBA","Chicago Bulls*","47","35",".573","3","4.31","109.5","104.3","Lost Eastern Conference Semifinals","P. Jackson (47-35)"
"20","1993-94","NBA","Chicago Bulls*","55","27",".671","2","2.87","106.1","102.7","Lost Eastern Conference Semifinals","P. Jackson (55-27)"
"21","1992-93","NBA","Chicago Bulls*","57","25",".695","1","6.19","112.9","106.1","Won Finals","P. Jackson (57-25)"
"22","1991-92","NBA","Chicago Bulls*","67","15",".817","1","10.07","115.5","104.5","Won Finals","P. Jackson (67-15)"
"23","1990-91","NBA","Chicago Bulls*","61","21",".744","1","8.57","114.6","105.2","Won Finals","P. Jackson (61-21)"
"24","1989-90","NBA","Chicago Bulls*","55","27",".671","2","2.74","112.3","109.0","Lost Eastern Conference Finals","P. Jackson (55-27)"
"25","1988-89","NBA","Chicago Bulls*","47","35",".573","5","2.13","109.1","107.7","Lost Eastern Conference Finals","D. Collins (47-35)"
"26","1987-88","NBA","Chicago Bulls*","50","32",".610","2","3.76","109.0","105.5","Lost Eastern Conference Semifinals","D. Collins (50-32)"
"27","1986-87","NBA","Chicago Bulls*","40","42",".488","5","1.27","108.6","107.6","Lost Eastern Conference First Round","D. Collins (40-42)"
"28","1985-86","NBA","Chicago Bulls*","30","52",".366","4","-3.12","108.6","112.4","Lost Eastern Conference First Round","S. Albeck (30-52)"
"29","1984-85","NBA","Chicago Bulls*","38","44",".463","3","-0.50","108.7","109.6","Lost Eastern Conference First Round","K. Loughery (38-44)"
"30","1983-84","NBA","Chicago Bulls","27","55",".329","5","-4.69","102.4","107.5","","K. Loughery (27-55)"
"31","1982-83","NBA","Chicago Bulls","28","54",".341","4","-4.41","103.4","108.0","","P. Westhead (28-54)"
"32","1981-82","NBA","Chicago Bulls","34","48",".415","5","-1.57","106.6","108.6","","J. Sloan (19-32), P. Johnson (0-1), R. Thorn (15-15)"
"33","1980-81","NBA","Chicago Bulls*","45","37",".549","2","2.34","107.8","105.8","Lost Eastern Conference Semifinals","J. Sloan (45-37)"
"34","1979-80","NBA","Chicago Bulls","30","52",".366","4","-2.63","104.3","107.0","","J. Sloan (30-52)"
"35","1978-79","NBA","Chicago Bulls","31","51",".378","5","-3.78","101.3","105.1","","L. Costello (20-36), S. Robertson (11-15)"
"36","1977-78","NBA","Chicago Bulls","40","42",".488","3","-0.79","102.0","102.9","","E. Badger (40-42)"
"37","1976-77","NBA","Chicago Bulls*","44","38",".537","3","0.93","98.3","97.4","Lost Western Conference First Round","E. Badger (44-38)"
"38","1975-76","NBA","Chicago Bulls","24","58",".293","4","-2.90","95.2","98.0","","D. Motta (24-58)"
"39","1974-75","NBA","Chicago Bulls*","47","35",".573","1","2.89","97.4","94.4","Lost Western Conference Finals","D. Motta (47-35)"
"40","1973-74","NBA","Chicago Bulls*","54","28",".659","2","3.20","96.7","93.6","Lost Western Conference Finals","D. Motta (54-28)"
"41","1972-73","NBA","Chicago Bulls*","51","31",".622","2","3.43","","","Lost Western Conference Semifinals","D. Motta (51-31)"
"42","1971-72","NBA","Chicago Bulls*","57","25",".695","2","7.91","","","Lost Western Conference Semifinals","D. Motta (57-25)"
"43","1970-71","NBA","Chicago Bulls*","51","31",".622","2","5.47","","","Lost Western Conference Semifinals","D. Motta (51-31)"
"44","1969-70","NBA","Chicago Bulls*","39","43",".476","4","-1.71","","","Lost Western Division Semifinals","D. Motta (39-43)"
"45","1968-69","NBA","Chicago Bulls","33","49",".402","5","-2.11","","","","D. Motta (33-49)"
"46","1967-68","NBA","Chicago Bulls*","29","53",".354","4","-3.77","","","Lost Western Division Semifinals","R. Kerr (29-53)"
"47","1966-67","NBA","Chicago Bulls*","33","48",".407","4","-3.37","","","Lost Western Division Semifinals","R. Kerr (33-48)"
