"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Denver Nuggets","18","16",".529","2","3.35","107.6","105.5","","G. Karl (18-16)"
"2","2011-12","NBA","Denver Nuggets*","38","28",".576","2","3.16","109.2","106.2","Lost Western Conference First Round","G. Karl (38-28)"
"3","2010-11","NBA","Denver Nuggets*","50","32",".610","2","4.81","112.3","107.3","Lost Western Conference First Round","G. Karl (50-32)"
"4","2009-10","NBA","Denver Nuggets*","53","29",".646","1","4.15","111.8","107.5","Lost Western Conference First Round","G. Karl (53-29)"
"5","2008-09","NBA","Denver Nuggets*","54","28",".659","1","3.13","110.4","106.8","Lost Western Conference Finals","G. Karl (54-28)"
"6","2007-08","NBA","Denver Nuggets*","50","32",".610","2","3.74","110.0","106.3","Lost Western Conference First Round","G. Karl (50-32)"
"7","2006-07","NBA","Denver Nuggets*","45","37",".549","2","1.69","107.6","105.9","Lost Western Conference First Round","G. Karl (45-37)"
"8","2005-06","NBA","Denver Nuggets*","44","38",".537","1","0.36","105.5","105.2","Lost Western Conference First Round","G. Karl (44-38)"
"9","2004-05","NBA","Denver Nuggets*","49","33",".598","2","2.22","106.0","103.9","Lost Western Conference First Round","J. Bzdelik (13-15), M. Cooper (4-10), G. Karl (32-8)"
"10","2003-04","NBA","Denver Nuggets*","43","39",".524","6","1.65","103.9","102.7","Lost Western Conference First Round","J. Bzdelik (43-39)"
"11","2002-03","NBA","Denver Nuggets","17","65",".207","7","-7.41","92.2","101.3","","J. Bzdelik (17-65)"
"12","2001-02","NBA","Denver Nuggets","27","55",".329","6","-5.19","101.4","107.8","","D. Issel (9-17), M. Evans (18-38)"
"13","2000-01","NBA","Denver Nuggets","40","42",".488","6","-1.83","103.7","106.3","","D. Issel (40-42)"
"14","1999-00","NBA","Denver Nuggets","35","47",".427","5","-1.76","103.5","105.8","","D. Issel (35-47)"
"15","1998-99","NBA","Denver Nuggets","14","36",".280","6","-6.67","103.1","110.4","","M. D'Antoni (14-36)"
"16","1997-98","NBA","Denver Nuggets","11","71",".134","7","-11.74","99.0","112.1","","B. Hanzlik (11-71)"
"17","1996-97","NBA","Denver Nuggets","21","61",".256","5","-6.40","104.5","111.2","","B. Bickerstaff (4-9), D. Motta (17-52)"
"18","1995-96","NBA","Denver Nuggets","35","47",".427","4","-2.62","105.2","108.1","","B. Bickerstaff (35-47)"
"19","1994-95","NBA","Denver Nuggets*","41","41",".500","4","0.95","109.1","108.2","Lost Western Conference First Round","D. Issel (18-16), G. Littles (3-13), B. Bickerstaff (20-12)"
"20","1993-94","NBA","Denver Nuggets*","42","40",".512","4","1.54","103.9","102.3","Lost Western Conference Semifinals","D. Issel (42-40)"
"21","1992-93","NBA","Denver Nuggets","36","46",".439","4","-2.14","104.6","106.3","","D. Issel (36-46)"
"22","1991-92","NBA","Denver Nuggets","24","58",".293","4","-7.58","100.7","108.6","","P. Westhead (24-58)"
"23","1990-91","NBA","Denver Nuggets","20","62",".244","7","-10.32","105.2","114.7","","P. Westhead (20-62)"
"24","1989-90","NBA","Denver Nuggets*","43","39",".524","4","1.56","108.0","106.7","Lost Western Conference First Round","D. Moe (43-39)"
"25","1988-89","NBA","Denver Nuggets*","44","38",".537","3","0.91","108.6","107.1","Lost Western Conference First Round","D. Moe (44-38)"
"26","1987-88","NBA","Denver Nuggets*","54","28",".659","1","3.32","110.1","106.3","Lost Western Conference Semifinals","D. Moe (54-28)"
"27","1986-87","NBA","Denver Nuggets*","37","45",".451","4","-1.14","109.3","110.2","Lost Western Conference First Round","D. Moe (37-45)"
"28","1985-86","NBA","Denver Nuggets*","47","35",".573","2","0.89","107.1","105.9","Lost Western Conference Semifinals","D. Moe (47-35)"
"29","1984-85","NBA","Denver Nuggets*","52","30",".634","1","2.05","110.7","108.4","Lost Western Conference Finals","D. Moe (52-30)"
"30","1983-84","NBA","Denver Nuggets*","38","44",".463","3","-1.27","111.3","112.3","Lost Western Conference First Round","D. Moe (38-44)"
"31","1982-83","NBA","Denver Nuggets*","45","37",".549","2","0.27","109.7","109.1","Lost Western Conference Semifinals","D. Moe (45-37)"
"32","1981-82","NBA","Denver Nuggets*","46","36",".561","2","0.13","114.3","113.9","Lost Western Conference First Round","D. Moe (46-36)"
"33","1980-81","NBA","Denver Nuggets","37","45",".451","4","-0.95","109.4","109.8","","D. Walsh (11-20), D. Moe (26-25)"
"34","1979-80","NBA","Denver Nuggets","30","52",".366","3","-4.22","103.4","107.6","","D. Walsh (30-52)"
"35","1978-79","NBA","Denver Nuggets*","47","35",".573","2","1.24","104.4","103.2","Lost Western Conference First Round","L. Brown (28-25), D. Walsh (19-10)"
"36","1977-78","NBA","Denver Nuggets*","48","34",".585","1","0.80","102.3","101.5","Lost Western Conference Finals","L. Brown (48-34)"
"37","1976-77","NBA","Denver Nuggets*","50","32",".610","1","4.95","100.7","96.1","Lost Western Conference Semifinals","L. Brown (50-32)"
"38","1975-76","ABA","Denver Nuggets*","60","24",".714","1","5.46","108.7","103.4","Lost Finals","L. Brown (60-24)"
"39","1974-75","ABA","Denver Nuggets*","65","19",".774","1","6.62","109.4","102.7","Lost Western Division Finals","L. Brown (65-19)"
"40","1973-74","ABA","Denver Rockets*","37","47",".440","5","-0.49","103.1","103.5","Lost Western Division Tiebreaker","A. Hannum (37-47)"
"41","1972-73","ABA","Denver Rockets*","47","37",".560","3","2.80","106.0","103.0","Lost Western Division Semifinals","A. Hannum (47-37)"
"42","1971-72","ABA","Denver Rockets*","34","50",".405","4","-0.93","104.3","105.4","Lost Western Division Semifinals","A. Hannum (34-50)"
"43","1970-71","ABA","Denver Rockets*","30","54",".357","5","-3.15","","","Lost Western Division Tiebreaker","J. Belmont (3-10), S. Albeck (27-44)"
"44","1969-70","ABA","Denver Rockets*","51","33",".607","1","4.32","","","Lost Western Division Finals","J. McLendon (9-19), J. Belmont (42-14)"
"45","1968-69","ABA","Denver Rockets*","44","34",".564","3","1.41","","","Lost Western Division Semifinals","B. Bass (44-34)"
"46","1967-68","ABA","Denver Rockets*","45","33",".577","3","3.52","","","Lost Western Division Semifinals","B. Bass (45-33)"
