"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Houston Rockets","18","14",".563","3","3.55","108.1","105.7","","K. McHale (18-14)"
"2","2011-12","NBA","Houston Rockets","34","32",".515","4","0.57","105.5","105.2","","K. McHale (34-32)"
"3","2010-11","NBA","Houston Rockets","43","39",".524","5","2.37","111.3","109.0","","R. Adelman (43-39)"
"4","2009-10","NBA","Houston Rockets","42","40",".512","3","-0.01","107.6","108.0","","R. Adelman (42-40)"
"5","2008-09","NBA","Houston Rockets*","53","29",".646","2","3.73","108.4","104.0","Lost Western Conference Semifinals","R. Adelman (53-29)"
"6","2007-08","NBA","Houston Rockets*","55","27",".671","3","4.84","106.8","101.6","Lost Western Conference First Round","R. Adelman (55-27)"
"7","2006-07","NBA","Houston Rockets*","52","30",".634","3","5.04","106.0","100.7","Lost Western Conference First Round","J. Van Gundy (52-30)"
"8","2005-06","NBA","Houston Rockets","34","48",".415","5","-1.31","101.6","103.3","","J. Van Gundy (34-48)"
"9","2004-05","NBA","Houston Rockets*","51","31",".622","3","4.26","106.2","101.7","Lost Western Conference First Round","J. Van Gundy (51-31)"
"10","2003-04","NBA","Houston Rockets*","45","37",".549","5","2.28","100.9","99.0","Lost Western Conference First Round","J. Van Gundy (45-37)"
"11","2002-03","NBA","Houston Rockets","43","39",".524","5","1.89","104.3","102.6","","R. Tomjanovich (43-39)"
"12","2001-02","NBA","Houston Rockets","28","54",".341","5","-4.31","103.1","108.6","","R. Tomjanovich (28-54)"
"13","2000-01","NBA","Houston Rockets","45","37",".549","5","2.71","106.7","104.2","","R. Tomjanovich (45-37)"
"14","1999-00","NBA","Houston Rockets","34","48",".415","6","-0.56","104.8","105.7","","R. Tomjanovich (34-48)"
"15","1998-99","NBA","Houston Rockets*","31","19",".620","3","1.39","105.4","102.9","Lost Western Conference First Round","R. Tomjanovich (31-19)"
"16","1997-98","NBA","Houston Rockets*","41","41",".500","4","-1.22","107.7","108.6","Lost Western Conference First Round","R. Tomjanovich (41-41)"
"17","1996-97","NBA","Houston Rockets*","57","25",".695","2","3.85","108.8","104.0","Lost Western Conference Finals","R. Tomjanovich (57-25)"
"18","1995-96","NBA","Houston Rockets*","48","34",".585","3","1.63","109.3","107.4","Lost Western Conference Semifinals","R. Tomjanovich (48-34)"
"19","1994-95","NBA","Houston Rockets*","47","35",".573","3","2.32","109.7","107.4","Won Finals","R. Tomjanovich (47-35)"
"20","1993-94","NBA","Houston Rockets*","58","24",".707","1","4.19","105.9","101.4","Won Finals","R. Tomjanovich (58-24)"
"21","1992-93","NBA","Houston Rockets*","55","27",".671","1","3.57","109.6","105.2","Lost Western Conference Semifinals","R. Tomjanovich (55-27)"
"22","1991-92","NBA","Houston Rockets","42","40",".512","3","-1.94","106.2","108.0","","D. Chaney (26-26), R. Tomjanovich (16-14)"
"23","1990-91","NBA","Houston Rockets*","52","30",".634","3","3.27","107.4","103.9","Lost Western Conference First Round","D. Chaney (52-30)"
"24","1989-90","NBA","Houston Rockets*","41","41",".500","5","1.71","104.8","103.4","Lost Western Conference First Round","D. Chaney (41-41)"
"25","1988-89","NBA","Houston Rockets*","45","37",".549","2","0.22","105.7","104.8","Lost Western Conference First Round","D. Chaney (45-37)"
"26","1987-88","NBA","Houston Rockets*","46","36",".561","4","0.82","107.1","105.7","Lost Western Conference First Round","B. Fitch (46-36)"
"27","1986-87","NBA","Houston Rockets*","42","40",".512","3","0.60","106.5","105.5","Lost Western Conference Semifinals","B. Fitch (42-40)"
"28","1985-86","NBA","Houston Rockets*","51","31",".622","1","2.11","110.1","107.6","Lost Finals","B. Fitch (51-31)"
"29","1984-85","NBA","Houston Rockets*","48","34",".585","2","1.38","107.9","106.3","Lost Western Conference First Round","B. Fitch (48-34)"
"30","1983-84","NBA","Houston Rockets","29","53",".354","6","-3.12","105.3","108.2","","B. Fitch (29-53)"
