"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Milwaukee Bucks","16","14",".533","3","-1.00","102.2","102.7","","S. Skiles (16-14)"
"2","2011-12","NBA","Milwaukee Bucks","31","35",".470","3","-0.23","105.5","105.2","","S. Skiles (31-35)"
"3","2010-11","NBA","Milwaukee Bucks","35","47",".427","3","-1.02","101.6","102.5","","S. Skiles (35-47)"
"4","2009-10","NBA","Milwaukee Bucks*","46","36",".561","2","1.38","104.9","103.1","Lost Eastern Conference First Round","S. Skiles (46-36)"
"5","2008-09","NBA","Milwaukee Bucks","34","48",".415","5","-0.87","106.7","107.9","","S. Skiles (34-48)"
"6","2007-08","NBA","Milwaukee Bucks","26","56",".317","5","-6.91","105.3","112.8","","L. Krystkowiak (26-56)"
"7","2006-07","NBA","Milwaukee Bucks","28","54",".341","5","-4.44","107.0","111.7","","T. Stotts (23-41), L. Krystkowiak (5-13)"
"8","2005-06","NBA","Milwaukee Bucks*","40","42",".488","5","-1.07","106.3","107.4","Lost Eastern Conference First Round","T. Stotts (40-42)"
"9","2004-05","NBA","Milwaukee Bucks","30","52",".366","5","-3.09","106.6","109.8","","T. Porter (30-52)"
"10","2003-04","NBA","Milwaukee Bucks*","41","41",".500","4","0.42","106.5","105.4","Lost Eastern Conference First Round","T. Porter (41-41)"
"11","2002-03","NBA","Milwaukee Bucks*","42","40",".512","4","-0.24","108.8","108.6","Lost Eastern Conference First Round","G. Karl (42-40)"
"12","2001-02","NBA","Milwaukee Bucks","41","41",".500","5","-0.62","106.9","107.1","","G. Karl (41-41)"
"13","2000-01","NBA","Milwaukee Bucks*","52","30",".634","1","3.13","108.8","104.6","Lost Eastern Conference Finals","G. Karl (52-30)"
"14","1999-00","NBA","Milwaukee Bucks*","42","40",".512","5","-0.05","108.2","107.9","Lost Eastern Conference First Round","G. Karl (42-40)"
"15","1998-99","NBA","Milwaukee Bucks*","28","22",".560","4","1.66","104.9","103.0","Lost Eastern Conference First Round","G. Karl (28-22)"
"16","1997-98","NBA","Milwaukee Bucks","36","46",".439","7","-1.33","103.5","105.6","","C. Ford (36-46)"
"17","1996-97","NBA","Milwaukee Bucks","33","49",".402","7","-1.38","106.2","108.3","","C. Ford (33-49)"
"18","1995-96","NBA","Milwaukee Bucks","25","57",".305","7","-4.93","105.6","111.5","","M. Dunleavy (25-57)"
"19","1994-95","NBA","Milwaukee Bucks","34","48",".415","6","-4.30","106.2","110.9","","M. Dunleavy (34-48)"
"20","1993-94","NBA","Milwaukee Bucks","20","62",".244","6","-6.24","102.5","109.3","","M. Dunleavy (20-62)"
"21","1992-93","NBA","Milwaukee Bucks","28","54",".341","7","-3.26","106.2","110.1","","M. Dunleavy (28-54)"
"22","1991-92","NBA","Milwaukee Bucks","31","51",".378","6","-1.46","108.8","110.6","","D. Harris (8-9), F. Hamblen (23-42)"
"23","1990-91","NBA","Milwaukee Bucks*","48","34",".585","3","2.33","109.7","107.2","Lost Eastern Conference First Round","D. Harris (48-34)"
"24","1989-90","NBA","Milwaukee Bucks*","44","38",".537","3","-1.06","107.3","108.1","Lost Eastern Conference First Round","D. Harris (44-38)"
"25","1988-89","NBA","Milwaukee Bucks*","49","33",".598","4","4.12","110.1","106.4","Lost Eastern Conference Semifinals","D. Harris (49-33)"
"26","1987-88","NBA","Milwaukee Bucks*","42","40",".512","4","1.21","108.2","107.6","Lost Eastern Conference First Round","D. Harris (42-40)"
"27","1986-87","NBA","Milwaukee Bucks*","50","32",".610","3","4.05","109.5","105.6","Lost Eastern Conference Semifinals","D. Nelson (50-32)"
"28","1985-86","NBA","Milwaukee Bucks*","57","25",".695","1","8.69","111.4","102.7","Lost Eastern Conference Finals","D. Nelson (57-25)"
"29","1984-85","NBA","Milwaukee Bucks*","59","23",".720","1","6.70","110.5","103.6","Lost Eastern Conference Semifinals","D. Nelson (59-23)"
"30","1983-84","NBA","Milwaukee Bucks*","50","32",".610","1","4.04","107.8","103.6","Lost Eastern Conference Finals","D. Nelson (50-32)"
"31","1982-83","NBA","Milwaukee Bucks*","51","31",".622","1","4.32","105.8","101.4","Lost Eastern Conference Finals","D. Nelson (51-31)"
"32","1981-82","NBA","Milwaukee Bucks*","55","27",".671","1","5.38","107.7","102.3","Lost Eastern Conference Semifinals","D. Nelson (55-27)"
"33","1980-81","NBA","Milwaukee Bucks*","60","22",".732","1","7.14","108.7","101.8","Lost Eastern Conference Semifinals","D. Nelson (60-22)"
"34","1979-80","NBA","Milwaukee Bucks*","49","33",".598","1","3.56","106.8","102.9","Lost Western Conference Semifinals","D. Nelson (49-33)"
"35","1978-79","NBA","Milwaukee Bucks","38","44",".463","3","2.12","106.0","104.0","","D. Nelson (38-44)"
"36","1977-78","NBA","Milwaukee Bucks*","44","38",".537","2","-0.59","101.8","102.4","Lost Western Conference Semifinals","D. Nelson (44-38)"
"37","1976-77","NBA","Milwaukee Bucks","30","52",".366","6","-2.99","100.0","102.9","","L. Costello (3-15), D. Nelson (27-37)"
"38","1975-76","NBA","Milwaukee Bucks*","38","44",".463","1","-1.56","97.3","98.7","Lost Western Conference First Round","L. Costello (38-44)"
"39","1974-75","NBA","Milwaukee Bucks","38","44",".463","4","0.25","98.0","97.8","","L. Costello (38-44)"
"40","1973-74","NBA","Milwaukee Bucks*","59","23",".720","1","7.61","101.2","93.6","Lost Finals","L. Costello (59-23)"
"41","1972-73","NBA","Milwaukee Bucks*","60","22",".732","1","7.84","","","Lost Western Conference Semifinals","L. Costello (60-22)"
"42","1971-72","NBA","Milwaukee Bucks*","63","19",".768","1","10.70","","","Lost Western Conference Finals","L. Costello (63-19)"
"43","1970-71","NBA","Milwaukee Bucks*","66","16",".805","1","11.91","","","Won Finals","L. Costello (66-16)"
"44","1969-70","NBA","Milwaukee Bucks*","56","26",".683","2","4.25","","","Lost Eastern Division Finals","L. Costello (56-26)"
"45","1968-69","NBA","Milwaukee Bucks","27","55",".329","7","-5.07","","","","L. Costello (27-55)"
