"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","New Orleans Hornets","7","25",".219","5","-4.60","103.0","110.0","","M. Williams (7-25)"
"2","2011-12","NBA","New Orleans Hornets","21","45",".318","5","-3.11","100.9","105.1","","M. Williams (21-45)"
"3","2010-11","NBA","New Orleans Hornets*","46","36",".561","3","1.28","106.2","105.2","Lost Western Conference First Round","M. Williams (46-36)"
"4","2009-10","NBA","New Orleans Hornets","37","45",".451","5","-2.27","107.4","110.1","","B. Scott (3-6), J. Bower (34-39)"
"5","2008-09","NBA","New Orleans Hornets*","49","33",".598","4","1.41","108.7","107.0","Lost Western Conference First Round","B. Scott (49-33)"
"6","2007-08","NBA","New Orleans Hornets*","56","26",".683","1","5.46","111.5","105.7","Lost Western Conference Semifinals","B. Scott (56-26)"
"7","2006-07","NBA","New Orleans/Oklahoma City Hornets","39","43",".476","4","-1.20","104.8","106.5","","B. Scott (39-43)"
"8","2005-06","NBA","New Orleans/Oklahoma City Hornets","38","44",".463","4","-2.51","103.7","106.8","","B. Scott (38-44)"
"9","2004-05","NBA","New Orleans Hornets","18","64",".220","5","-6.30","99.7","107.7","","B. Scott (18-64)"
"10","2003-04","NBA","New Orleans Hornets*","41","41",".500","3","-0.72","102.3","102.4","Lost Eastern Conference First Round","T. Floyd (41-41)"
"11","2002-03","NBA","New Orleans Hornets*","47","35",".573","3","1.52","103.9","101.6","Lost Eastern Conference First Round","P. Silas (47-35)"
"12","2001-02","NBA","Charlotte Hornets*","44","38",".537","2","0.57","104.3","103.3","Lost Eastern Conference Semifinals","P. Silas (44-38)"
"13","2000-01","NBA","Charlotte Hornets*","46","36",".561","3","1.45","101.8","99.5","Lost Eastern Conference Semifinals","P. Silas (46-36)"
"14","1999-00","NBA","Charlotte Hornets*","49","33",".598","2","2.34","104.3","101.4","Lost Eastern Conference First Round","P. Silas (49-33)"
"15","1998-99","NBA","Charlotte Hornets","26","24",".520","5","0.63","102.3","102.4","","D. Cowens (4-11), P. Silas (22-13)"
"16","1997-98","NBA","Charlotte Hornets*","51","31",".622","3","2.45","107.5","105.3","Lost Eastern Conference Semifinals","D. Cowens (51-31)"
"17","1996-97","NBA","Charlotte Hornets*","54","28",".659","4","2.13","110.9","108.9","Lost Eastern Conference First Round","D. Cowens (54-28)"
"18","1995-96","NBA","Charlotte Hornets","41","41",".500","6","-0.49","111.2","111.8","","A. Bristow (41-41)"
"19","1994-95","NBA","Charlotte Hornets*","50","32",".610","2","2.86","109.6","106.1","Lost Eastern Conference First Round","A. Bristow (50-32)"
"20","1993-94","NBA","Charlotte Hornets","41","41",".500","5","-0.23","108.4","108.6","","A. Bristow (41-41)"
"21","1992-93","NBA","Charlotte Hornets*","44","38",".537","3","-0.02","109.5","109.7","Lost Eastern Conference Semifinals","A. Bristow (44-38)"
"22","1991-92","NBA","Charlotte Hornets","31","51",".378","7","-3.57","107.1","110.9","","A. Bristow (31-51)"
"23","1990-91","NBA","Charlotte Hornets","26","56",".317","7","-4.95","105.0","110.4","","G. Littles (26-56)"
"24","1989-90","NBA","Charlotte Hornets","19","63",".232","7","-7.01","102.0","109.9","","D. Harter (8-32), G. Littles (11-31)"
"25","1988-89","NBA","Charlotte Hornets","20","62",".244","6","-7.74","103.7","112.1","","D. Harter (20-62)"
