"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Oklahoma City Thunder","24","7",".774","1","8.40","113.0","104.0","","S. Brooks (24-7)"
"2","2011-12","NBA","Oklahoma City Thunder*","47","19",".712","1","6.44","109.8","103.2","Lost Finals","S. Brooks (47-19)"
"3","2010-11","NBA","Oklahoma City Thunder*","55","27",".671","1","3.81","111.2","107.2","Lost Western Conference Finals","S. Brooks (55-27)"
"4","2009-10","NBA","Oklahoma City Thunder*","50","32",".610","4","3.55","108.3","104.6","Lost Western Conference First Round","S. Brooks (50-32)"
"5","2008-09","NBA","Oklahoma City Thunder","23","59",".280","5","-6.03","102.9","109.4","","P. Carlesimo (1-12), S. Brooks (22-47)"
"6","2007-08","NBA","Seattle SuperSonics","20","62",".244","5","-8.04","100.5","109.5","","P. Carlesimo (20-62)"
"7","2006-07","NBA","Seattle SuperSonics","31","51",".378","5","-2.45","107.2","110.3","","B. Hill (31-51)"
"8","2005-06","NBA","Seattle SuperSonics","35","47",".427","3","-2.88","111.1","114.4","","B. Weiss (13-17), B. Hill (22-30)"
"9","2004-05","NBA","Seattle SuperSonics*","52","30",".634","1","2.59","112.2","109.6","Lost Western Conference Semifinals","N. McMillan (52-30)"
"10","2003-04","NBA","Seattle SuperSonics","37","45",".451","5","0.02","107.3","108.0","","N. McMillan (37-45)"
"11","2002-03","NBA","Seattle SuperSonics","40","42",".488","5","0.37","103.7","103.9","","N. McMillan (40-42)"
"12","2001-02","NBA","Seattle SuperSonics*","45","37",".549","4","3.24","108.9","105.6","Lost Western Conference First Round","N. McMillan (45-37)"
"13","2000-01","NBA","Seattle SuperSonics","44","38",".537","5","0.55","105.6","105.6","","P. Westphal (6-9), N. McMillan (38-29)"
"14","1999-00","NBA","Seattle SuperSonics*","45","37",".549","4","1.17","105.6","104.6","Lost Western Conference First Round","P. Westphal (45-37)"
"15","1998-99","NBA","Seattle SuperSonics","25","25",".500","5","-1.43","105.0","106.2","","P. Westphal (25-25)"
"16","1997-98","NBA","Seattle SuperSonics*","61","21",".744","1","6.33","111.6","103.6","Lost Western Conference Semifinals","G. Karl (61-21)"
