"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Philadelphia 76ers","15","18",".455","3","-3.06","102.6","105.3","","D. Collins (15-18)"
"2","2011-12","NBA","Philadelphia 76ers*","35","31",".530","3","3.59","103.9","99.2","Lost Eastern Conference Semifinals","D. Collins (35-31)"
"3","2010-11","NBA","Philadelphia 76ers*","41","41",".500","3","1.01","106.6","105.0","Lost Eastern Conference First Round","D. Collins (41-41)"
"4","2009-10","NBA","Philadelphia 76ers","27","55",".329","4","-3.93","106.1","110.3","","E. Jordan (27-55)"
"5","2008-09","NBA","Philadelphia 76ers*","41","41",".500","2","0.16","107.9","107.8","Lost Eastern Conference First Round","M. Cheeks (9-14), T. DiLeo (32-27)"
"6","2007-08","NBA","Philadelphia 76ers*","40","42",".488","3","0.19","106.4","106.0","Lost Eastern Conference First Round","M. Cheeks (40-42)"
"7","2006-07","NBA","Philadelphia 76ers","35","47",".427","3","-3.26","103.6","106.9","","M. Cheeks (35-47)"
"8","2005-06","NBA","Philadelphia 76ers","38","44",".463","2","-2.11","106.0","108.1","","M. Cheeks (38-44)"
"9","2004-05","NBA","Philadelphia 76ers*","43","39",".524","2","-1.08","103.5","104.3","Lost Eastern Conference First Round","J. O'Brien (43-39)"
"10","2003-04","NBA","Philadelphia 76ers","33","49",".402","5","-2.95","99.1","101.9","","R. Ayers (21-31), C. Ford (12-18)"
"11","2002-03","NBA","Philadelphia 76ers*","48","34",".585","2","1.76","105.0","102.5","Lost Eastern Conference Semifinals","L. Brown (48-34)"
"12","2001-02","NBA","Philadelphia 76ers*","43","39",".524","4","1.27","102.1","100.3","Lost Eastern Conference First Round","L. Brown (43-39)"
"13","2000-01","NBA","Philadelphia 76ers*","56","26",".683","1","3.63","103.6","98.9","Lost Finals","L. Brown (56-26)"
"14","1999-00","NBA","Philadelphia 76ers*","49","33",".598","3","1.02","101.5","100.0","Lost Eastern Conference Semifinals","L. Brown (49-33)"
"15","1998-99","NBA","Philadelphia 76ers*","28","22",".560","3","2.56","99.9","97.6","Lost Eastern Conference Semifinals","L. Brown (28-22)"
"16","1997-98","NBA","Philadelphia 76ers","31","51",".378","7","-1.89","102.8","105.4","","L. Brown (31-51)"
"17","1996-97","NBA","Philadelphia 76ers","22","60",".268","6","-5.89","104.6","111.4","","J. Davis (22-60)"
"18","1995-96","NBA","Philadelphia 76ers","18","64",".220","7","-9.46","102.2","113.0","","J. Lucas (18-64)"
"19","1994-95","NBA","Philadelphia 76ers","24","58",".293","6","-5.07","104.1","109.7","","J. Lucas (24-58)"
"20","1993-94","NBA","Philadelphia 76ers","25","57",".305","6","-7.37","101.7","109.7","","F. Carter (25-57)"
"21","1992-93","NBA","Philadelphia 76ers","26","56",".317","6","-5.25","104.6","110.4","","D. Moe (19-37), F. Carter (7-19)"
"22","1991-92","NBA","Philadelphia 76ers","35","47",".427","5","-1.34","108.3","109.7","","J. Lynam (35-47)"
"23","1990-91","NBA","Philadelphia 76ers*","44","38",".537","2","-0.39","107.9","108.1","Lost Eastern Conference Semifinals","J. Lynam (44-38)"
"24","1989-90","NBA","Philadelphia 76ers*","53","29",".646","1","4.23","113.5","108.4","Lost Eastern Conference Semifinals","J. Lynam (53-29)"
"25","1988-89","NBA","Philadelphia 76ers*","46","36",".561","2","1.68","113.0","111.5","Lost Eastern Conference First Round","J. Lynam (46-36)"
"26","1987-88","NBA","Philadelphia 76ers","36","46",".439","4","-0.79","108.8","110.3","","M. Guokas (20-23), J. Lynam (16-23)"
"27","1986-87","NBA","Philadelphia 76ers*","45","37",".549","2","0.12","108.3","108.5","Lost Eastern Conference First Round","M. Guokas (45-37)"
"28","1985-86","NBA","Philadelphia 76ers*","54","28",".659","2","2.47","108.6","106.3","Lost Eastern Conference Semifinals","M. Guokas (54-28)"
"29","1984-85","NBA","Philadelphia 76ers*","58","24",".707","2","4.17","111.3","107.3","Lost Eastern Conference Finals","B. Cunningham (58-24)"
"30","1983-84","NBA","Philadelphia 76ers*","52","30",".634","2","2.39","106.8","104.6","Lost Eastern Conference First Round","B. Cunningham (52-30)"
"31","1982-83","NBA","Philadelphia 76ers*","65","17",".793","1","7.53","108.3","100.9","Won Finals","B. Cunningham (65-17)"
