Team,Player,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,Signed Using,Total Guaranteed,Notes
Atlanta Hawks,Jordan Williams,"$762,195 ","$884,293 ",,,,Minimum Salary,"$762,195 ",Signed 12/9/11 for an assumed minimum salary for 3 years
Atlanta Hawks,John Jenkins,"$1,204,560 ","$1,258,800 ","$1,312,920 ","$2,228,025 ",,1st Round Pick,"$2,463,360 ",Signed 7/10/12
Atlanta Hawks,DeShawn Stevenson,"$2,240,450 ","$2,240,450 ","$2,240,450 ",,,Non Bird Rights,"$2,240,450 ","2013-14 and 101-15 are not guaranteed   /   Signed 7/11/13 for an assumed $6,721,350 for 3 years"
Atlanta Hawks,Jeff Teague,"$2,433,077 ",,,,,1st Round Pick,"$2,433,077 ",Team Option for 2012-13 picked up on 6/22/11   /   Team Option for 2011-12 picked up on 10/6/10   /   Signed 7/20/09
Atlanta Hawks,Johan Petro,"$3,500,000 ",,,,,Cap Space,"$3,500,000 ","Signed 7/14/10 for an assumed $10,000,000 for 3 years"
Atlanta Hawks,Anthony Morrow,"$4,000,000 ",,,,,Early Bird Rights,"$4,000,000 ","Signed 7/12/10 for an assumed $12,000,000 for 3 years"
Atlanta Hawks,Jordan Farmar,"$4,250,000 ",,,,,,"$4,250,000 ","Waived 7/16/12   /   Player Option for 2012-13 was exercised on 6/30/12   /   Signed 7/14/10 for an assumed $12,000,000 for 3 years"
Atlanta Hawks,Kyle Korver,"$5,000,000 ",,,,,Cap Space,"$500,000 ","2012-13 is partially guaranteed for $500,000   /   Signed 7/12/10 for an assumed $15,000,000 for 3 years"
Atlanta Hawks,Louis Williams,"$5,000,000 ","$5,225,000 ","$5,450,000 ",,,MLE,"$15,675,000 ","Signed 7/12/12 for an assumed $15,675,000 for 3 years"
Atlanta Hawks,Zaza Pachulia,"$5,248,750 ",,,,,Bird Rights ,"$5,248,750 ","2012-13 has up to $500,000 in unlikely incentives not included here   /   Signed 7/13/09 for an assumed $19,000,000 plus incentives for 4 years"
Atlanta Hawks,Devin Harris,"$8,500,000 ",,,,,Bird Rights,"$8,500,000 ","Signed extension on 9/12/07 for an assumed $43,000,000 for 5 years starting in 2008-09"
Atlanta Hawks,Al Horford,"$12,000,000 ","$12,000,000 ","$12,000,000 ","$12,000,000 ",,Bird Rights,"$48,000,000 ","Extension signed on 11/1/10 for an assumed $60,000,000 for 5 years that begins in 2011-12"
Atlanta Hawks,Josh Smith,"$13,200,000 ",,,,,Bird Rights,"$13,200,000 ","Contract includes a 15% trade kicker   /   2011-12 and 2012-13 each have up to $435,000 in unlikely incentives not included here   /   Signed 8/8/08 for an assumed $58,000,000 plus incentives for 5 years"
Boston Celtics,Dionte Christmas,"$473,604 ","$788,872 ",,,,Minimum Salary,"$25,000 ","2012-13 is partially guaranteed for $25,000   /   Signed 7/23/12 for an assumed minimum salary for 2 years"
Boston Celtics,Jamar Smith,"$473,604 ","$788,872 ",,,,Minimum Salary,"$25,000 ","2012-13 is partially guaranteed for $25,000   /   Signed 7/3/12 for an assumed minimum salary for 2 years"
Boston Celtics,Kris Joseph,"$473,604 ","$788,872 ",,,,Minimum Salary,,Signed 7/3/12 for an assumed minimum salary for 2 years
Boston Celtics,Fab Melo,"$1,254,720 ","$1,311,240 ","$1,367,640 ","$2,249,768 ",,1st Round Pick,"$2,565,960 ",Signed 7/3/12
Boston Celtics,Jared Sullinger,"$1,306,920 ","$1,365,720 ","$1,424,520 ","$2,269,260 ",,1st Round Pick,"$2,672,640 ",Signed 7/3/12
Boston Celtics,Chris Wilcox,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/14/12 for an assumed minimum salary for 1 year
Boston Celtics,Jason Collins,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/26/12 for an assumed minimum salary for 1 year
Boston Celtics,Keyon Dooling,"$1,352,181 ",,,,,Minimum Salary,"$854,389 ",Signed 7/30/12 for an assumed minimum salary for 1 year
Boston Celtics,Avery Bradley,"$1,630,800 ","$2,511,432 ",,,,1st Round Pick,"$1,630,800 ",Team Option for 2012-13 was picked up on 6/30/11   /   Signed 7/1/10
Boston Celtics,Courtney Lee,"$5,000,000 ","$5,225,000 ","$5,450,000 ","$5,675,000 ",,Bird Rights,"$21,350,000 ","Signed 7/20/12 for an assumed $21,350,000 for 4 years"
Boston Celtics,Jason Terry,"$5,000,000 ","$5,225,000 ","$5,450,000 ",,,MLE,"$15,675,000 ","Signed 7/17/12 for an assumed $15,675,000 for 3 years"
Boston Celtics,Brandon Bass,"$6,000,000 ","$6,450,000 ","$6,900,000 ",,,Bird Rights,"$19,350,000 ","Signed 7/14/12 for an assumed $19,350,000 for 3 years"
