ID.Game,Date,Game,Away.Team,Home.Team,Start.Time.ET,National.Televison,Game.Type,Year,Month,Day
1,10/5/2012,Boston at Fenerbahce Ulker,Celtics , Fenerbahce Ulker,2:00 PM,NBATV,PS,2012,October,5
2,10/6/2012,Dallas at Alba Berlin,Mavericks , Alba Berlin,2:00 PM,NBATV,PS,2012,October,6
3,10/6/2012,Real Madrid at Memphis,Real Madrid , Grizzlies,8:00 PM,,PS,2012,October,6
4,10/6/2012,Mon. Siena at San Antonio,Mon. Siena , Spurs,8:30 PM,,PS,2012,October,6
5,10/6/2012,Denver at LA Clippers,Nuggets , Clippers,10:30 PM,,PS,2012,October,6
6,10/7/2012,Boston at Milano,Celtics , Milano,12:00 PM,NBATV,PS,2012,October,7
7,10/7/2012,Washington at Charlotte,Wizards , Bobcats,1:00 PM,,PS,2012,October,7
8,10/7/2012,Miami at Atlanta,Heat , Hawks,2:00 PM,,PS,2012,October,7
9,10/7/2012,Orlando at New Orleans,Magic , Hornets,2:30 PM,NBATV,PS,2012,October,7
10,10/7/2012,Golden State at LA Lakers,Warriors , Lakers,10:00 PM,,PS,2012,October,7
11,10/8/2012,Mon. Siena at Cleveland,Mon. Siena , Cavaliers,7:00 PM,,PS,2012,October,8
12,10/8/2012,Real Madrid at Toronto,Real Madrid , Raptors,7:00 PM,,PS,2012,October,8
13,10/8/2012,Utah at Golden State,Jazz , Warriors,10:30 PM,,PS,2012,October,8
14,10/9/2012,Dallas at FC Barcelona,Mavericks , FC Barcelona,3:00 PM,NBATV,PS,2012,October,9
15,10/9/2012,Milwaukee at Cleveland,Bucks , Cavaliers,7:00 PM,,PS,2012,October,9
16,10/9/2012,Charlotte at New Orleans,Bobcats , Hornets,8:00 PM,,PS,2012,October,9
17,10/9/2012,Memphis at Chicago,Grizzlies , Bulls,8:00 PM,,PS,2012,October,9
18,10/10/2012,Toronto at Detroit,Raptors , Pistons,7:30 PM,,PS,2012,October,10
19,10/10/2012,Indiana at Minnesota,Pacers , Timberwolves,8:00 PM,,PS,2012,October,10
20,10/10/2012,Oklahoma City at Houston,Thunder , Rockets,8:00 PM,,PS,2012,October,10
21,10/10/2012,Atlanta at San Antonio,Hawks , Spurs,8:30 PM,,PS,2012,October,10
22,10/10/2012,Phoenix at Sacramento,Suns , Kings,10:00 PM,,PS,2012,October,10
23,10/10/2012,Portland at LA Lakers,Trail Blazers , Lakers,10:00 PM,,PS,2012,October,10
24,10/11/2012,Miami at LA Clippers,Heat , Clippers,7:30 AM,NBATV,PS,2012,October,11
25,10/11/2012,Philadelphia at Orlando,76ers , Magic,7:00 PM,,PS,2012,October,11
26,10/11/2012,New York at Washington,Knicks , Wizards,7:00 PM,,PS,2012,October,11
27,10/11/2012,New Orleans at Charlotte,Hornets , Bobcats,7:30 PM,,PS,2012,October,11
28,10/11/2012,Maccabi Haifa at Golden State,Maccabi Haifa , Warriors,10:30 PM,,PS,2012,October,11
29,10/12/2012,Detroit at Toronto,Pistons , Raptors,7:00 PM,,PS,2012,October,12
30,10/12/2012,Minnesota at Indiana,Timberwolves , Pacers,7:00 PM,,PS,2012,October,12
31,10/12/2012,Cleveland at Chicago,Cavaliers , Bulls,8:00 PM,,PS,2012,October,12
32,10/12/2012,New Orleans at Houston,Hornets , Rockets,8:00 PM,,PS,2012,October,12
33,10/12/2012,Denver at San Antonio,Nuggets , Spurs,8:30 PM,,PS,2012,October,12
34,10/12/2012,Oklahoma City at Utah,Thunder , Jazz,9:00 PM,,PS,2012,October,12
35,10/12/2012,Portland at Phoenix,Trail Blazers , Suns,10:00 PM,,PS,2012,October,12
36,10/13/2012,Brooklyn at Philadelphia,Nets , 76ers,7:00 PM,,PS,2012,October,13
37,10/13/2012,New York at Boston,Knicks , Celtics,7:30 PM,,PS,2012,October,13
38,10/13/2012,Washington at Cleveland,Wizards , Cavaliers,7:30 PM,,PS,2012,October,13
39,10/13/2012,Chicago at Minnesota,Bulls , Timberwolves,8:00 PM,,PS,2012,October,13
40,10/13/2012,Detroit at Milwaukee,Pistons , Bucks,8:30 PM,,PS,2012,October,13
41,10/13/2012,Utah at LA Lakers,Jazz , Lakers,10:30 PM,,PS,2012,October,13
42,10/14/2012,LA Clippers at Miami,Clippers , Heat,8:00 AM,NBATV,PS,2012,October,14
43,10/14/2012,San Antonio at Houston,Spurs , Rockets,2:00 PM,,PS,2012,October,14
44,10/14/2012,Atlanta at Memphis,Hawks , Grizzlies,6:00 PM,,PS,2012,October,14
45,10/15/2012,Boston at Philadelphia,Celtics , 76ers,7:00 PM,,PS,2012,October,15
46,10/15/2012,Orlando at Cleveland,Magic , Cavaliers,7:00 PM,,PS,2012,October,15
47,10/15/2012,Washington at Brooklyn,Wizards , Nets,7:30 PM,,PS,2012,October,15
48,10/15/2012,Toronto at Memphis,Raptors , Grizzlies,8:00 PM,,PS,2012,October,15
49,10/15/2012,Houston at Dallas,Rockets , Mavericks,8:30 PM,,PS,2012,October,15
50,10/15/2012,Golden State at Denver,Warriors , Nuggets,9:00 PM,,PS,2012,October,15
51,10/15/2012,Portland at Sacramento,Trail Blazers , Kings,10:00 PM,,PS,2012,October,15
52,10/16/2012,Atlanta at Indiana,Hawks , Pacers,7:00 PM,,PS,2012,October,16
53,10/16/2012,Brooklyn at Boston,Nets , Celtics,7:30 PM,,PS,2012,October,16
54,10/16/2012,Orlando at Detroit,Magic , Pistons,7:30 PM,,PS,2012,October,16
55,10/16/2012,Charlotte at Oklahoma City,Bobcats , Thunder,8:00 PM,,PS,2012,October,16
56,10/16/2012,Milwaukee at Chicago,Bucks , Bulls,8:00 PM,,PS,2012,October,16
