"","League","Season","UnitPlayer1ID","UnitPlayer2ID","UnitPlayer3ID","UnitPlayer4ID","UnitPlayer5ID","OpponentPlayer1ID","OpponentPlayer2ID","OpponentPlayer3ID","OpponentPlayer4ID","OpponentPlayer5ID","UnitPlayer1Name","UnitPlayer2Name","UnitPlayer3Name","UnitPlayer4Name","UnitPlayer5Name","OpponentPlayer1Name","OpponentPlayer2Name","OpponentPlayer3Name","OpponentPlayer4Name","OpponentPlayer5Name","Observations","ElapsedSecs","PossessionsUnit","PossessionsOpponent","PointsScoredUnit","PointsScoredOpponent","OffensiveRtgUnit","OffensiveRtgOpponent","OverallRtgUnitVsOpponent","OverallRtgOpponentVsUnit","OffensiveReboundsUnit","OffensiveReboundsOpponent","DefensiveReboundsUnit","DefensiveReboundsOpponent","OffensiveReboundingRateUnit","OffensiveReboundingRateOpponent","DefensiveReboundingRateUnit","DefensiveReboundingRateOpponent","Source","Season.Type"
"1","NBA","2007 playoffs","3","1","5","492","6","101","87","147","98","90","Dampier, Erick","Howard, Josh","Nowitzki, Dirk","Stackhouse, Jerry","Terry, Jason","Biedrins, Andris","Davis, Baron","Jackson, Stephen","Pietrus, Mickael","Richardson, Jason","1","141","3","3","0","0","0","0","0","0","5","1","1","3","0.625","0.5","0.5","0.375","Basketball Value","Playoffs"
"2","NBA","2007 playoffs","3","1","5","492","6","241","101","417","147","98","Dampier, Erick","Howard, Josh","Nowitzki, Dirk","Stackhouse, Jerry","Terry, Jason","Barnes, Matt","Biedrins, Andris","Ellis, Monta","Jackson, Stephen","Pietrus, Mickael","1","14","0","0","1","0","NULL","NULL","NULL","NULL","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"3","NBA","2007 playoffs","3","1","5","492","6","241","417","95","147","98","Dampier, Erick","Howard, Josh","Nowitzki, Dirk","Stackhouse, Jerry","Terry, Jason","Barnes, Matt","Ellis, Monta","Harrington, Al","Jackson, Stephen","Pietrus, Mickael","1","36","1","1","0","2","0","200","-200","200","1","0","1","1","0.5","0","1","0.5","Basketball Value","Playoffs"
"4","NBA","2007 playoffs","3","15","1","5","6","87","417","95","147","90","Dampier, Erick","Harris, Devin","Howard, Josh","Nowitzki, Dirk","Terry, Jason","Davis, Baron","Ellis, Monta","Harrington, Al","Jackson, Stephen","Richardson, Jason","2","438","18","18","15","23","83.3333","127.778","-44.4444","44.4444","0","1","5","9","0","0.166667","0.833333","1","Basketball Value","Playoffs"
"5","NBA","2007 playoffs","3","15","1","5","6","101","87","417","147","90","Dampier, Erick","Harris, Devin","Howard, Josh","Nowitzki, Dirk","Terry, Jason","Biedrins, Andris","Davis, Baron","Ellis, Monta","Jackson, Stephen","Richardson, Jason","2","428","13","14","10","19","76.9231","135.714","-58.7912","58.7912","3","3","4","4","0.428571","0.428571","0.571429","0.571429","Basketball Value","Playoffs"
"6","NBA","2007 playoffs","3","15","1","5","6","241","101","417","147","98","Dampier, Erick","Harris, Devin","Howard, Josh","Nowitzki, Dirk","Terry, Jason","Barnes, Matt","Biedrins, Andris","Ellis, Monta","Jackson, Stephen","Pietrus, Mickael","1","29","1","1","2","2","200","200","0","0","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"7","NBA","2007 playoffs","3","15","1","5","492","87","417","95","147","90","Dampier, Erick","Harris, Devin","Howard, Josh","Nowitzki, Dirk","Stackhouse, Jerry","Davis, Baron","Ellis, Monta","Harrington, Al","Jackson, Stephen","Richardson, Jason","1","17","1","0","0","0","0","NULL","NULL","NULL","0","0","0","0","NULL","NULL","NULL","NULL","Basketball Value","Playoffs"
"8","NBA","2007 playoffs","3","15","1","5","492","241","417","95","147","98","Dampier, Erick","Harris, Devin","Howard, Josh","Nowitzki, Dirk","Stackhouse, Jerry","Barnes, Matt","Ellis, Monta","Harrington, Al","Jackson, Stephen","Pietrus, Mickael","1","95","3","3","3","7","100","233.333","-133.333","133.333","1","0","0","1","0.5","NULL","NULL","0.5","Basketball Value","Playoffs"
"9","NBA","2007 playoffs","3","15","1","492","6","241","87","417","95","98","Dampier, Erick","Harris, Devin","Howard, Josh","Stackhouse, Jerry","Terry, Jason","Barnes, Matt","Davis, Baron","Ellis, Monta","Harrington, Al","Pietrus, Mickael","1","21","0","1","0","0","NULL","0","NULL","NULL","0","0","1","0","NULL","0","1","NULL","Basketball Value","Playoffs"
"10","NBA","2007 playoffs","3","15","1","492","6","241","101","87","417","98","Dampier, Erick","Harris, Devin","Howard, Josh","Stackhouse, Jerry","Terry, Jason","Barnes, Matt","Biedrins, Andris","Davis, Baron","Ellis, Monta","Pietrus, Mickael","1","87","3","2","3","0","100","0","100","-100","0","3","2","1","0","0.6","0.4","1","Basketball Value","Playoffs"
