"","League","Season","GameDate","GameID","BoxScoreURL","PlayByPlayURL","HomeNameFull","HomeName3","AwayNameFull","AwayName3","HaveBoxScore","HavePlayByPlay","AnalyzedPlayByPlay","Source","Season.Type"
"1","NBA","2007-2008",2007-10-30,"20071030HOULAL","http://www.nba.com/games/20071030/HOULAL/boxscore.html","http://www.nba.com/games/20071030/HOULAL/playbyplay.html","Los Angeles Lakers","LAL","Houston Rockets","HOU","NULL",2007-10-31,2008-12-09,"Basketball Value","Regular Season"
"2","NBA","2007-2008",2007-10-30,"20071030PORSAS","http://www.nba.com/games/20071030/PORSAS/boxscore.html","http://www.nba.com/games/20071030/PORSAS/playbyplay.html","San Antonio Spurs","SAS","Portland Trailblazers","POR","NULL",2007-10-30,2008-12-09,"Basketball Value","Regular Season"
"3","NBA","2007-2008",2007-10-30,"20071030UTAGSW","http://www.nba.com/games/20071030/UTAGSW/boxscore.html","http://www.nba.com/games/20071030/UTAGSW/playbyplay.html","Golden State Warriors","GSW","Utah Jazz","UTA","NULL",2007-10-31,2008-12-09,"Basketball Value","Regular Season"
"4","NBA","2007-2008",2007-10-31,"20071031CHINJN","http://www.nba.com/games/20071031/CHINJN/boxscore.html","http://www.nba.com/games/20071031/CHINJN/playbyplay.html","New Jersey Nets","NJN","Chicago Bulls","CHI","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
"5","NBA","2007-2008",2007-10-31,"20071031DALCLE","http://www.nba.com/games/20071031/DALCLE/boxscore.html","http://www.nba.com/games/20071031/DALCLE/playbyplay.html","Cleveland Cavaliers","CLE","Dallas Maverics","DAL","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
"6","NBA","2007-2008",2007-10-31,"20071031MILORL","http://www.nba.com/games/20071031/MILORL/boxscore.html","http://www.nba.com/games/20071031/MILORL/playbyplay.html","Orlando Magic","ORL","Milwaukee Bucks","MIL","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
"7","NBA","2007-2008",2007-10-31,"20071031PHITOR","http://www.nba.com/games/20071031/PHITOR/boxscore.html","http://www.nba.com/games/20071031/PHITOR/playbyplay.html","Toronto Raptors","TOR","Philadelphia 76ers","PHI","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
"8","NBA","2007-2008",2007-10-31,"20071031SACNOH","http://www.nba.com/games/20071031/SACNOH/boxscore.html","http://www.nba.com/games/20071031/SACNOH/playbyplay.html","New Orleans Hornets","NOH","Sacramento Kings","SAC","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
"9","NBA","2007-2008",2007-10-31,"20071031SASMEM","http://www.nba.com/games/20071031/SASMEM/boxscore.html","http://www.nba.com/games/20071031/SASMEM/playbyplay.html","Memphis Grizzlies","MEM","San Antonio Spurs","SAS","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
"10","NBA","2007-2008",2007-10-31,"20071031SEADEN","http://www.nba.com/games/20071031/SEADEN/boxscore.html","http://www.nba.com/games/20071031/SEADEN/playbyplay.html","Denver Nuggets","DEN","Seattle Supersonics","SEA","NULL",2007-11-01,2008-12-09,"Basketball Value","Regular Season"
