"","PlayerID","PlayerName","PlayerTrueName","League","TeamName3","Season","GameIDFound","Source","Season.Type"
"1",1,"Howard","Howard, Josh","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"2",2,"Thomas","Thomas, Kurt","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"3",2,"K. Thomas","Thomas, Kurt","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"4",3,"Dampier","Dampier, Erick","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"5",4,"Marion","Marion, Shawn","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"6",5,"Nowitzki","Nowitzki, Dirk","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"7",6,"Terry","Terry, Jason","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"8",7,"R. Bell","Bell, Raja","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"9",7,"Bell","Bell, Raja","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"10",8,"Nash","Nash, Steve","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"11",9,"Christie","Christie, Doug","NBA","LAC","2006-2007","20070131CHILAC","Basketball Value","Regular Season"
"12",10,"Jones","Jones, James","NBA","PHX","2006-2007","20061031PHXLAL","Basketball Value","Regular Season"
"13",10,"Ja. Jones","Jones, James","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"14",10,"J. Jones","Jones, James","NBA","PHX","2006-2007","20061226PORPHX","Basketball Value","Regular Season"
"15",12,"Diaw","Diaw, Boris","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"16",14,"M. Daniels","Daniels, Marquis","NBA","IND","2006-2007","Season Start","Basketball Value","Regular Season"
"17",14,"Daniels","Daniels, Marquis","NBA","IND","2006-2007","Season Start","Basketball Value","Regular Season"
"18",15,"Harris","Harris, Devin","NBA","DAL","2006-2007","20061102SASDAL","Basketball Value","Regular Season"
"19",15,"D. Harris","Harris, Devin","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"20",16,"Barbosa","Barbosa, Leandro","NBA","PHX","2006-2007","Season Start","Basketball Value","Regular Season"
"21",17,"Diop","Diop, DeSagana","NBA","DAL","2006-2007","Season Start","Basketball Value","Regular Season"
"22",19,"Armstrong","Armstrong, Darrell","NBA","IND","2006-2007","Season Start","Basketball Value","Regular Season"
"23",20,"House","House, Eddie","NBA","NJN","2006-2007","Season Start","Basketball Value","Regular Season"
"24",21,"Martin","Martin, Kenyon","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"25",21,"K. Martin","Martin, Kenyon","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"26",22,"Nesterovic","Nesterovic, Rasho","NBA","TOR","2006-2007","Season Start","Basketball Value","Regular Season"
"27",23,"Camby","Camby, Marcus","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"28",24,"Ginobili","Ginobili, Manu","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"29",25,"Anthony","Anthony, Carmelo","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"30",26,"Duncan","Duncan, Tim","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"31",28,"Bowen","Bowen, Bruce","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"32",28,"B. Bowen","Bowen, Bruce","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"33",29,"Finley","Finley, Michael","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"34",30,"Parker","Parker, Tony","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"35",30,"W. Parker","Parker, Tony","NBA","SAS","2006-2007","20061105SASTOR","Basketball Value","Regular Season"
"36",30,"T. Parker","Parker, Tony","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"37",31,"A. Miller","Miller, Andre","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"38",31,"Miller","Miller, Andre","NBA","PHI","2006-2007","Transaction Li","Basketball Value","Regular Season"
"39",31,"Miller","Miller, Andre","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"40",31,"A. Miller","Miller, Andre","NBA","PHI","2006-2007","Transaction Li","Basketball Value","Regular Season"
"41",32,"Horry","Horry, Robert","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"42",33,"Barry","Barry, Brent","NBA","SAS","2006-2007","Season Start","Basketball Value","Regular Season"
"43",34,"Hilario","Hilario, Nene","NBA","DEN","2006-2007","20061102DENLAC","Basketball Value","Regular Season"
"44",34,"Nene","Hilario, Nene","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
"45",35,"Boykins","Boykins, Earl","NBA","DEN","2006-2007","Season Start","Basketball Value","Regular Season"
