"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"1",1,"Howard","Howard, Josh","NBA","DAL","2009-2010","3","SeasonStart","2009-10-26","2010-02-13","Basketball Value","Regular Season"
"2",2,"Thomas","Thomas, Kurt","NBA","MIL","2009-2010","4.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"3",3,"Dampier","Dampier, Erick","NBA","DAL","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"4",4,"Marion","Marion, Shawn","NBA","DAL","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"5",5,"Nowitzki","Nowitzki, Dirk","NBA","DAL","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"6",6,"Terry","Terry, Jason","NBA","DAL","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"7",7,"Bell","Bell, Raja","NBA","CHA","2009-2010","2.2","SeasonStart","2009-10-26","2009-11-15","Basketball Value","Regular Season"
"8",7,"Bell","Bell, Raja","NBA","GSW","2009-2010","2.2","Trade","2009-11-16","2010-07-01","Basketball Value","Regular Season"
"9",8,"Nash","Nash, Steve","NBA","PHX","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"10",10,"Jones","Jones, James","NBA","MIA","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"11",12,"Diaw","Diaw, Boris","NBA","CHA","2009-2010","3.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"12",14,"Daniels","Daniels, Marquis","NBA","BOS","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"13",15,"Harris","Harris, Devin","NBA","NJN","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"14",16,"Barbosa","Barbosa, Leandro","NBA","PHX","2009-2010","1.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"15",17,"Diop","Diop, DeSagana","NBA","CHA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"16",20,"House","House, Eddie","NBA","NYK","2009-2010","1.2","20100220OKCNYK","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"17",20,"House","House, Eddie","NBA","BOS","2009-2010","1.2","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"18",21,"Martin","Martin, Kenyon","NBA","DEN","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"19",22,"Nesterovic","Nesterovic, Rasho","NBA","TOR","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"20",23,"Camby","Camby, Marcus","NBA","LAC","2009-2010","4.6","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"21",23,"Camby","Camby, Marcus","NBA","POR","2009-2010","4.6","20100219BOSPOR","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"22",24,"Ginobili","Ginobili, Manu","NBA","SAS","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"23",25,"Anthony","Anthony, Carmelo","NBA","DEN","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"24",26,"Duncan","Duncan, Tim","NBA","SAS","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"25",29,"Finley","Finley, Michael","NBA","BOS","2009-2010","2.8","20100309BOSMIL","2010-03-09","2010-07-01","Basketball Value","Regular Season"
"26",29,"Finley","Finley, Michael","NBA","SAS","2009-2010","2.8","SeasonStart","2009-10-26","2010-03-09","Basketball Value","Regular Season"
"27",30,"Parker","Parker, Tony","NBA","SAS","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"28",31,"Miller","Miller, Andre","NBA","POR","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"29",34,"Hilario","Hilario, Nene","NBA","DEN","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"30",34,"Nene","Hilario, Nene","NBA","DEN","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"31",35,"Boykins","Boykins, Earl","NBA","WAS","2009-2010","1","20091114DETWAS","2009-11-13","2010-07-01","Basketball Value","Regular Season"
"32",36,"Najera","Najera, Eduardo","NBA","DAL","2009-2010","4","20100130PORDAL","2010-01-11","2010-07-01","Basketball Value","Regular Season"
"33",36,"Najera","Najera, Eduardo","NBA","NJN","2009-2010","4","SeasonStart","2009-10-26","2010-01-11","Basketball Value","Regular Season"
"34",37,"Oberto","Oberto, Fabricio","NBA","WAS","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"35",40,"Mohammed","Mohammed, Nazr","NBA","CHA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"36",42,"Elson","Elson, Francisco","NBA","PHI","2009-2010","5","20100409MILPHI","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"37",42,"Elson","Elson, Francisco","NBA","MIL","2009-2010","5","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"38",45,"Redd","Redd, Michael","NBA","MIL","2009-2010","2.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"39",46,"Iverson","Iverson, Allen","NBA","PHI","2009-2010","1.2","20091207DENPHI","2009-12-07","2010-07-01","Basketball Value","Regular Season"
"40",46,"Iverson","Iverson, Allen","NBA","MEM","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"41",47,"Ford","Ford, T.J.","NBA","IND","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"42",48,"Simmons","Simmons, Bobby","NBA","NJN","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"43",49,"Bogut","Bogut, Andrew","NBA","MIL","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"44",50,"Hunter","Hunter, Steven","NBA","MEM","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"45",51,"Magloire","Magloire, Jamaal","NBA","MIA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"46",52,"Iguodala","Iguodala, Andre","NBA","PHI","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"47",54,"Korver","Korver, Kyle","NBA","UTA","2009-2010","2.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"48",55,"M. Williams","Williams, Mo","NBA","CLE","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"49",56,"Gadzuric","Gadzuric, Dan","NBA","MIL","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"50",59,"Salmons","Salmons, John","NBA","CHI","2009-2010","2.6","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"51",59,"Salmons","Salmons, John","NBA","MIL","2009-2010","2.6","20100219MILDET","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"52",60,"Bell","Bell, Charlie","NBA","MIL","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"53",61,"Ollie","Ollie, Kevin","NBA","OKC","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"54",63,"Smith","Smith, J.R.","NBA","DEN","2009-2010","2.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"55",65,"Miller","Miller, Brad","NBA","CHI","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"56",67,"Stojakovic","Stojakovic, Peja","NBA","NOH","2009-2010","3.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"57",68,"Bibby","Bibby, Mike","NBA","ATL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"58",69,"West","West, David","NBA","NOH","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"59",70,"Paul","Paul, Chris","NBA","NOH","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"60",72,"Claxton","Claxton, Speedy","NBA","GSW","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"61",73,"Andersen","Andersen, Chris","NBA","DEN","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"62",74,"Thomas","Thomas, Kenny","NBA","SAC","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"63",75,"Hart","Hart, Jason","NBA","MIN","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"64",75,"Hart","Hart, Jason","NBA","NOH","2009-2010","1.2","20100205PHINOH","2010-02-05","2010-07-01","Basketball Value","Regular Season"
"65",76,"Butler","Butler, Rasual","NBA","LAC","2009-2010","2.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"66",77,"Martin","Martin, Kevin","NBA","SAC","2009-2010","2","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"67",77,"Martin","Martin, Kevin","NBA","HOU","2009-2010","2","20100220INDHOU","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"68",78,"Skinner","Skinner, Brian","NBA","LAC","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"69",79,"Mason","Mason, Desmond","NBA","SAC","2009-2010","2.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"70",80,"Garcia","Garcia, Francisco","NBA","SAC","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"71",83,"Bass","Bass, Brandon","NBA","ORL","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"72",85,"Price","Price, Ronnie","NBA","UTA","2009-2010","1.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"73",86,"Johnson","Johnson, Joe","NBA","ATL","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"74",87,"B. Davis","Davis, Baron","NBA","LAC","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"75",88,"Pachulia","Pachulia, Zaza","NBA","ATL","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"76",89,"Murphy","Murphy, Troy","NBA","IND","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"77",90,"Richardson","Richardson, Jason","NBA","PHX","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"78",92,"Dunleavy","Dunleavy, Mike","NBA","IND","2009-2010","2.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"79",93,"Foyle","Foyle, Adonal","NBA","ORL","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"80",94,"Josh Smith","Smith, Josh","NBA","ATL","2009-2010","3.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"81",95,"Harrington","Harrington, Al","NBA","NYK","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"82",97,"Williams","Williams, Marvin","NBA","ATL","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"83",98,"Pietrus","Pietrus, Mickael","NBA","ORL","2009-2010","2.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"84",101,"Biedrins","Biedrins, Andris","NBA","GSW","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"85",103,"Fisher","Fisher, Derek","NBA","LAL","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"86",109,"Ivey","Ivey, Royal","NBA","MIL","2009-2010","2","20100220CHAMIL","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"87",109,"Ivey","Ivey, Royal","NBA","PHI","2009-2010","2","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"88",110,"Hinrich","Hinrich, Kirk","NBA","CHI","2009-2010","1.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"89",111,"Wallace","Wallace, Gerald","NBA","CHA","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"90",112,"Nocioni","Nocioni, Andres","NBA","SAC","2009-2010","3.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"91",113,"Duhon","Duhon, Chris","NBA","NYK","2009-2010","1.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"92",115,"Brezec","Brezec, Primoz","NBA","PHI","2009-2010","5","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"93",115,"Brezec","Brezec, Primoz","NBA","MIL","2009-2010","5","20100224NOHMIL","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"94",116,"Rush","Rush, Kareem","NBA","LAC","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"95",117,"Okafor","Okafor, Emeka","NBA","NOH","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"96",118,"Chandler","Chandler, Tyson","NBA","CHA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"97",119,"Gordon","Gordon, Ben","NBA","DET","2009-2010","1.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"98",121,"Songaila","Songaila, Darius","NBA","NOH","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"99",122,"Deng","Deng, Luol","NBA","CHI","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"100",125,"Thomas","Thomas, Tim","NBA","DAL","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"101",126,"Felton","Felton, Raymond","NBA","CHA","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"102",127,"May","May, Sean","NBA","SAC","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"103",128,"Carroll","Carroll, Matt","NBA","DAL","2009-2010","2.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"104",130,"Allen","Allen, Malik","NBA","DEN","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"105",132,"Okur","Okur, Mehmet","NBA","UTA","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"106",136,"Kirilenko","Kirilenko, Andrei","NBA","UTA","2009-2010","3.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"107",137,"Collins","Collins, Jarron","NBA","PHX","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"108",138,"Harpring","Harpring, Matt","NBA","UTA","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"109",139,"Williams","Williams, Deron","NBA","UTA","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"110",140,"Brown","Brown, Devin","NBA","CHI","2009-2010","1.8","20100202LACCHI","2010-01-25","2010-07-01","Basketball Value","Regular Season"
"111",140,"D. Brown","Brown, Devin","NBA","NOH","2009-2010","1.8","SeasonStart","2009-10-26","2010-01-25","Basketball Value","Regular Season"
