"","PlayerName","PlayerTrueName","League","TeamName3","Season","Comment","StartDate","EndDate","Source","Season.Type"
"1","Howard","Howard, Josh","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"2","Thomas","Thomas, Kurt","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"3","Dampier","Dampier, Erick","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"6","Terry","Terry, Jason","NBA","DAL","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"10","Jones","Jones, James","NBA","MIA","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"20","House","House, Eddie","NBA","BOS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"21","K. Martin","Martin, Kenyon","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"21","Martin","Martin, Kenyon","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"25","Anthony","Anthony, Carmelo","NBA","DEN","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"26","Duncan","Duncan, Tim","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"28","Bowen","Bowen, Bruce","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"28","B. Bowen","Bowen, Bruce","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"29","Finley","Finley, Michael","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"30","W. Parker","Parker, Tony","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"30","Parker","Parker, Tony","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"30","T. Parker","Parker, Tony","NBA","SAS","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"31","A. Miller","Miller, Andre","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"31","Miller","Miller, Andre","NBA","PHI","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
"33","Barry","Barry, Brent","NBA","HOU","2009 playoffs","SeasonStart","2009-04-17","2009-07-01","Basketball Value","Playoffs"
