"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"2","Thomas","Thomas, Kurt","NBA","MIL","2010 playoffs",4.48,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"3","Dampier","Dampier, Erick","NBA","DAL","2010 playoffs",4.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"4","Marion","Marion, Shawn","NBA","DAL","2010 playoffs",3.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2010 playoffs",4.02,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"6","Terry","Terry, Jason","NBA","DAL","2010 playoffs",1.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"8","Nash","Nash, Steve","NBA","PHX","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"10","Jones","Jones, James","NBA","MIA","2010 playoffs",2.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"12","Diaw","Diaw, Boris","NBA","CHA","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"14","Daniels","Daniels, Marquis","NBA","BOS","2010 playoffs",2.48,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"16","Barbosa","Barbosa, Leandro","NBA","PHX","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"17","Diop","Diop, DeSagana","NBA","CHA","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"21","Martin","Martin, Kenyon","NBA","DEN","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"23","Camby","Camby, Marcus","NBA","POR","2010 playoffs",4.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2010 playoffs",2.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"25","Anthony","Anthony, Carmelo","NBA","DEN","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"26","Duncan","Duncan, Tim","NBA","SAS","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"29","Finley","Finley, Michael","NBA","BOS","2010 playoffs",2.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"30","Parker","Parker, Tony","NBA","SAS","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"31","Miller","Miller, Andre","NBA","POR","2010 playoffs",1.02,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"34","Hilario","Hilario, Nene","NBA","DEN","2010 playoffs",4.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"34","Nene","Hilario, Nene","NBA","DEN","2010 playoffs",4.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"36","Najera","Najera, Eduardo","NBA","DAL","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"40","Mohammed","Mohammed, Nazr","NBA","CHA","2010 playoffs",4.98,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"45","Redd","Redd, Michael","NBA","MIL","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"49","Bogut","Bogut, Andrew","NBA","MIL","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"51","Magloire","Magloire, Jamaal","NBA","MIA","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"54","Korver","Korver, Kyle","NBA","UTA","2010 playoffs",2.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"55","M. Williams","Williams, Mo","NBA","CLE","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"56","Gadzuric","Gadzuric, Dan","NBA","MIL","2010 playoffs",4.98,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"59","Salmons","Salmons, John","NBA","MIL","2010 playoffs",2.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"60","Bell","Bell, Charlie","NBA","MIL","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"61","Ollie","Ollie, Kevin","NBA","OKC","2010 playoffs",1.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"63","Smith","Smith, J.R.","NBA","DEN","2010 playoffs",2.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"65","Miller","Miller, Brad","NBA","CHI","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"68","Bibby","Bibby, Mike","NBA","ATL","2010 playoffs",1.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"73","Andersen","Andersen, Chris","NBA","DEN","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"83","Bass","Bass, Brandon","NBA","ORL","2010 playoffs",4.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"85","Price","Price, Ronnie","NBA","UTA","2010 playoffs",0.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"86","Johnson","Johnson, Joe","NBA","ATL","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"88","Pachulia","Pachulia, Zaza","NBA","ATL","2010 playoffs",5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"90","Richardson","Richardson, Jason","NBA","PHX","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"93","Foyle","Foyle, Adonal","NBA","ORL","2010 playoffs",4.02,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"94","Josh Smith","Smith, Josh","NBA","ATL","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"97","Williams","Williams, Marvin","NBA","ATL","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"98","Pietrus","Pietrus, Mickael","NBA","ORL","2010 playoffs",2.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"103","Fisher","Fisher, Derek","NBA","LAL","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"109","Ivey","Ivey, Royal","NBA","MIL","2010 playoffs",1.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"110","Hinrich","Hinrich, Kirk","NBA","CHI","2010 playoffs",1.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"111","Wallace","Wallace, Gerald","NBA","CHA","2010 playoffs",3.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"115","Brezec","Brezec, Primoz","NBA","MIL","2010 playoffs",4.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"118","Chandler","Chandler, Tyson","NBA","CHA","2010 playoffs",4.97,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"122","Deng","Deng, Luol","NBA","CHI","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"125","Thomas","Thomas, Tim","NBA","DAL","2010 playoffs",3.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"126","Felton","Felton, Raymond","NBA","CHA","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"128","Carroll","Carroll, Matt","NBA","DAL","2010 playoffs",2.49,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"130","Allen","Allen, Malik","NBA","DEN","2010 playoffs",4.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"132","Okur","Okur, Mehmet","NBA","UTA","2010 playoffs",4.98,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"136","Kirilenko","Kirilenko, Andrei","NBA","UTA","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"137","Collins","Collins, Jarron","NBA","PHX","2010 playoffs",4.52,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"139","Williams","Williams, Deron","NBA","UTA","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"140","Brown","Brown, Devin","NBA","CHI","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
