team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         20   10 7310 1131 2471  266  700  408  576  303 1226  703  266  416  151  514  2936   9   0   0
BostonCeltics        14   17 7587 1132 2458  173  496  522  658  241 1182  715  266  428  119  649  2959   9   0   0
CharlotteBobcats      8   23 7548 1085 2571  189  549  599  810  372 1292  601  229  404  205  600  2958   7   0   0
ChicagoBulls         17   13 7233 1052 2411  136  392  533  669  355 1289  680  221  425  152  579  2773  15   0   0
ClevelandCavaliers    7   26 7974 1159 2791  255  723  525  713  437 1389  636  262  479  106  729  3098   6   0   0
DallasMavericks      13   20 8109 1234 2760  235  661  557  712  311 1369  719  260  490  174  704  3260  13   0   0
DenverNuggets        18   16 8224 1335 2870  210  640  569  839  471 1568  788  275  505  228  700  3449  11   0   0
DetroitPistons       12   22 8266 1218 2755  215  563  584  809  424 1474  685  204  485  183  678  3235   5   0   0
GSWarriors           22   10 7792 1225 2682  255  652  551  693  375 1473  731  231  483  127  707  3256  12   0   0
HoustonRockets       18   14 7756 1220 2676  311  870  634  826  342 1395  728  277  507  133  607  3385   2   0   0
IndianaPacers        19   13 7756 1090 2560  209  600  547  740  394 1457  635  204  473  221  624  2936  13   0   0
LAClippers           25    8 7945 1262 2661  234  681  587  825  373 1376  773  358  456  210  692  3345  31   0   0
LALakers             15   16 7461 1140 2517  274  766  634  921  405 1428  659  229  468  176  599  3188  12   0   0
MemphisGrizzlies     20    9 7007 1049 2408  151  430  495  622  391 1248  608  272  416  157  582  2744  18   0   0
MiamiHeat            22    8 7280 1161 2360  258  648  527  690  243 1172  675  244  407  146  570  3107  10   0   0
MilwaukeeBucks       16   14 7258 1113 2572  179  536  483  646  373 1292  656  266  414  217  582  2888  11   0   0
MinnesotaT-wolves    15   14 6986 1028 2391  166  563  545  749  397 1336  628  223  428  162  529  2767  11   0   0
BrooklynNets         17   15 7765 1112 2533  240  698  565  765  391 1316  643  231  431  156  592  3029   9   0   0
NOrleansHornets       7   25 7757 1122 2547  223  589  459  594  357 1307  668  194  435  175  645  2926   6   0   0
NYKnicks             22   10 7703 1201 2671  362  929  504  675  334 1277  646  279  344  124  602  3268  19   0   0
OrlandoMagic         12   20 7732 1191 2628  195  569  410  527  333 1378  720  189  468  146  621  2987   6   0   0
Philadelphia76ers    15   18 7972 1217 2771  216  602  430  592  371 1380  717  253  400  172  633  3080   5   0   0
PhoenixSuns          12   21 8004 1263 2809  206  616  479  640  369 1321  731  266  424  185  672  3211  20   0   0
PortlandTrailBlazers 16   15 7567 1122 2559  244  734  507  661  370 1280  631  245  443  149  600  2995   9   0   0
SacramentoKings      12   20 7740 1169 2671  221  617  539  699  375 1299  636  262  437  150  672  3098  15   0   0
SanAntonioSpurs      26    9 8510 1392 2874  309  792  590  745  299 1459  887  305  509  180  611  3683   6   0   0
OklahomaCityThunder  24    7 7526 1163 2431  234  584  711  841  322 1337  679  243  468  236  637  3271  21   0   0
TorontoRaptors       12   20 7832 1147 2627  246  715  560  719  329 1275  706  239  391  155  740  3100  18   0   0
UtahJazz             16   17 8000 1209 2720  210  577  632  821  432 1420  741  259  477  217  725  3260  12   0   0
WashingtonWizards     4   26 7328 1013 2494  189  605  445  589  346 1315  616  219  444  146  623  2660   9   0   0
