team                 won lost min  fgm  fga   3m   3a  ftm  fta   or   tr   as   st   to   bk   pf   pts  tc  ej  ff
AtlantaHawks         10   20 7303 1097 2476  236  619  438  549  332 1282  649  261  456  140  572  2868  11   0   0
BostonCeltics        17   14 7603 1138 2498  220  584  540  738  328 1324  689  250  454  155  608  3036   5   0   0
CharlotteBobcats     23    8 7547 1207 2635  294  756  509  693  397 1396  791  216  420  250  661  3217   8   0   0
ChicagoBulls         13   17 7227 1053 2441  164  493  478  634  349 1228  554  233  413  162  605  2748  11   0   0
ClevelandCavaliers   26    7 7978 1213 2572  232  648  619  822  347 1362  748  268  493  239  659  3277  11   0   0
DallasMavericks      20   13 8096 1248 2796  275  749  639  854  416 1523  738  327  472  150  647  3410  14   0   0
DenverNuggets        16   18 8210 1266 2931  280  780  568  775  445 1445  785  294  454  225  722  3380  13   0   0
DetroitPistons       22   12 8262 1231 2797  238  718  586  772  402 1427  712  271  421  196  706  3286  13   0   0
GSWarriors           10   22 7787 1156 2706  242  731  601  812  356 1329  723  263  421  175  623  3155  17   0   0
HoustonRockets       14   18 7773 1281 2784  268  721  481  634  336 1367  724  277  462  202  616  3311   8   0   0
IndianaPacers        13   19 7754 1095 2648  167  538  523  674  363 1340  618  236  399  168  686  2880  14   0   0
LAClippers            8   25 7955 1115 2593  238  648  599  797  386 1345  702  237  555  154  717  3067  16   0   0
LALakers             16   15 7469 1195 2679  238  663  480  666  365 1295  716  253  399  154  739  3108  11   0   0
MemphisGrizzlies      9   20 7012  977 2249  183  527  467  624  313 1131  564  241  463  171  586  2604  14   0   0
MiamiHeat             8   22 7281 1098 2485  251  701  511  660  338 1236  612  233  422  103  606  2958  14   0   0
MilwaukeeBucks       14   16 7251 1090 2465  172  504  549  699  368 1356  656  238  470  126  589  2901   8   0   0
MinnesotaT-wolves    14   15 6996 1069 2397  183  553  435  578  302 1177  613  235  391  177  668  2756  12   0   0
BrooklynNets         15   17 7759 1170 2527  198  537  482  642  346 1284  656  239  429  137  684  3020  14   0   0
NOrleansHornets      25    7 7767 1186 2560  259  694  494  670  348 1322  753  251  394  217  588  3125   6   0   0
NYKnicks             10   22 7708 1152 2538  261  713  532  683  320 1375  626  189  479  125  612  3097   9   0   0
OrlandoMagic         20   12 7729 1188 2670  205  610  498  677  342 1322  685  236  389  154  539  3079   4   0   0
Philadelphia76ers    18   15 7970 1187 2649  226  628  562  737  354 1438  733  228  449  161  568  3162   9   0   0
PhoenixSuns          21   12 8000 1275 2709  228  569  557  749  385 1439  739  232  477  169  610  3335  15   0   0
PortlandTrailBlazers 15   16 7575 1175 2524  210  621  514  666  335 1314  706  265  442  123  592  3074  10   0   0
SacramentoKings      20   12 7730 1197 2632  235  675  621  789  406 1423  739  229  458  210  614  3250  12   0   0
SanAntonioSpurs       9   26 8502 1317 2990  211  637  549  723  410 1487  733  296  513  177  666  3394  10   0   0
OklahomaCityThunder   7   24 7520 1122 2612  237  673  529  678  364 1223  649  267  422  117  653  3010  14   0   0
TorontoRaptors       20   12 7828 1158 2535  204  575  654  874  341 1387  702  211  451  171  622  3174  14   0   0
UtahJazz             17   16 8009 1221 2695  224  591  606  799  395 1374  679  268  466  201  687  3272  20   0   0
WashingtonWizards    26    4 7327 1077 2455  232  641  510  698  346 1379  647  227  421  149  573  2896  11   0   0
