"","Team","PlusMinusTeam","PF","PA","Season","Min","PlusMinusPer200Team","Source","Season.Type"
"1","ATL","-388","7682","8070","2006-2007","3976.0000","-5.00097","Basketball Value","Regular Season"
"2","BOS","-280","7842","8122","2006-2007","3966.4500","-3.55307","Basketball Value","Regular Season"
"3","CHA","-305","7945","8250","2006-2007","4000.2833","-3.82757","Basketball Value","Regular Season"
"4","CHI","411","8100","7689","2006-2007","3956.0000","5.12309","Basketball Value","Regular Season"
"5","CLE","314","7934","7620","2006-2007","3976.0000","4.00766","Basketball Value","Regular Season"
"6","DAL","592","8201","7609","2006-2007","3951.0000","7.66442","Basketball Value","Regular Season"
"7","DEN","133","8639","8506","2006-2007","3956.0000","1.59904","Basketball Value","Regular Season"
"8","DET","341","7872","7531","2006-2007","3976.0000","4.50701","Basketball Value","Regular Season"
"9","GSW","-31","8733","8764","2006-2007","3951.0000","-0.367298","Basketball Value","Regular Season"
"10","HOU","398","7953","7555","2006-2007","3971.0000","5.07362","Basketball Value","Regular Season"
"11","IND","-200","7840","8040","2006-2007","3956.0000","-2.52127","Basketball Value","Regular Season"
"12","LAC","-38","7843","7881","2006-2007","3946.0000","-0.491051","Basketball Value","Regular Season"
"13","LAL","-6","8474","8480","2006-2007","4006.0000","-0.074239","Basketball Value","Regular Season"
"14","MEM","-422","8331","8753","2006-2007","3996.0000","-5.21696","Basketball Value","Regular Season"
"15","MIA","-75","7759","7834","2006-2007","3971.0000","-0.972006","Basketball Value","Regular Season"
"16","MIL","-359","8172","8531","2006-2007","3971.0000","-4.5334","Basketball Value","Regular Season"
"17","MIN","-303","7875","8178","2006-2007","4001.0000","-3.81516","Basketball Value","Regular Season"
"18","NJN","-63","8001","8064","2006-2007","3976.0000","-0.797973","Basketball Value","Regular Season"
"19","NOK","-129","7833","7962","2006-2007","3976.0000","-1.65938","Basketball Value","Regular Season"
"20","NYK","-236","7992","8228","2006-2007","4000.2833","-2.99189","Basketball Value","Regular Season"
"21","ORL","64","7771","7707","2006-2007","3956.0000","0.835291","Basketball Value","Regular Season"
"22","PHI","-248","7785","8033","2006-2007","3976.0000","-3.17501","Basketball Value","Regular Season"
"23","PHX","599","9037","8438","2006-2007","3981.0000","7.31782","Basketball Value","Regular Season"
"24","POR","-352","7717","8069","2006-2007","3991.0000","-4.60763","Basketball Value","Regular Season"
"25","SAC","-144","8303","8447","2006-2007","3961.0000","-1.77701","Basketball Value","Regular Season"
"26","SAS","690","8078","7388","2006-2007","3956.0000","8.96104","Basketball Value","Regular Season"
"27","SEA","-237","8115","8352","2006-2007","3961.4500","-3.0193","Basketball Value","Regular Season"
"28","TOR","81","8159","8078","2006-2007","3951.0000","1.0226","Basketball Value","Regular Season"
"29","UTA","235","8322","8087","2006-2007","3961.0000","2.99268","Basketball Value","Regular Season"
"30","WAS","-42","8556","8598","2006-2007","3966.0000","-0.521318","Basketball Value","Regular Season"
