RSCI,Player,HS,PS,AS,RC,Total,Ht,Height_Inches,Pos,College,City.State,State,City,Country,Class,Ranking_Date,fname,Pre,Chg,DT,RB,SN,HP,FB,HH,FS,VB,JG,SS,Avg,X5yr,Dev,VC,HM,RH,SI,SC,MP,RU,IR,FC
1,LeBron James,1,1,1,1,700,6'7,79,SF,NBA,"Akron, OH",OH,Akron,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,1,NA,NA,NA,NA,NA,1,NA,NA,1,1, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,LeBron James,1,1,1,1,700,6'7,79,SF,NBA,"Akron, OH",OH,Akron,United States,2003,8/12/2003,rcsi03_Final.csv,NA, ,1,NA,NA,NA,NA,NA,1,NA,NA,1,1, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Harrison Barnes ,NA,1,2,2,698,6'6 ,78,SF,,"Ames, IA",IA,Ames,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
1,Brandon Jennings,1,1,NA,4,697,6'1,73,PG,Europe,"Mouth of Wilson, VA",VA,Mouth of Wilson,United States,2008,5/1/2008,rcsi08_Final.csv,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2, ,1.3,NA,1,1,1,NA,NA,NA,NA,NA
1,Derrick Favors ,NA,1,1,3,696,6'9,81,C,Georgia Tech,"Atlanta, GA",GA,Atlanta,United States,2009,5/1/2009,rcsi09_Final.csv,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2, ,0.8,NA,1,2,2,NA,NA,NA,NA,NA
1,Derrick Favors ,2,1,NA,4,695,6'9 ,81,C,,"Atlanta, GA",GA,Atlanta,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,  ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,1,1,2,NA,NA,NA,NA,NA
2,Luol Deng,2,2,2,2,693,6'8,80,SF,Duke,"Blairstown, NJ",NJ,Blairstown,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,2,NA,NA,NA,NA,NA,2,NA,NA,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Luol Deng,2,2,2,2,693,6'8,80,SF,Duke,"Blairstown, NJ",NJ,Blairstown,United States,2003,8/12/2003,rcsi03_Final.csv,NA, ,2,NA,NA,NA,NA,NA,2,NA,NA,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,O.J. Mayo,2,1,3,4,693,6'4,76,SG-PG,University of Southern California,"Cincinnati, OH",OH,Cincinnati,United States,2007,5/1/2007,rcsi07_Final.csv,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2, ,1.3,NA,2,1,NA,NA,NA,NA,NA,NA
2,Jared Sullinger ,NA,3,1,3,690,6'8 ,80,C,Ohio State,"Columbus, OH",OH,Columbus,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,2,3,2,NA,NA,NA,NA,NA
2,Kevin Love,1,3,1,6,689,6'9,81,PF,"University of California, Los Angeles","Lake Oswego, OR",OR,Lake Oswego,United States,2007,5/1/2007,rcsi07_Final.csv,NA, ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,2.4,NA,1,3,NA,NA,NA,NA,NA,NA
