Season,Year_Start,Year_End,Date,Month,Day,Name,Person_Type,Current_Team,Team,First_Team,Second_Team,Third_Team,Notes,Award,Award.Name,League,fname,PTS,REB,AST,Wins,Losses,WL%,PPG,RPG,APG,BPG,PPG_Previous,RPG_Previous,APG_Previous,SPG,FG%,FT%,source
1986-1987,1986,1987,NA,NA,NA,Julius Erving,Player,Philadelphia 76ers,Philadelphia 76ers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Magic Johnson,Player,Los Angeles Lakers,Los Angeles Lakers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Kevin McHale,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Robert Reid,Player,Houston Rockets,Houston Rockets,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Doug Moe,Coach,Denver Nuggets,Denver Nuggets,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Mychal Thompson,Player,Los Angeles Lakers,Los Angeles Lakers,NA,TRUE,NA,Played for San Antonio and L.A.Lakers,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Doc Rivers,Player,Atlanta Hawks,Atlanta Hawks,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Larry Bird,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Cedric Maxwell,Player,Houston Rockets,Houston Rockets,NA,TRUE,NA,Played for L.A.Clippers and Houston,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Sidney Moncrief,Player,Milwaukee Bucks,Milwaukee Bucks,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1986-1987,1986,1987,NA,NA,NA,Frank Layden,Coach,Utah Jazz,Utah Jazz,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Kevin McHale,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Magic Johnson,Player,Los Angeles Lakers,Los Angeles Lakers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Mychal Thompson,Player,Los Angeles Lakers,Los Angeles Lakers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Charles Barkley,Player,Philadelphia 76ers,Philadelphia 76ers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Doug Moe,Coach,Denver Nuggets,Denver Nuggets,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Karl Malone,Player,Utah Jazz,Utah Jazz,NA,TRUE,NA,six players in All-Interview Second Team,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Doc Rivers,Player,Atlanta Hawks,Atlanta Hawks,NA,TRUE,NA,six players in All-Interview Second Team,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Larry Bird,Player,Boston Celtics,Boston,NA,TRUE,NA,six players in All-Interview Second Team,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Rolando Blackman,Player,Dallas Mavericks,Dallas Mavericks,NA,TRUE,NA,six players in All-Interview Second Team,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,World B. Free,Player,Houston Rockets,Houston Rockets,NA,TRUE,NA,six players in All-Interview Second Team,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,John Stockton,Player,Utah Jazz,Utah Jazz,NA,TRUE,NA,six players in All-Interview Second Team,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1987-1988,1987,1988,NA,NA,NA,Frank Layden,Coach,Utah Jazz,Utah Jazz,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Charles Barkley,Player,Philadelphia 76ers,Philadelphia 76ers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Karl Malone,Player,Utah Jazz,Utah Jazz,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Magic Johnson,Player,Los Angeles Lakers,Los Angeles Lakers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Doc Rivers,Player,Atlanta Hawks,Atlanta Hawks,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Doug Moe,Coach,Denver Nuggets,Denver Nuggets,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Mychal Thompson,Player,Los Angeles Lakers,Los Angeles Lakers,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Kevin McHale,Player,Boston Celtics,Boston,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Danny Ainge,Player,Sacramento Kings,Sacramento Kings,NA,TRUE,NA,Played for Boston and Sacramento,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Rolando Blackman,Player,Dallas Mavericks,Dallas Mavericks,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Reggie Theus,Player,Atlanta Hawks,Atlanta Hawks,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1988-1989,1988,1989,NA,NA,NA,Jerry Reynolds,Coach,Sacramento Kings,Sacramento Kings,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Charles Barkley,Player,Philadelphia 76ers,Philadelphia 76ers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Magic Johnson,Player,Los Angeles Lakers,Los Angeles Lakers,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Michael Jordan,Player,Chicago Bulls,Chicago Bulls,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Karl Malone,Player,Utah Jazz,Utah Jazz,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Kevin McHale,Player,Boston Celtics,Boston,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Doug Moe,Coach,Denver Nuggets,Denver Nuggets,TRUE,NA,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Mychal Thompson,Player,Los Angeles Lakers,Los Angeles Lakers,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
1989-1990,1989,1990,NA,NA,NA,Kevin Johnson,Player,Phoenix Suns,Phoenix Suns,NA,TRUE,NA,,All-Interview,NA,NBA,All NBA Interview Team History Winners (1).csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBAstats.prv.pl
