Team,Current_Team,Group,Transaction_Year,Details,Price,Inflation_Adusted_Price
Memphis Grizzlies,Memphis Grizzlies,Robert Pera,2012,"Group includes Peyton Manning, Justin Timberlake, Penny Hardaway, Harold Ford Jr., Stanley Cates, and J.R. Hyde","$377,000,000 ","$377,000,000 "
New Orleans Hornets,New Orleans Hornets,Tom Benson,2012,Purchase of Team,"$338,000,000 ","$338,000,000 "
Detroit Pistons,Detroit Pistons,Tom Gores,2011,"Bought the Team Along With Palace & gte theater, the Festival","$400,000,000 ","$400,000,000 "
Philadelphia 76ers,Philadelphia 76ers,"Joshua Harris, David Blitzer, Jason Levien, Michael Rubin, Erick Thohir, Will Smith & Jada Pinkett Smith",2011,"9-man Group Headed by Joshua Harris Bought 90% Share of the Team, Comcast-spectacor & Ed Snider Will Retain 10%","$280,000,000 ","$280,000,000 "
Golden State Warriors,Golden State Warriors,Peter Guber andåÊJoe Lacob,2010,Purchased Team,"$450,000,000 ","$450,000,000 "
New Jersey Nets,Brooklyn Nets,Mikhail Prokhorov,2010,"Transfer of 80% Ownership of Team, 45% of Barclays Center","$261,000,000 ","$261,000,000 "
New Orleans Hornets,New Orleans Hornets,NBA,2010,Purchase of Team,"$300,000,000 ","$300,000,000 "
New York Knicks,New York Knicks,"Madison Square Garden, Inc",2010,Company Spun off From Cablevision,$0 ,$0 
Washington Wizards,Washington Wizards,Ted Leonsis,2010,Purchased the Remaining 56 Percent Including Debt,"$550,000,000 ","$550,000,000 "
Charlotte Bobcats,Charlotte Bobcats,Michael Jordan,2009,"Increased His Small Stake to a Majority One,åÊdeal Included Debt","$275,000,000 ","$279,500,000 "
Utah Jazz,Utah Jazz,Greg Miller,2008,His Dad and Previous Owner Died,$0 ,$0 
New Orleans Hornets,New Orleans Hornets,George Shinn & George Chouest,2007,Transfer of Minority Ownership,"$248,000,000 ","$260,800,000 "
Orlando Magic,Orlando Magic,Bob Vander Weide,2007,Son-in-law of Richard Devos officially took Over,$0 ,$0 
Oklahoma City Thunder,Oklahoma City Thunder,Clay Bennett,2006,Purchased Team (and WNBA Storm),"$350,000,000 ","$378,600,000 "
Cleveland Cavaliers,Cleveland Cavaliers,Dan Gilbert,2005,Became Majority Owner,"$375,000,000 ","$418,700,000 "
Atlanta Hawks,Atalanta Hawks,"Atlanta Spirit, LLC  (9 partners)",2004,Purchased Team,"$208,000,000 ","$240,100,000 "
New Jersey Nets,Brooklyn Nets,group headed by Bruce Ratner,2004,Transfer of Ownership,"$300,000,000 ","$346,300,000 "
Phoenix Suns,Phoenix Suns,Robert Sarver,2004,Purchased Team,"$401,000,000 ","$462,900,000 "
Charlotte Bobcats,Charlotte Bobcats,Robert Johnson,2003,Expansion Fee,"$300,000,000 ","$355,600,000 "
Boston Celtics,Boston Celtics,"Wycliffe Grousbeck, Stephen Pagliuca,åÊ H. Irving Grousbeck",2002,Purchased Team,"$360,000,000 ","$436,400,000 "
Seattle SuperSonics,Oklahoma City Thunder,Howard Schultz,2001,Transfer of Ownership,"$200,000,000 ","$246,300,000 "
Dallas Mavericks,Dallas Mavericks,Mark Cuban,2000,Purchased a Majority Stake,"$285,000,000 ","$360,900,000 "
Denver Nuggets,Denver Nuggets,Stan Kroenke,2000,total Deal Was Worth 450m$ but Included Nhl Avalanche and Pepsi Center,"$202,000,000 ","$255,800,000 "
Memphis Grizzlies,Memphis Grizzlies,Michael Heisley,2000,Purchased Team,"$160,000,000 ","$202,600,000 "
Vancouver Grizzlies,Memphis Grizzlies,Bill & Nancy Laurie,1999,Purchased Team,"$200,000,000 ","$261,800,000 "
New Jersey Nets,Brooklyn Nets,"Finn Wentworth, Stanley Gale, Raymond Chambers, Ray Katz",1998,Purchase of Team,"$150,000,000 ","$200,700,000 "
Sacramento Kings,Sacramento Kings,Joe Maloof & Gavin Maloof,1998,"Transfer of Ownership [all Entities Cost 250m$] Purchased 53%, Incl. Arco Arena","$156,000,000 ","$208,700,000 "
Toronto Raptors,Toronto Raptors,Maple Leaf,1998,total Deal For 400m$ but Included Air Canada Centre,"$125,000,000 ","$167,200,000 "
Vancouver Grizzlies,Memphis Grizzlies,John McCaw,1997,Bought Out Arthur Griffiths,$0 ,$0 
New York Knicks,New York Knicks,Cablevision,1997,Bought Out ITT Corporation's Share,"$300,000,000 ","$407,600,000 "
Atlanta Hawks,Atalanta Hawks,AOL Time Warner,1996,Became Owner Via Merger,$0 ,$0 
Dallas Mavericks,Dallas Mavericks,"Ross Perot, Jr.",1996,Purchased a Majority Stake,"$125,000,000 ","$173,700,000 "
Vancouver Grizzlies,Memphis Grizzlies,Arthur Griffiths,1996,Expansion Fee,"$125,000,000 ","$173,700,000 "
Philadelphia 76ers,Philadelphia 76ers,Comcast,1996,Purchased Team,"$130,000,000 ","$180,700,000 "
Toronto Raptors,Toronto Raptors,Allan Slaight,1996,Purchased 39.5% of Team (added toåÊthe 39.5% That He Already Owned),"$66,000,000 ","$91,700,000 "
Toronto Raptors,Toronto Raptors,John Bitove Jr.,1996,Sold 39.5% Interest,"$66,000,000 ","$91,700,000 "
Toronto Raptors,Toronto Raptors,John Bitove Jr.,1996,Expansion Fee,"$125,000,000 ","$173,700,000 "
Golden State Warriors,Golden State Warriors,Christopher Cohan,1995,Purchased Remaining 75%,"$95,000,000 ","$135,900,000 "
Miami Heat,Miami Heat,Micky Arison,1995,"Bought Out Co-owners, Raised Share to 88%","$68,000,000 ","$97,300,000 "
Minnesota Timberwolves,Minnesota Timberwolves,Glen Taylor,1995,Transfer of Ownership,"$89,000,000 ","$127,300,000 "
New York Knicks,New York Knicks,Cablevision & ITT Corporation,1994,"Won Bid For Madison Square Garden and Its Properties Knicks, Rangers and Msg Network)","$1,100,000,000 ","$1,618,500,000 "
New York Knicks,New York Knicks,Viacom,1994,Bought Previous Owner,$0 ,$0 
Boston Celtics,Boston Celtics,Paul Gaston,1993,Succeeded His Father,$0 ,$0 
Houston Rockets,Houston Rockets,Leslie Alexander,1993,Purchased Team,"$85,000,000 ","$128,300,000 "
San Antonio Spurs,San Antonio Spurs,Peter Holt,1993,Transfer of Ownership,"$75,000,000 ","$113,200,000 "
Denver Nuggets,Denver Nuggets,Comsat Video,1992,"Bought Out Co-owners, Raised Share to 100%","$70,000,000 ","$108,800,000 "
Golden State Warriors,Golden State Warriors,Christopher Cohan,1992,Purchased 25%,"$21,000,000 ","$32,600,000 "
Orlando Magic,Orlando Magic,Richard DeVos,1991,Purchased the Franchise,"$85,000,000 ","$136,100,000 "
Denver Nuggets,Denver Nuggets,Comsat Video Enterprises,1989,Purchases 67.5% Stake in Team,"$45,000,000 ","$79,100,000 "
Miami Heat,Miami Heat,"Billy Cunningham, Lewis Schaffel & Ted Arison",1989,Expansion Fee,"$32,500,000 ","$57,200,000 "
