"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Boston Celtics","14","17",".452","4","-2.54","102.2","104.9","","D. Rivers (14-17)"
"2","2011-12","NBA","Boston Celtics*","39","27",".591","1","2.26","101.0","98.2","Lost Eastern Conference Finals","D. Rivers (39-27)"
"3","2010-11","NBA","Boston Celtics*","56","26",".683","1","4.83","106.2","100.3","Lost Eastern Conference Semifinals","D. Rivers (56-26)"
"4","2009-10","NBA","Boston Celtics*","50","32",".610","1","3.37","107.7","103.8","Lost Finals","D. Rivers (50-32)"
"5","2008-09","NBA","Boston Celtics*","62","20",".756","1","7.44","110.5","102.3","Lost Eastern Conference Semifinals","D. Rivers (62-20)"
"6","2007-08","NBA","Boston Celtics*","66","16",".805","1","9.31","110.2","98.9","Won Finals","D. Rivers (66-16)"
"7","2006-07","NBA","Boston Celtics","24","58",".293","5","-3.71","103.2","106.9","","D. Rivers (24-58)"
"8","2005-06","NBA","Boston Celtics","33","49",".402","3","-1.59","105.2","106.9","","D. Rivers (33-49)"
"9","2004-05","NBA","Boston Celtics*","45","37",".549","1","0.34","107.5","106.6","Lost Eastern Conference First Round","D. Rivers (45-37)"
"10","2003-04","NBA","Boston Celtics*","36","46",".439","4","-1.99","102.1","103.7","Lost Eastern Conference First Round","J. O'Brien (22-24), J. Carroll (14-22)"
"11","2002-03","NBA","Boston Celtics*","44","38",".537","3","-0.75","101.2","101.6","Lost Eastern Conference Semifinals","J. O'Brien (44-38)"
"12","2001-02","NBA","Boston Celtics*","49","33",".598","2","1.75","103.4","101.0","Lost Eastern Conference Finals","J. O'Brien (49-33)"
"13","2000-01","NBA","Boston Celtics","36","46",".439","5","-2.40","101.4","103.7","","R. Pitino (12-22), J. O'Brien (24-24)"
"14","1999-00","NBA","Boston Celtics","35","47",".427","5","-1.00","104.8","105.6","","R. Pitino (35-47)"
"15","1998-99","NBA","Boston Celtics","19","31",".380","5","-1.75","100.4","102.4","","R. Pitino (19-31)"
"16","1997-98","NBA","Boston Celtics","36","46",".439","6","-1.96","102.6","105.4","","R. Pitino (36-46)"
"17","1996-97","NBA","Boston Celtics","15","67",".183","7","-6.62","103.9","111.4","","M. Carr (15-67)"
"18","1995-96","NBA","Boston Celtics","33","49",".402","5","-3.37","106.4","109.9","","M. Carr (33-49)"
"19","1994-95","NBA","Boston Celtics*","35","47",".427","3","-1.92","108.6","110.6","Lost Eastern Conference First Round","C. Ford (35-47)"
"20","1993-94","NBA","Boston Celtics","32","50",".390","5","-4.28","104.2","108.7","","C. Ford (32-50)"
"21","1992-93","NBA","Boston Celtics*","48","34",".585","2","0.93","108.7","107.8","Lost Eastern Conference First Round","C. Ford (48-34)"
"22","1991-92","NBA","Boston Celtics*","51","31",".622","1","3.42","110.8","107.0","Lost Eastern Conference Semifinals","C. Ford (51-31)"
"23","1990-91","NBA","Boston Celtics*","56","26",".683","1","5.21","112.6","106.7","Lost Eastern Conference Semifinals","C. Ford (56-26)"
"24","1989-90","NBA","Boston Celtics*","52","30",".634","2","3.23","112.0","107.9","Lost Eastern Conference First Round","J. Rodgers (52-30)"
"25","1988-89","NBA","Boston Celtics*","42","40",".512","3","1.26","110.8","109.6","Lost Eastern Conference First Round","J. Rodgers (42-40)"
"26","1987-88","NBA","Boston Celtics*","57","25",".695","1","6.15","115.4","109.4","Lost Eastern Conference Finals","K. Jones (57-25)"
"27","1986-87","NBA","Boston Celtics*","59","23",".720","1","6.58","113.5","106.8","Lost Finals","K. Jones (59-23)"
"28","1985-86","NBA","Boston Celtics*","67","15",".817","1","9.06","111.8","102.6","Won Finals","K. Jones (67-15)"
"29","1984-85","NBA","Boston Celtics*","63","19",".768","1","6.47","112.8","106.3","Lost Finals","K. Jones (63-19)"
"30","1983-84","NBA","Boston Celtics*","62","20",".756","1","6.42","110.9","104.4","Won Finals","K. Jones (62-20)"
"31","1982-83","NBA","Boston Celtics*","56","26",".683","2","5.34","106.9","101.8","Lost Eastern Conference Semifinals","B. Fitch (56-26)"
"32","1981-82","NBA","Boston Celtics*","63","19",".768","1","6.35","109.8","103.5","Lost Eastern Conference Finals","B. Fitch (63-19)"
"33","1980-81","NBA","Boston Celtics*","62","20",".756","1","6.05","108.4","102.6","Won Finals","B. Fitch (62-20)"
"34","1979-80","NBA","Boston Celtics*","61","21",".744","1","7.37","109.4","101.9","Lost Eastern Conference Finals","B. Fitch (61-21)"
"35","1978-79","NBA","Boston Celtics","29","53",".354","5","-4.78","101.6","106.4","","T. Sanders (2-12), D. Cowens (27-41)"
"36","1977-78","NBA","Boston Celtics","32","50",".390","3","-1.86","99.1","100.9","","T. Heinsohn (11-23), T. Sanders (21-27)"
"37","1976-77","NBA","Boston Celtics*","44","38",".537","2","-1.90","96.5","98.3","Lost Eastern Conference Semifinals","T. Heinsohn (44-38)"
"38","1975-76","NBA","Boston Celtics*","54","28",".659","1","2.24","98.9","96.7","Won Finals","T. Heinsohn (54-28)"
"39","1974-75","NBA","Boston Celtics*","60","22",".732","1","5.41","100.0","94.7","Lost Eastern Conference Finals","T. Heinsohn (60-22)"
"40","1973-74","NBA","Boston Celtics*","56","26",".683","1","3.42","98.6","95.1","Won Finals","T. Heinsohn (56-26)"
"41","1972-73","NBA","Boston Celtics*","68","14",".829","1","7.35","","","Lost Eastern Conference Finals","T. Heinsohn (68-14)"
"42","1971-72","NBA","Boston Celtics*","56","26",".683","1","4.38","","","Lost Eastern Conference Finals","T. Heinsohn (56-26)"
"43","1970-71","NBA","Boston Celtics","44","38",".537","3","2.30","","","","T. Heinsohn (44-38)"
"44","1969-70","NBA","Boston Celtics","34","48",".415","6","-1.60","","","","T. Heinsohn (34-48)"
"45","1968-69","NBA","Boston Celtics*","48","34",".585","4","5.35","","","Won Finals","B. Russell (48-34)"
"46","1967-68","NBA","Boston Celtics*","54","28",".659","2","3.87","","","Won Finals","B. Russell (54-28)"
