"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Dallas Mavericks","13","20",".394","4","-4.26","102.4","107.1","","R. Carlisle (13-20)"
"2","2011-12","NBA","Dallas Mavericks*","36","30",".545","3","1.78","103.3","102.3","Lost Western Conference First Round","R. Carlisle (36-30)"
"3","2010-11","NBA","Dallas Mavericks*","57","25",".695","2","4.41","109.7","105.0","Won Finals","R. Carlisle (57-25)"
"4","2009-10","NBA","Dallas Mavericks*","55","27",".671","1","2.67","109.2","106.3","Lost Western Conference First Round","R. Carlisle (55-27)"
"5","2008-09","NBA","Dallas Mavericks*","50","32",".610","3","1.68","110.5","108.4","Lost Western Conference Semifinals","R. Carlisle (50-32)"
"6","2007-08","NBA","Dallas Mavericks*","51","31",".622","4","4.70","111.1","106.1","Lost Western Conference First Round","A. Johnson (51-31)"
"7","2006-07","NBA","Dallas Mavericks*","67","15",".817","1","7.28","111.3","103.2","Lost Western Conference First Round","A. Johnson (67-15)"
"8","2005-06","NBA","Dallas Mavericks*","60","22",".732","2","5.96","111.8","105.0","Lost Finals","A. Johnson (60-22)"
"9","2004-05","NBA","Dallas Mavericks*","58","24",".707","2","5.85","110.3","104.1","Lost Western Conference Semifinals","D. Nelson (42-22), A. Johnson (16-2)"
"10","2003-04","NBA","Dallas Mavericks*","52","30",".634","3","4.86","112.1","107.4","Lost Western Conference First Round","D. Nelson (52-30)"
"11","2002-03","NBA","Dallas Mavericks*","60","22",".732","2","7.91","110.7","102.3","Lost Western Conference Finals","D. Nelson (60-22)"
"12","2001-02","NBA","Dallas Mavericks*","57","25",".695","2","4.41","112.2","107.7","Lost Western Conference Semifinals","D. Nelson (57-25)"
"13","2000-01","NBA","Dallas Mavericks*","53","29",".646","3","4.60","107.1","102.6","Lost Western Conference Semifinals","D. Nelson (53-29)"
"14","1999-00","NBA","Dallas Mavericks","40","42",".488","4","-0.28","106.6","107.2","","D. Nelson (40-42)"
"15","1998-99","NBA","Dallas Mavericks","19","31",".380","5","-2.50","102.3","104.9","","D. Nelson (19-31)"
"16","1997-98","NBA","Dallas Mavericks","20","62",".244","5","-6.33","100.5","107.2","","J. Cleamons (4-12), D. Nelson (16-50)"
"17","1996-97","NBA","Dallas Mavericks","24","58",".293","4","-6.47","101.1","108.2","","J. Cleamons (24-58)"
"18","1995-96","NBA","Dallas Mavericks","26","56",".317","6","-4.71","106.1","111.2","","D. Motta (26-56)"
"19","1994-95","NBA","Dallas Mavericks","36","46",".439","5","-2.40","107.6","110.6","","D. Motta (36-46)"
"20","1993-94","NBA","Dallas Mavericks","13","69",".159","6","-8.19","100.4","109.6","","Q. Buckner (13-69)"
"21","1992-93","NBA","Dallas Mavericks","11","71",".134","6","-14.68","99.5","114.7","","R. Adubato (2-27), G. Heard (9-44)"
"22","1991-92","NBA","Dallas Mavericks","22","60",".268","5","-7.46","103.0","111.1","","R. Adubato (22-60)"
"23","1990-91","NBA","Dallas Mavericks","28","54",".341","6","-4.27","105.5","110.3","","R. Adubato (28-54)"
"24","1989-90","NBA","Dallas Mavericks*","47","35",".573","3","0.42","107.2","107.2","Lost Western Conference First Round","J. MacLeod (5-6), R. Adubato (42-29)"
"25","1988-89","NBA","Dallas Mavericks","38","44",".463","4","-1.79","107.4","108.6","","J. MacLeod (38-44)"
"26","1987-88","NBA","Dallas Mavericks*","53","29",".646","2","3.59","112.2","107.7","Lost Western Conference Finals","J. MacLeod (53-29)"
"27","1986-87","NBA","Dallas Mavericks*","55","27",".671","1","5.55","114.9","108.7","Lost Western Conference First Round","D. Motta (55-27)"
"28","1985-86","NBA","Dallas Mavericks*","44","38",".537","3","0.70","112.1","111.0","Lost Western Conference Semifinals","D. Motta (44-38)"
"29","1984-85","NBA","Dallas Mavericks*","44","38",".537","3","1.80","111.5","109.3","Lost Western Conference First Round","D. Motta (44-38)"
"30","1983-84","NBA","Dallas Mavericks*","43","39",".524","2","0.15","110.0","109.6","Lost Western Conference Semifinals","D. Motta (43-39)"
"31","1982-83","NBA","Dallas Mavericks","38","44",".463","4","-0.70","109.4","109.8","","D. Motta (38-44)"
"32","1981-82","NBA","Dallas Mavericks","28","54",".341","5","-4.48","105.9","110.4","","D. Motta (28-54)"
"33","1980-81","NBA","Dallas Mavericks","15","67",".183","6","-8.33","102.4","110.8","","D. Motta (15-67)"
