"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Indiana Pacers","19","13",".594","1","0.58","101.1","99.1","","F. Vogel (19-13)"
"2","2011-12","NBA","Indiana Pacers*","42","24",".636","2","2.60","106.7","103.1","Lost Eastern Conference Semifinals","F. Vogel (42-24)"
"3","2010-11","NBA","Indiana Pacers*","37","45",".451","2","-1.38","104.8","106.0","Lost Eastern Conference First Round","J. O'Brien (17-27), F. Vogel (20-18)"
"4","2009-10","NBA","Indiana Pacers","32","50",".390","4","-3.10","103.7","106.8","","J. O'Brien (32-50)"
"5","2008-09","NBA","Indiana Pacers","36","46",".439","4","-0.76","108.1","109.2","","J. O'Brien (36-46)"
"6","2007-08","NBA","Indiana Pacers","36","46",".439","3","-1.86","106.0","107.5","","J. O'Brien (36-46)"
"7","2006-07","NBA","Indiana Pacers","35","47",".427","4","-2.62","102.9","105.5","","R. Carlisle (35-47)"
"8","2005-06","NBA","Indiana Pacers*","41","41",".500","3","1.62","104.5","102.4","Lost Eastern Conference First Round","R. Carlisle (41-41)"
"9","2004-05","NBA","Indiana Pacers*","44","38",".537","3","0.49","105.5","104.6","Lost Eastern Conference Semifinals","R. Carlisle (44-38)"
"10","2003-04","NBA","Indiana Pacers*","61","21",".744","1","4.93","103.8","97.2","Lost Eastern Conference Finals","R. Carlisle (61-21)"
"11","2002-03","NBA","Indiana Pacers*","48","34",".585","2","2.79","104.6","100.8","Lost Eastern Conference First Round","I. Thomas (48-34)"
"12","2001-02","NBA","Indiana Pacers*","42","40",".512","4","-0.07","104.1","103.8","Lost Eastern Conference First Round","I. Thomas (42-40)"
"13","2000-01","NBA","Indiana Pacers*","41","41",".500","4","-0.77","102.0","102.2","Lost Eastern Conference First Round","I. Thomas (41-41)"
"14","1999-00","NBA","Indiana Pacers*","56","26",".683","1","4.16","108.5","103.6","Lost Finals","L. Bird (56-26)"
"15","1998-99","NBA","Indiana Pacers*","33","17",".660","1","3.86","108.7","104.4","Lost Eastern Conference Finals","L. Bird (33-17)"
"16","1997-98","NBA","Indiana Pacers*","58","24",".707","2","6.25","108.4","101.6","Lost Eastern Conference Finals","L. Bird (58-24)"
"17","1996-97","NBA","Indiana Pacers","39","43",".476","6","1.49","105.8","104.7","","L. Brown (39-43)"
"18","1995-96","NBA","Indiana Pacers*","52","30",".634","2","3.10","110.8","107.2","Lost Eastern Conference First Round","L. Brown (52-30)"
"19","1994-95","NBA","Indiana Pacers*","52","30",".634","1","3.35","109.6","105.6","Lost Eastern Conference Finals","L. Brown (52-30)"
"20","1993-94","NBA","Indiana Pacers*","47","35",".573","3","3.26","107.8","104.2","Lost Eastern Conference Finals","L. Brown (47-35)"
"21","1992-93","NBA","Indiana Pacers*","41","41",".500","5","1.77","111.9","110.1","Lost Eastern Conference First Round","B. Hill (41-41)"
"22","1991-92","NBA","Indiana Pacers*","40","42",".488","4","1.85","111.7","109.9","Lost Eastern Conference First Round","B. Hill (40-42)"
"23","1990-91","NBA","Indiana Pacers*","41","41",".500","5","-0.38","111.7","112.1","Lost Eastern Conference First Round","D. Versace (9-16), B. Hill (32-25)"
"24","1989-90","NBA","Indiana Pacers*","42","40",".512","5","-0.18","111.5","111.4","Lost Eastern Conference First Round","D. Versace (42-40)"
"25","1988-89","NBA","Indiana Pacers","28","54",".341","6","-3.00","106.8","111.0","","J. Ramsay (0-7), M. Daniels (0-2), G. Irvine (6-14), D. Versace (22-31)"
"26","1987-88","NBA","Indiana Pacers","38","44",".463","6","-0.18","106.6","107.4","","J. Ramsay (38-44)"
"27","1986-87","NBA","Indiana Pacers*","41","41",".500","4","-0.17","106.0","106.6","Lost Eastern Conference First Round","J. Ramsay (41-41)"
"28","1985-86","NBA","Indiana Pacers","26","56",".317","6","-2.66","102.6","105.9","","G. Irvine (26-56)"
"29","1984-85","NBA","Indiana Pacers","22","60",".268","6","-5.46","102.5","108.4","","G. Irvine (22-60)"
"30","1983-84","NBA","Indiana Pacers","26","56",".317","6","-4.25","101.8","106.5","","J. McKinney (26-56)"
"31","1982-83","NBA","Indiana Pacers","20","62",".244","6","-5.36","103.8","109.4","","J. McKinney (20-62)"
"32","1981-82","NBA","Indiana Pacers","35","47",".427","4","-1.49","102.7","104.6","","J. McKinney (35-47)"
"33","1980-81","NBA","Indiana Pacers*","44","38",".537","3","1.72","106.4","105.0","Lost Eastern Conference First Round","J. McKinney (44-38)"
