"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Los Angeles Clippers","25","8",".758","1","8.51","109.7","100.6","","V. Del Negro (25-8)"
"2","2011-12","NBA","Los Angeles Clippers*","40","26",".606","2","2.82","108.5","105.7","Lost Western Conference Semifinals","V. Del Negro (40-26)"
"3","2010-11","NBA","Los Angeles Clippers","32","50",".390","4","-2.71","105.3","108.7","","V. Del Negro (32-50)"
"4","2009-10","NBA","Los Angeles Clippers","29","53",".354","3","-6.01","103.3","110.1","","M. Dunleavy (21-28), K. Hughes (8-25)"
"5","2008-09","NBA","Los Angeles Clippers","19","63",".232","4","-8.46","102.3","111.7","","M. Dunleavy (19-63)"
"6","2007-08","NBA","Los Angeles Clippers","23","59",".280","5","-6.56","101.2","109.1","","M. Dunleavy (23-59)"
"7","2006-07","NBA","Los Angeles Clippers","40","42",".488","4","-0.08","105.1","105.6","","M. Dunleavy (40-42)"
"8","2005-06","NBA","Los Angeles Clippers*","47","35",".573","2","1.75","105.3","103.6","Lost Western Conference Semifinals","M. Dunleavy (47-35)"
"9","2004-05","NBA","Los Angeles Clippers","37","45",".451","3","-0.47","105.5","106.4","","M. Dunleavy (37-45)"
"10","2003-04","NBA","Los Angeles Clippers","28","54",".341","7","-3.74","103.5","108.5","","M. Dunleavy (28-54)"
"11","2002-03","NBA","Los Angeles Clippers","27","55",".329","7","-3.44","102.3","106.8","","A. Gentry (19-39), D. Johnson (8-16)"
"12","2001-02","NBA","Los Angeles Clippers","39","43",".476","5","-0.09","105.5","106.0","","A. Gentry (39-43)"
"13","2000-01","NBA","Los Angeles Clippers","31","51",".378","6","-2.23","101.3","104.5","","A. Gentry (31-51)"
"14","1999-00","NBA","Los Angeles Clippers","15","67",".183","7","-10.73","97.8","110.1","","C. Ford (11-34), J. Todd (4-33)"
"15","1998-99","NBA","Los Angeles Clippers","9","41",".180","7","-8.94","100.0","109.7","","C. Ford (9-41)"
"16","1997-98","NBA","Los Angeles Clippers","17","65",".207","7","-7.53","103.3","111.2","","B. Fitch (17-65)"
"17","1996-97","NBA","Los Angeles Clippers*","36","46",".439","5","-2.66","105.1","107.6","Lost Western Conference First Round","B. Fitch (36-46)"
"18","1995-96","NBA","Los Angeles Clippers","29","53",".354","7","-3.47","106.5","110.3","","B. Fitch (29-53)"
"19","1994-95","NBA","Los Angeles Clippers","17","65",".207","7","-8.44","101.5","111.1","","B. Fitch (17-65)"
"20","1993-94","NBA","Los Angeles Clippers","27","55",".329","7","-5.28","102.9","108.6","","B. Weiss (27-55)"
"21","1992-93","NBA","Los Angeles Clippers*","41","41",".500","4","0.33","107.4","107.1","Lost Western Conference First Round","L. Brown (41-41)"
"22","1991-92","NBA","Los Angeles Clippers*","45","37",".549","5","1.10","105.8","104.7","Lost Western Conference First Round","M. Schuler (21-24), M. Calvin (1-1), L. Brown (23-12)"
"23","1990-91","NBA","Los Angeles Clippers","31","51",".378","6","-3.16","103.0","106.5","","M. Schuler (31-51)"
"24","1989-90","NBA","Los Angeles Clippers","30","52",".366","6","-2.80","104.0","107.4","","D. Casey (30-52)"
"25","1988-89","NBA","Los Angeles Clippers","21","61",".256","7","-9.50","100.8","110.2","","G. Shue (10-28), D. Casey (11-33)"
"26","1987-88","NBA","Los Angeles Clippers","17","65",".207","6","-10.24","97.4","107.6","","G. Shue (17-65)"
"27","1986-87","NBA","Los Angeles Clippers","12","70",".146","6","-11.00","101.2","112.3","","D. Chaney (12-70)"
"28","1985-86","NBA","Los Angeles Clippers","32","50",".390","4","-6.83","105.4","112.1","","D. Chaney (32-50)"
"29","1984-85","NBA","Los Angeles Clippers","31","51",".378","5","-4.55","105.8","110.3","","J. Lynam (22-39), D. Chaney (9-12)"
"30","1983-84","NBA","San Diego Clippers","30","52",".366","6","-3.21","109.2","112.4","","J. Lynam (30-52)"
"31","1982-83","NBA","San Diego Clippers","25","57",".305","6","-4.61","104.7","109.3","","P. Silas (25-57)"
"32","1981-82","NBA","San Diego Clippers","17","65",".207","6","-7.05","106.6","113.8","","P. Silas (17-65)"
"33","1980-81","NBA","San Diego Clippers","36","46",".439","5","-1.78","106.0","107.6","","P. Silas (36-46)"
"34","1979-80","NBA","San Diego Clippers","35","47",".427","5","-3.97","105.7","109.8","","G. Shue (35-47)"
"35","1978-79","NBA","San Diego Clippers","43","39",".524","5","-1.76","106.2","107.9","","G. Shue (43-39)"
"36","1977-78","NBA","Buffalo Braves","27","55",".329","4","-3.55","100.3","103.8","","C. Fitzsimmons (27-55)"
"37","1976-77","NBA","Buffalo Braves","30","52",".366","4","-4.28","97.6","101.8","","T. Locke (16-30), B. MacKinnon (3-4), J. Mullaney (11-18)"
"38","1975-76","NBA","Buffalo Braves*","46","36",".561","3","0.85","99.0","98.2","Lost Eastern Conference Semifinals","J. Ramsay (46-36)"
"39","1974-75","NBA","Buffalo Braves*","49","33",".598","2","2.17","99.8","97.8","Lost Eastern Conference Semifinals","J. Ramsay (49-33)"
"40","1973-74","NBA","Buffalo Braves*","42","40",".512","3","-0.19","99.3","99.4","Lost Eastern Conference Semifinals","J. Ramsay (42-40)"
"41","1972-73","NBA","Buffalo Braves","21","61",".256","3","-8.85","","","","J. Ramsay (21-61)"
"42","1971-72","NBA","Buffalo Braves","22","60",".268","4","-9.44","","","","D. Schayes (0-1), J. McCarthy (22-59)"
"43","1970-71","NBA","Buffalo Braves","22","60",".268","4","-8.02","","","","D. Schayes (22-60)"
