"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Phoenix Suns","12","21",".364","5","-3.76","104.5","108.6","","A. Gentry (12-21)"
"2","2011-12","NBA","Phoenix Suns","33","33",".500","3","0.29","106.2","106.5","","A. Gentry (33-33)"
"3","2010-11","NBA","Phoenix Suns","40","42",".488","2","-0.46","109.5","110.4","","A. Gentry (40-42)"
"4","2009-10","NBA","Phoenix Suns*","54","28",".659","2","4.68","115.3","110.2","Lost Western Conference Finals","A. Gentry (54-28)"
"5","2008-09","NBA","Phoenix Suns","46","36",".561","2","1.62","113.6","111.6","","T. Porter (28-23), A. Gentry (18-13)"
"6","2007-08","NBA","Phoenix Suns*","55","27",".671","2","5.14","113.3","108.1","Lost Western Conference First Round","M. D'Antoni (55-27)"
"7","2006-07","NBA","Phoenix Suns*","61","21",".744","1","7.27","113.9","106.4","Lost Western Conference Semifinals","M. D'Antoni (61-21)"
"8","2005-06","NBA","Phoenix Suns*","54","28",".659","1","5.48","111.5","105.8","Lost Western Conference Finals","M. D'Antoni (54-28)"
"9","2004-05","NBA","Phoenix Suns*","62","20",".756","1","7.08","114.5","107.1","Lost Western Conference Finals","M. D'Antoni (62-20)"
"10","2003-04","NBA","Phoenix Suns","29","53",".354","6","-2.94","101.4","105.5","","F. Johnson (8-13), M. D'Antoni (21-40)"
"11","2002-03","NBA","Phoenix Suns*","44","38",".537","4","1.57","103.7","102.5","Lost Western Conference First Round","F. Johnson (44-38)"
"12","2001-02","NBA","Phoenix Suns","36","46",".439","6","-0.30","103.3","104.0","","S. Skiles (25-26), F. Johnson (11-20)"
"13","2000-01","NBA","Phoenix Suns*","51","31",".622","3","2.63","100.3","98.0","Lost Western Conference First Round","S. Skiles (51-31)"
"14","1999-00","NBA","Phoenix Suns*","53","29",".646","3","5.24","104.6","99.0","Lost Western Conference Semifinals","D. Ainge (13-7), S. Skiles (40-22)"
"15","1998-99","NBA","Phoenix Suns*","27","23",".540","3","2.15","105.8","103.3","Lost Western Conference First Round","D. Ainge (27-23)"
"16","1997-98","NBA","Phoenix Suns*","56","26",".683","3","4.44","107.4","101.8","Lost Western Conference First Round","D. Ainge (56-26)"
"17","1996-97","NBA","Phoenix Suns*","40","42",".488","4","0.21","109.3","108.6","Lost Western Conference First Round","C. Fitzsimmons (0-8), D. Ainge (40-34)"
"18","1995-96","NBA","Phoenix Suns*","41","41",".500","4","0.28","110.3","110.0","Lost Western Conference First Round","P. Westphal (14-19), C. Fitzsimmons (27-22)"
"19","1994-95","NBA","Phoenix Suns*","59","23",".720","1","3.85","114.5","110.4","Lost Western Conference Semifinals","P. Westphal (59-23)"
