"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Utah Jazz","16","17",".485","5","0.60","106.9","107.4","","T. Corbin (16-17)"
"2","2011-12","NBA","Utah Jazz*","36","30",".545","3","0.92","106.8","106.1","Lost Western Conference First Round","T. Corbin (36-30)"
"3","2010-11","NBA","Utah Jazz","39","43",".476","4","-1.44","108.1","110.1","","J. Sloan (31-23), T. Corbin (8-20)"
"4","2009-10","NBA","Utah Jazz*","53","29",".646","2","5.33","110.7","105.0","Lost Western Conference Semifinals","J. Sloan (53-29)"
"5","2008-09","NBA","Utah Jazz*","48","34",".585","3","2.31","110.1","107.3","Lost Western Conference First Round","J. Sloan (48-34)"
"6","2007-08","NBA","Utah Jazz*","54","28",".659","1","6.87","113.8","106.5","Lost Western Conference Semifinals","J. Sloan (54-28)"
"7","2006-07","NBA","Utah Jazz*","51","31",".622","1","3.06","110.1","107.0","Lost Western Conference Finals","J. Sloan (51-31)"
"8","2005-06","NBA","Utah Jazz","41","41",".500","2","-2.49","104.1","107.0","","J. Sloan (41-41)"
"9","2004-05","NBA","Utah Jazz","26","56",".317","5","-3.74","104.7","109.5","","J. Sloan (26-56)"
"10","2003-04","NBA","Utah Jazz","42","40",".512","7","-0.53","101.9","103.3","","J. Sloan (42-40)"
"11","2002-03","NBA","Utah Jazz*","47","35",".573","4","2.77","105.5","102.8","Lost Western Conference First Round","J. Sloan (47-35)"
"12","2001-02","NBA","Utah Jazz*","44","38",".537","4","1.20","105.6","104.6","Lost Western Conference First Round","J. Sloan (44-38)"
"13","2000-01","NBA","Utah Jazz*","53","29",".646","2","5.00","107.6","102.4","Lost Western Conference First Round","J. Sloan (53-29)"
"14","1999-00","NBA","Utah Jazz*","55","27",".671","1","4.52","107.3","102.3","Lost Western Conference Semifinals","J. Sloan (55-27)"
"15","1998-99","NBA","Utah Jazz*","37","13",".740","2","5.54","105.8","98.4","Lost Western Conference Semifinals","J. Sloan (37-13)"
"16","1997-98","NBA","Utah Jazz*","62","20",".756","1","5.73","112.7","105.4","Lost Finals","J. Sloan (62-20)"
"17","1996-97","NBA","Utah Jazz*","64","18",".780","1","7.97","113.6","104.0","Lost Finals","J. Sloan (64-18)"
"18","1995-96","NBA","Utah Jazz*","55","27",".671","2","6.24","113.3","106.1","Lost Western Conference Finals","J. Sloan (55-27)"
"19","1994-95","NBA","Utah Jazz*","60","22",".732","2","7.75","114.3","105.7","Lost Western Conference First Round","J. Sloan (60-22)"
"20","1993-94","NBA","Utah Jazz*","53","29",".646","3","4.10","108.6","104.1","Lost Western Conference Finals","J. Sloan (53-29)"
"21","1992-93","NBA","Utah Jazz*","47","35",".573","3","1.74","109.6","107.4","Lost Western Conference First Round","J. Sloan (47-35)"
"22","1991-92","NBA","Utah Jazz*","55","27",".671","1","5.70","112.2","105.6","Lost Western Conference Finals","J. Sloan (55-27)"
"23","1990-91","NBA","Utah Jazz*","54","28",".659","2","3.18","108.6","105.1","Lost Western Conference Semifinals","J. Sloan (54-28)"
"24","1989-90","NBA","Utah Jazz*","55","27",".671","2","4.82","110.3","105.4","Lost Western Conference First Round","J. Sloan (55-27)"
"25","1988-89","NBA","Utah Jazz*","51","31",".622","1","4.02","106.6","101.5","Lost Western Conference First Round","F. Layden (11-6), J. Sloan (40-25)"
"26","1987-88","NBA","Utah Jazz*","47","35",".573","3","2.96","106.8","103.1","Lost Western Conference Semifinals","F. Layden (47-35)"
"27","1986-87","NBA","Utah Jazz*","44","38",".537","2","0.05","104.1","103.7","Lost Western Conference First Round","F. Layden (44-38)"
"28","1985-86","NBA","Utah Jazz*","42","40",".512","4","-0.67","104.2","104.6","Lost Western Conference First Round","F. Layden (42-40)"
"29","1984-85","NBA","Utah Jazz*","41","41",".500","4","-0.32","103.3","103.4","Lost Western Conference Semifinals","F. Layden (41-41)"
"30","1983-84","NBA","Utah Jazz*","45","37",".549","1","0.81","109.0","108.0","Lost Western Conference Semifinals","F. Layden (45-37)"
"31","1982-83","NBA","Utah Jazz","30","52",".366","5","-4.22","101.2","105.1","","F. Layden (30-52)"
"32","1981-82","NBA","Utah Jazz","25","57",".305","6","-5.63","106.2","111.7","","T. Nissalke (8-12), F. Layden (17-45)"
"33","1980-81","NBA","Utah Jazz","28","54",".341","5","-5.99","103.4","109.4","","T. Nissalke (28-54)"
"34","1979-80","NBA","Utah Jazz","24","58",".293","5","-5.71","104.2","110.4","","T. Nissalke (24-58)"
"35","1978-79","NBA","New Orleans Jazz","26","56",".317","6","-5.97","99.6","105.4","","E. Baylor (26-56)"
"36","1977-78","NBA","New Orleans Jazz","39","43",".476","5","-1.80","98.9","100.6","","E. Baylor (39-43)"
"37","1976-77","NBA","New Orleans Jazz","35","47",".427","5","-2.68","97.0","99.7","","B. Van Breda Kolff (14-12), E. Baylor (21-35)"
"38","1975-76","NBA","New Orleans Jazz","38","44",".463","4","-0.74","96.6","97.4","","B. Van Breda Kolff (38-44)"
"39","1974-75","NBA","New Orleans Jazz","23","59",".280","5","-7.29","92.5","99.7","","S. Robertson (1-14), E. Baylor (0-1), B. Van Breda Kolff (22-44)"
