"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","Washington Wizards","4","26",".133","5","-8.59","95.3","103.8","","R. Wittman (4-26)"
"2","2011-12","NBA","Washington Wizards","20","46",".303","4","-5.14","101.0","106.2","","F. Saunders (2-15), R. Wittman (18-31)"
"3","2010-11","NBA","Washington Wizards","23","59",".280","5","-7.30","102.4","110.2","","F. Saunders (23-59)"
"4","2009-10","NBA","Washington Wizards","26","56",".317","5","-4.72","104.2","109.4","","F. Saunders (26-56)"
"5","2008-09","NBA","Washington Wizards","19","63",".232","5","-6.98","105.4","113.6","","E. Jordan (1-10), E. Tapscott (18-53)"
"6","2007-08","NBA","Washington Wizards*","43","39",".524","2","-0.61","109.2","109.6","Lost Eastern Conference First Round","E. Jordan (43-39)"
"7","2006-07","NBA","Washington Wizards*","41","41",".500","2","-0.80","110.1","110.6","Lost Eastern Conference First Round","E. Jordan (41-41)"
"8","2005-06","NBA","Washington Wizards*","42","40",".512","2","1.56","109.3","107.3","Lost Eastern Conference First Round","E. Jordan (42-40)"
"9","2004-05","NBA","Washington Wizards*","45","37",".549","2","-0.72","107.2","107.5","Lost Eastern Conference Semifinals","E. Jordan (45-37)"
"10","2003-04","NBA","Washington Wizards","25","57",".305","6","-6.12","98.8","104.8","","E. Jordan (25-57)"
"11","2002-03","NBA","Washington Wizards","37","45",".451","5","-1.47","103.0","104.1","","D. Collins (37-45)"
"12","2001-02","NBA","Washington Wizards","37","45",".451","5","-1.58","104.8","106.4","","D. Collins (37-45)"
"13","2000-01","NBA","Washington Wizards","19","63",".232","7","-6.75","100.6","107.8","","L. Hamilton (19-63)"
"14","1999-00","NBA","Washington Wizards","29","53",".354","7","-3.47","103.5","107.0","","G. Heard (14-30), D. Walker (15-23)"
"15","1998-99","NBA","Washington Wizards","18","32",".360","6","-1.75","101.2","103.7","","B. Bickerstaff (13-19), J. Brovelli (5-13)"
"16","1997-98","NBA","Washington Wizards","42","40",".512","4","1.11","105.2","104.5","","B. Bickerstaff (42-40)"
"17","1996-97","NBA","Washington Bullets*","44","38",".537","4","1.77","106.6","104.9","Lost Eastern Conference First Round","J. Lynam (22-24), B. Staak (0-1), B. Bickerstaff (22-13)"
"18","1995-96","NBA","Washington Bullets","39","43",".476","4","0.99","108.7","107.6","","J. Lynam (39-43)"
"19","1994-95","NBA","Washington Bullets","21","61",".256","7","-5.56","105.4","111.3","","J. Lynam (21-61)"
"20","1993-94","NBA","Washington Bullets","24","58",".293","7","-7.13","104.5","112.2","","W. Unseld (24-58)"
"21","1992-93","NBA","Washington Bullets","22","60",".268","7","-6.49","103.6","110.8","","W. Unseld (22-60)"
"22","1991-92","NBA","Washington Bullets","25","57",".305","6","-4.35","103.9","108.4","","W. Unseld (25-57)"
"23","1990-91","NBA","Washington Bullets","30","52",".366","4","-4.84","103.0","108.1","","W. Unseld (30-52)"
"24","1989-90","NBA","Washington Bullets","31","51",".378","4","-2.43","107.5","109.7","","W. Unseld (31-51)"
"25","1988-89","NBA","Washington Bullets","40","42",".488","4","-1.77","106.4","108.5","","W. Unseld (40-42)"
"26","1987-88","NBA","Washington Bullets*","38","44",".463","2","-0.16","106.5","107.2","Lost Eastern Conference First Round","K. Loughery (8-19), W. Unseld (30-25)"
"27","1986-87","NBA","Washington Bullets*","42","40",".512","3","-1.01","105.7","107.0","Lost Eastern Conference First Round","K. Loughery (42-40)"
"28","1985-86","NBA","Washington Bullets*","39","43",".476","3","-1.28","103.0","104.8","Lost Eastern Conference First Round","G. Shue (32-37), K. Loughery (7-6)"
"29","1984-85","NBA","Washington Bullets*","40","42",".488","4","0.15","104.3","104.6","Lost Eastern Conference First Round","G. Shue (40-42)"
"30","1983-84","NBA","Washington Bullets*","35","47",".427","5","-2.36","104.2","107.2","Lost Eastern Conference First Round","G. Shue (35-47)"
"31","1982-83","NBA","Washington Bullets","42","40",".512","5","0.20","99.1","99.3","","G. Shue (42-40)"
"32","1981-82","NBA","Washington Bullets*","43","39",".524","4","1.06","103.3","102.5","Lost Eastern Conference Semifinals","G. Shue (43-39)"
"33","1980-81","NBA","Washington Bullets","39","43",".476","4","0.42","102.7","102.7","","G. Shue (39-43)"
"34","1979-80","NBA","Washington Bullets*","39","43",".476","3","-2.27","103.2","105.7","Lost Eastern Conference First Round","D. Motta (39-43)"
"35","1978-79","NBA","Washington Bullets*","54","28",".659","1","4.75","107.4","102.7","Lost Finals","D. Motta (54-28)"
"36","1977-78","NBA","Washington Bullets*","44","38",".537","2","0.82","101.3","100.5","Won Finals","D. Motta (44-38)"
"37","1976-77","NBA","Washington Bullets*","48","34",".585","2","0.90","99.3","98.4","Lost Eastern Conference Semifinals","D. Motta (48-34)"
"38","1975-76","NBA","Washington Bullets*","48","34",".585","2","2.19","97.5","95.3","Lost Eastern Conference Semifinals","K. Jones (48-34)"
"39","1974-75","NBA","Washington Bullets*","60","22",".732","1","6.54","98.0","91.3","Lost Finals","K. Jones (60-22)"
"40","1973-74","NBA","Capital Bullets*","47","35",".573","1","1.19","95.6","94.2","Lost Eastern Conference Semifinals","K. Jones (47-35)"
"41","1972-73","NBA","Baltimore Bullets*","52","30",".634","1","2.85","","","Lost Eastern Conference Semifinals","G. Shue (52-30)"
"42","1971-72","NBA","Baltimore Bullets*","38","44",".463","1","-1.26","","","Lost Eastern Conference Semifinals","G. Shue (38-44)"
"43","1970-71","NBA","Baltimore Bullets*","42","40",".512","1","0.91","","","Lost Finals","G. Shue (42-40)"
"44","1969-70","NBA","Baltimore Bullets*","50","32",".610","3","1.94","","","Lost Eastern Division Semifinals","G. Shue (50-32)"
"45","1968-69","NBA","Baltimore Bullets*","57","25",".695","1","4.05","","","Lost Eastern Division Semifinals","G. Shue (57-25)"
"46","1967-68","NBA","Baltimore Bullets","36","46",".439","6","-0.23","","","","G. Shue (36-46)"
"47","1966-67","NBA","Baltimore Bullets","20","61",".247","5","-5.87","","","","M. Farmer (1-8), B. Jeannette (3-13), G. Shue (16-40)"
"48","1965-66","NBA","Baltimore Bullets*","38","42",".475","2","-1.06","","","Lost Western Division Semifinals","P. Seymour (38-42)"
"49","1964-65","NBA","Baltimore Bullets*","37","43",".463","3","-1.97","","","Lost Western Division Finals","B. Jeannette (37-43)"
"50","1963-64","NBA","Baltimore Bullets","31","49",".388","4","-1.59","","","","S. Leonard (31-49)"
"51","1962-63","NBA","Chicago Zephyrs","25","55",".313","5","-3.63","","","","J. McMahon (12-26), S. Leonard (13-29)"
"52","1961-62","NBA","Chicago Packers","18","62",".225","5","-7.54","","","","J. Pollard (18-62)"
