Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
John Egan,Baltimore Bullets,"$24,000 ",1967-1968,,,,,
Leroy Ellis,Baltimore Bullets,"$30,000 ",1967-1968,,,,,
Robert Ferry,Baltimore Bullets,"$20,000 ",1967-1968,,,,,
Gus Johnson,Baltimore Bullets,"$30,000 ",1967-1968,,,,,
Kevin Loughery,Baltimore Bullets,"$23,000 ",1967-1968,,,,,
Edward Manning,Baltimore Bullets,"$13,000 ",1967-1968,,,,,
Jack Marin,Baltimore Bullets,"$28,000 ",1967-1968,,,,,
Stanley McKenzie,Baltimore Bullets,"$12,500 ",1967-1968,,,,,
Earl Monroe,Baltimore Bullets,"$40,000 ",1967-1968,,,,,
Wayne Embry,Boston Celtics,"$40,000 ",1967-1968,,,,,
Robert Graham,Boston Celtics,"$20,000 ",1967-1968,,,,,
John Havlicek,Boston Celtics,"$55,000 ",1967-1968,,,,,
Bailey Howell,Boston Celtics,"$42,500 ",1967-1968,,,,,
John Jones,Boston Celtics,"$14,000 ",1967-1968,,,,,
Samuel Jones,Boston Celtics,"$44,000 ",1967-1968,,,,,
Donald Nelson,Boston Celtics,"$36,500 ",1967-1968,,,,,
Thomas Sanders,Boston Celtics,"$29,000 ",1967-1968,,,,,
Lawrence Siegfried,Boston Celtics,"$35,000 ",1967-1968,,,,,
Robert Boozer,Chicago Bulls,"$36,500 ",1967-1968,,,,,
Barry Clemens,Chicago Bulls,"$24,000 ",1967-1968,,,,,
Keith Erickson,Chicago Bulls,"$32,000 ",1967-1968,,,,,
Clem Haskins,Chicago Bulls,"$28,000 ",1967-1968,,,,,
McCoy McLemore,Chicago Bulls,"$25,000 ",1967-1968,,,,,
Flynn Robinson,Chicago Bulls,"$30,855 ",1967-1968,,,,,
Jerry Sloan,Chicago Bulls,"$30,000 ",1967-1968,,,,,
James Washington,Chicago Bulls,"$31,000 ",1967-1968,,,,,
Kenneth Wilburn,Chicago Bulls,"$12,000 ",1967-1968,,,,,
Dave Bing,Detroit Pistons,"$49,000 ",1967-1968,,,,,
Len Chappell,Detroit Pistons,"$19,000 ",1967-1968,,,,,
David De Busschere,Detroit Pistons,"$53,000 ",1967-1968,,,,,
Terry Dischinger,Detroit Pistons,"$30,000 ",1967-1968,,,,,
Lloyd Dove,Detroit Pistons,"$65,000 ",1967-1968,,,,,
James Fox,Detroit Pistons,"$17,500 ",1967-1968,,,,,
Harold Hairston,Detroit Pistons,"$28,500 ",1967-1968,,,,,
Paul Long,Detroit Pistons,"$12,000 ",1967-1968,,,,,
