Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
A.C. Green,Los Angeles Lakers,"$269,000.00 ",1988-1989,,,,,
A.C. Green,Los Angeles Lakers,"$269,000.00 ",1989-1990,,,,,
A.C. Green,Los Angeles Lakers,"$1,750,000.00 ",1991-1992,,,,,
A.C. Green,Los Angeles Lakers,"$1,750,000.00 ",1992-1993,,,,,
A.C. Green,Phoenix Suns,"$1,885,000.00 ",1993-1994,,,,,
A.C. Green,Phoenix Suns,"$6,472,600.00 ",1994-1995,,,,,
A.C. Green,Phoenix Suns,"$6,473,000.00 ",1995-1996,,,,,
A.C. Green,Phoenix Suns,"$4,851,000.00 ",1996-1997,,,,,
A.C. Green,Dallas Mavericks,"$5,095,088.00 ",1997-1998,,,,,
A.C. Green,Dallas Mavericks,"$3,107,000.00 ",1998-1999,,,,,
A.C. Green,Los Angeles Lakers,"$1,700,000.00 ",1999-2000,,,,,
A.C. Green,Miami Heat,"$2,250,000.00 ",2000-2001,2000-2001,,1,"$1,000,000 ",
A.J. Bramlett,Cleveland Cavaliers,"$118,974.00 ",1999-2000,,,,,
A.J. English,Washington Bullets,"$325,000.00 ",1991-1992,,,,,
A.J. English,Chicago Bulls,"$150,000.00 ",1993-1994,,,,,
A.J. English,Portland Trail Blazers,"$150,000.00 ",1993-1994,,,,,
A.J. Guyton,Chicago Bulls,"$320,000.00 ",2000-2001,2001-2002,,2,"$2,000,000 ",
A.J. Guyton,Chicago Bulls,"$465,850.00 ",2001-2002,2001-2002,,2,"$2,000,000 ",
A.J. Price,Indiana Pacers,"$457,588.00 ",2009-2010,,,,,
A.J. Price,Indiana Pacers,"$762,195.00 ",2010-2011,,,,,
A.J. Price,Indiana Pacers,$0.00 ,2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,$0.00 ,2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,"$854,389.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
A.J. Price,Indiana Pacers,"$1,085,120.00 ",2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=1139
Aaron Brooks,Houston Rockets,"$972,720.00 ",2007-2008,2011-2012,,5,"$6,113,436 ",
Aaron Brooks,Houston Rockets,"$1,118,520.00 ",2009-2010,,,,,
Aaron Brooks,Phoenix Suns,"$2,016,692.00 ",2010-2011,,,,,
Aaron Brooks,Houston Rockets,"$1,045,560.00 ",2008-2009,2011-2012,,5,"$6,113,436 ",
Aaron Gray,Chicago Bulls,"$427,163.00 ",2007-2008,2009-2010,,3,"$1,138,680 ",
Aaron Gray,New Orleans Hornets,"$1,000,497.00 ",2009-2010,,,,,
Aaron Gray,New Orleans Hornets,"$1,028,840.00 ",2010-2011,,,,,
Aaron Gray,Toronto Raptors,$0.00 ,2012-2013,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2013-2014,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2014-2015,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2015-2016,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,$0.00 ,2016-2017,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Toronto Raptors,"$2,500,000.00 ",2011-2012,,,,,http://www.shamsports.com/content/pages/playerProfiles/profileDisplay.jsp?id=850
Aaron Gray,Chicago Bulls,"$711,517.00 ",2008-2009,2009-2010,,3,"$1,138,680 ",
Aaron McKie,Portland Trail Blazers,"$650,000.00 ",1994-1995,,,,,
Aaron McKie,Portland Trail Blazers,"$845,000.00 ",1995-1996,,,,,
Aaron McKie,Portland Trail Blazers,"$1,040,000.00 ",1996-1997,,,,,
Aaron McKie,Philadelphia 76ers,"$1,235,000.00 ",1997-1998,,,,,
Aaron McKie,Philadelphia 76ers,"$871,951.00 ",1998-1999,,,,,
Aaron McKie,Philadelphia 76ers,"$1,624,000.00 ",1999-2000,,,,,
Aaron McKie,Philadelphia 76ers,"$1,818,000.00 ",2000-2001,2000-2001,,6,"$6,000,000 ",
Aaron McKie,Philadelphia 76ers,"$4,000,000.00 ",2001-2002,2007-2008,,7,"$7,000,000 ",
Aaron McKie,Philadelphia 76ers,"$4,500,000.00 ",2002-2003,2005-2006 ,Player,7,"$7,000,000 ",
