Player,Wikipedia_Player_URL,Position_ID,Position,Last_Name,First_Name,Height,Height (inches),Height (meters),Weight (lbs),Weight (kg),DOB,From,TeamCode,Jersey
Devin Harris,http://en.wikipedia.org/wiki/Devin_Harris,1.5,G,Harris,Devin,6'3'',75,1.91,192,87,2/27/1983,Wisconsin,ATL,34
Al Horford,http://en.wikipedia.org/wiki/Al_Horford,5.5,F/C,Horford,Al,6'10'',82,2.08,250,113,6/3/1986,Florida,ATL,15
John Jenkins,http://en.wikipedia.org/wiki/John_Jenkins,1.5,G,Jenkins,John,6'4'',76,1.93,220,100,3/6/1991,Vanderbilt,ATL,12
Ivan Johnson,http://en.wikipedia.org/wiki/Ivan_Johnson_(basketball),4,PF,Johnson,Ivan,6'8'',80,2.03,255,116,4/10/1984,Cal State San Bernardino ,ATL,44
Kyle Korver,http://en.wikipedia.org/wiki/Kyle_Korver,2.5,G/F,Korver,Kyle,6'7'',79,2.01,212,96,3/17/1981,Creighton,ATL,26
Anthony Morrow,http://en.wikipedia.org/wiki/Anthony_Morrow,1.5,G,Morrow,Anthony,6'5'',77,1.96,210,95,9/27/1985,Georgia Tech,ATL,22
Zaza Pachulia,http://en.wikipedia.org/wiki/Zaza_Pachulia,6,C,Pachulia,Zaza,6'11'',83,2.11,275,125,2/10/1984,Republic of Georgia,ATL,27
Johan Petro,http://en.wikipedia.org/wiki/Johan_Petro,6,C,Petro,Johan,7'0'',84,2.13,247,112,1/27/1986,France,ATL,10
Mike Scott,http://en.wikipedia.org/wiki/Mike_Scott,4,F,Scott,Mike,6'8'',80,2.03,237,108,7/16/1988,Virginia,ATL,32
Josh Smith,http://en.wikipedia.org/wiki/Josh_Smith,4,F,Smith,Josh,6'9'',81,2.06,225,102,12/5/1985,Oak Hill Academy (VA),ATL,5
DeShawn Stevenson,http://en.wikipedia.org/wiki/DeShawn_Stevenson,2.5,G/F,Stevenson,DeShawn,6'5'',77,1.96,218,99,4/3/1981,Wshington Union High School (CA),ATL,92
Jeff Teague,http://en.wikipedia.org/wiki/Jeff_Teague,1.5,G,Teague,Jeff,6'2'',74,1.88,181,82,6/10/1988,Wake Forest,ATL,0
Anthony Tolliver,http://en.wikipedia.org/wiki/Anthony_Tolliver,4,PF,Tolliver,Anthony,6'8'',80,2.03,240,109,6/1/1985,Creighton,ATL,4
Louis Williams,http://en.wikipedia.org/wiki/Louis_Williams,1.5,G,Williams,Louis,6'1'',73,1.85,175,79,10/27/1986,South Gwinnett High School (GA),ATL,3
Andray Blatche,http://en.wikipedia.org/wiki/Andray_Blatche,4.5,PF/C,Blatche,Andray,6'11,83,2.11,260,118,8/22/1986,South Kent HS (CT),BKN,0
Keith Bogans,http://en.wikipedia.org/wiki/Keith_Bogans,2.5,G/F,Bogans,Keith,6'5'',77,1.96,215,98,5/12/1980,Kentucky,BKN,10
MarShon Brooks,http://en.wikipedia.org/wiki/MarShon_Brooks,2.5,G/F,Brooks,MarShon,6'5'',77,1.96,200,91,1/26/1989,Providence,BKN,2
Josh Childress,http://en.wikipedia.org/wiki/Josh_Childress,2.5,SG/SF,Childress,Josh,6'8,80,2.03,209,95,6/20/1983,Stanford,BKN,2
