"","League","Season","GameDate","GameID","BoxScoreURL","PlayByPlayURL","HomeNameFull","HomeName3","AwayNameFull","AwayName3","HaveBoxScore","HavePlayByPlay","AnalyzedPlayByPlay","Source","Season.Type"
"1","NBA","2010-2011",2010-10-26,"20101026HOULAL","http://www.nba.com/games/20101026/HOULAL/boxscore.html","http://www.nba.com/games/20101026/HOULAL/gameinfo.html","Los Angeles Lakers","LAL","Houston Rockets","HOU","NULL","2010-11-01 14:12:49","2010-11-01 14:15:39","Basketball Value","Regular Season"
"2","NBA","2010-2011",2010-10-26,"20101026MIABOS","http://www.nba.com/games/20101026/MIABOS/boxscore.html","http://www.nba.com/games/20101026/MIABOS/gameinfo.html","Boston Celtics","BOS","Miami Heat","MIA","NULL","2010-11-01 14:12:52","2010-11-01 14:59:18","Basketball Value","Regular Season"
"3","NBA","2010-2011",2010-10-26,"20101026PHXPOR","http://www.nba.com/games/20101026/PHXPOR/boxscore.html","http://www.nba.com/games/20101026/PHXPOR/gameinfo.html","Portland Trailblazers","POR","Phoenix Suns","PHX","NULL","2010-11-01 14:12:55","2010-11-01 14:55:45","Basketball Value","Regular Season"
"4","NBA","2010-2011",2010-10-27,"20101027ATLMEM","http://www.nba.com/games/20101027/ATLMEM/boxscore.html","http://www.nba.com/games/20101027/ATLMEM/gameinfo.html","Memphis Grizzlies","MEM","Atlanta Hawks","ATL","NULL","2010-10-29 14:50:05","2010-10-29 15:19:17","Basketball Value","Regular Season"
"5","NBA","2010-2011",2010-10-27,"20101027BOSCLE","http://www.nba.com/games/20101027/BOSCLE/boxscore.html","http://www.nba.com/games/20101027/BOSCLE/gameinfo.html","Cleveland Cavaliers","CLE","Boston Celtics","BOS","NULL","2010-11-01 15:01:17","2010-11-01 15:07:44","Basketball Value","Regular Season"
"6","NBA","2010-2011",2010-10-27,"20101027CHADAL","http://www.nba.com/games/20101027/CHADAL/boxscore.html","http://www.nba.com/games/20101027/CHADAL/gameinfo.html","Dallas Maverics","DAL","Charlotte Bobcats","CHA","NULL","2010-10-29 14:50:10","2010-10-29 15:19:20","Basketball Value","Regular Season"
"7","NBA","2010-2011",2010-10-27,"20101027CHIOKC","http://www.nba.com/games/20101027/CHIOKC/boxscore.html","http://www.nba.com/games/20101027/CHIOKC/gameinfo.html","Oklahoma City Thunder","OKC","Chicago Bulls","CHI","NULL","2010-11-01 15:01:21","2010-11-01 15:08:38","Basketball Value","Regular Season"
"8","NBA","2010-2011",2010-10-27,"20101027DETNJN","http://www.nba.com/games/20101027/DETNJN/boxscore.html","http://www.nba.com/games/20101027/DETNJN/gameinfo.html","New Jersey Nets","NJN","Detroit Pistons","DET","NULL","2010-11-01 15:01:24","2010-11-01 15:08:49","Basketball Value","Regular Season"
"9","NBA","2010-2011",2010-10-27,"20101027HOUGSW","http://www.nba.com/games/20101027/HOUGSW/boxscore.html","http://www.nba.com/games/20101027/HOUGSW/gameinfo.html","Golden State Warriors","GSW","Houston Rockets","HOU","NULL","2010-11-01 15:01:27","2010-11-01 15:14:48","Basketball Value","Regular Season"
"10","NBA","2010-2011",2010-10-27,"20101027INDSAS","http://www.nba.com/games/20101027/INDSAS/boxscore.html","http://www.nba.com/games/20101027/INDSAS/gameinfo.html","San Antonio Spurs","SAS","Indianapolis Pacers","IND","NULL","2010-11-01 15:01:31","2010-11-01 15:21:05","Basketball Value","Regular Season"
"11","NBA","2010-2011",2010-10-27,"20101027MIAPHI","http://www.nba.com/games/20101027/MIAPHI/boxscore.html","http://www.nba.com/games/20101027/MIAPHI/gameinfo.html","Philadelphia 76ers","PHI","Miami Heat","MIA","NULL","2010-11-01 15:01:34","2010-11-01 15:16:19","Basketball Value","Regular Season"
