"","PlayerID","PlayerName","PlayerTrueName","League","TeamName3","Season","GameIDFound","Source","Season.Type"
"1","1","J. Howard","J. Howard","NBA","DAL","2005-2006","20051122HOUDAL","Basketball Value","Regular Season"
"2","1","Howard","J. Howard","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"3","2","K. Thomas","K. Thomas","NBA","PHX","2005-2006","20051106SACPHX","Basketball Value","Regular Season"
"4","2","Thomas","K. Thomas","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"5","3","Dampier","Dampier","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"6","4","Marion","Marion","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"7","5","Nowitzki","Nowitzki","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"8","6","Terry","Terry","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"9","7","R. Bell","R. Bell","NBA","PHX","2005-2006","20060301MILPHX","Basketball Value","Regular Season"
"10","7","Bell","R. Bell","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"11","8","Nash","Nash","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"12","9","Christie","Christie","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"13","10","Jones","J. Jones","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"14","10","J. Jones","J. Jones","NBA","PHX","2005-2006","20051116MEMPHX","Basketball Value","Regular Season"
"15","11","Van Horn","Van Horn","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"16","12","Diaw","Diaw","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"17","13","J. Jackson","J. Jackson","NBA","LAL","2005-2006","Transaction Li","Basketball Value","Regular Season"
"18","13","J. Jackson","J. Jackson","NBA","PHX","2005-2006","20051103PHXLAL","Basketball Value","Regular Season"
"19","13","Jackson","J. Jackson","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"20","14","M. Daniels","M. Daniels","NBA","DAL","2005-2006","20060215WASDAL","Basketball Value","Regular Season"
"21","14","Daniels","M. Daniels","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"22","15","D. Harris","D. Harris","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"23","16","Barbosa","Barbosa","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"24","17","Diop","Diop","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"25","18","Grant","Grant","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"26","19","Armstrong","Armstrong","NBA","DAL","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"27","20","House","House","NBA","PHX","2005-2006","20051101DALPHX","Basketball Value","Regular Season"
"28","21","Martin","K. Martin","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"29","21","K. Martin","K. Martin","NBA","DEN","2005-2006","20051109SACDEN","Basketball Value","Regular Season"
"30","22","Nesterovic","Nesterovic","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"31","23","Camby","Camby","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"32","24","Ginobili","Ginobili","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"33","25","Anthony","Anthony","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"34","26","Duncan","Duncan","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"35","27","Lenard","V. Lenard","NBA","POR","2005-2006","Transaction Li","Basketball Value","Regular Season"
"36","27","Lenard","Lenard","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"37","28","Bowen","B. Bowen","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"38","28","B. Bowen","B. Bowen","NBA","SAN","2005-2006","20051117HOUSAS","Basketball Value","Regular Season"
"39","29","Finley","Finley","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"40","30","Parker","T. Parker","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"41","30","T. Parker","T. Parker","NBA","SAN","2005-2006","20051105SASDAL","Basketball Value","Regular Season"
"42","31","A. Miller","A. Miller","NBA","DEN","2005-2006","20051109SACDEN","Basketball Value","Regular Season"
"43","31","Miller","A. Miller","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"44","32","Horry","Horry","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"45","33","Barry","Barry","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"46","34","Nene","Nene","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"47","35","Boykins","Boykins","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"48","36","Najera","Najera","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"49","37","Oberto","Oberto","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"50","38","Van Exel","Van Exel","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"51","39","Buckner","Buckner","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"52","40","Mohammed","Mohammed","NBA","SAN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"53","41","D. Johnson","D. Johnson","NBA","DEN","2005-2006","20051115DENDAL","Basketball Value","Regular Season"
"54","41","Johnson","D. Johnson","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"55","42","Elson","Elson","NBA","DEN","2005-2006","20051101DENSAS","Basketball Value","Regular Season"
"56","44","Webber","Webber","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"57","45","Redd","Redd","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"58","46","Iverson","Iverson","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"59","47","Ford","T. Ford","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"60","47","T. Ford","T. Ford","NBA","MIL","2005-2006","20051212MILNYK","Basketball Value","Regular Season"
"61","48","Simmons","Simmons","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"62","49","Bogut","Bogut","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"63","50","Hunter","S. Hunter","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"64","50","S. Hunter","S. Hunter","NBA","PHL","2005-2006","20060329DETPHI","Basketball Value","Regular Season"
"65","51","Magloire","Magloire","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"66","52","Iguodala","Iguodala","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"67","53","J. Thomas","J. Thomas","NBA","CHI","2005-2006","Transaction Li","Basketball Value","Regular Season"
"68","53","Thomas","Thomas","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"69","53","Thomas","J. Thomas","NBA","CHI","2005-2006","Transaction Li","Basketball Value","Regular Season"
"70","54","Korver","Korver","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"71","55","M. Williams","M. Williams","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"72","55","Williams","M. Williams","NBA","MIL","2005-2006","20051102MILNJN","Basketball Value","Regular Season"
"73","56","Gadzuric","Gadzuric","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"74","57","Nailon","L. Nailon","NBA","CLE","2005-2006","Transaction Li","Basketball Value","Regular Season"
"75","57","Nailon","Nailon","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"76","58","Kukoc","Kukoc","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"77","59","Salmons","Salmons","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"78","60","Bell","C. Bell","NBA","MIL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"79","60","C. Bell","C. Bell","NBA","MIL","2005-2006","20060301MILPHX","Basketball Value","Regular Season"
"80","61","Ollie","Ollie","NBA","PHL","2005-2006","20051101MILPHI","Basketball Value","Regular Season"
"81","62","Wells","Wells","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"82","63","Smith","J. Smith","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"83","63","J. Smith","J. Smith","NBA","NOK","2005-2006","20051109ORLNOK","Basketball Value","Regular Season"
"84","64","Abdur-Rahim","Abdur-Rahim","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"85","65","Miller","B. Miller","NBA","SAC","2005-2006","20051102SACHOU","Basketball Value","Regular Season"
"86","65","B. Miller","B. Miller","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"87","66","Brown","P. Brown","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"88","66","P. Brown","P. Brown","NBA","NOK","2005-2006","20051102NOKCLE","Basketball Value","Regular Season"
"89","67","Stojakovic","Stojakovic","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"90","67","Stojakovic","P. Stojakovic","NBA","IND","2005-2006","Transaction Li","Basketball Value","Regular Season"
"91","68","Bibby","M. Bibby","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"92","68","M. Bibby","M. Bibby","NBA","SAC","2005-2006","20060124SACPHI","Basketball Value","Regular Season"
"93","69","D. West","D. West","NBA","NOK","2005-2006","20051207BOSNOK","Basketball Value","Regular Season"
"94","69","West","D. West","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"95","70","Paul","Paul","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"96","71","Nachbar","B. Nachbar","NBA","NJN","2005-2006","Transaction Li","Basketball Value","Regular Season"
"97","71","Nachbar","Nachbar","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"98","72","Claxton","Claxton","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"99","73","Andersen","Andersen","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"100","74","Thomas","K. Thomas","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"101","74","K. Thomas","K. Thomas","NBA","SAC","2005-2006","20051106SACPHX","Basketball Value","Regular Season"
"102","75","Hart","Hart","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"103","76","Butler","R. Butler","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"104","76","R. Butler","R. Butler","NBA","NOK","2005-2006","20060120NOKWAS","Basketball Value","Regular Season"
"105","77","K. Martin","K. Martin","NBA","SAC","2005-2006","20051109SACDEN","Basketball Value","Regular Season"
"106","77","Martin","K. Martin","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"107","78","Skinner","B. Skinner","NBA","POR","2005-2006","Transaction Li","Basketball Value","Regular Season"
"108","78","Skinner","Skinner","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"109","79","Mason","Mason","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"110","80","Garcia","Garcia","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"111","81","Vroman","Vroman","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"112","82","Williamson","Williamson","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"113","83","Bass","Bass","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"114","84","Macijauskas","Macijauskas","NBA","NOK","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"115","85","Price","Price","NBA","SAC","2005-2006","20051101SACNOK","Basketball Value","Regular Season"
"116","86","J. Johnson","J. Johnson","NBA","ATL","2005-2006","20051117ATLDAL","Basketball Value","Regular Season"
"117","86","Johnson","J. Johnson","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"118","87","Davis","B. Davis","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"119","87","B. Davis","B. Davis","NBA","GOS","2005-2006","20051106GSWNYK","Basketball Value","Regular Season"
"120","88","Pachulia","Pachulia","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"121","89","Murphy","Murphy","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"122","90","J. Richardson","J. Richardson","NBA","GOS","2005-2006","20051106GSWNYK","Basketball Value","Regular Season"
"123","90","Richardson","J. Richardson","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"124","91","Childress","Childress","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"125","92","M. Dunleavy","M. Dunleavy","NBA","GOS","2005-2006","20051120GSWLAC","Basketball Value","Regular Season"
"126","92","Dunleavy","M. Dunleavy","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"127","93","Foyle","Foyle","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"128","94","J. Smith","J. Smith","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"129","95","Harrington","A. Harrington","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"130","95","A. Harrington","A. Harrington","NBA","ATL","2005-2006","20060128ATLCHI","Basketball Value","Regular Season"
"131","96","Lue","Lue","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"132","97","M. Williams","M. Williams","NBA","ATL","2005-2006","20051105ATLPOR","Basketball Value","Regular Season"
"133","97","Williams","M. Williams","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"134","98","Pietrus","Pietrus","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"135","99","Edwards","Edwards","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"136","100","Stoudamire","S. Stoudamire","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"137","100","S. Stoudamire","S. Stoudamire","NBA","ATL","2005-2006","20051112MEMATL","Basketball Value","Regular Season"
"138","101","Biedrins","Biedrins","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"139","102","Batista","Batista","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"140","103","Fisher","Fisher","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"141","104","Taft","Taft","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"142","105","Cheaney","Cheaney","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"143","106","D. Smith","D. Smith","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"144","107","Cabarkapa","Cabarkapa","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"145","108","A. Miles","A. Miles","NBA","GOS","2005-2006","20051104UTAGSW","Basketball Value","Regular Season"
"146","108","Miles","A. Miles","NBA","GOS","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"147","109","Ivey","Ivey","NBA","ATL","2005-2006","20051102ATLGSW","Basketball Value","Regular Season"
"148","110","Hinrich","Hinrich","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"149","111","G. Wallace","G. Wallace","NBA","CHA","2005-2006","20051217DETCHA","Basketball Value","Regular Season"
"150","111","Wallace","G. Wallace","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"151","112","Nocioni","Nocioni","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"152","113","Duhon","Duhon","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"153","114","Knight","Knight","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"154","115","Brezec","Brezec","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"155","116","Rush","Rush","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"156","117","Okafor","Okafor","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"157","118","Chandler","Chandler","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"158","119","Gordon","Gordon","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"159","120","Sweetney","Sweetney","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"160","121","Songaila","Songaila","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"161","122","Deng","Deng","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"162","123","Ely","Ely","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"163","124","Harrington","O. Harrington","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"164","124","O. Harrington","O. Harrington","NBA","CHI","2005-2006","20060128ATLCHI","Basketball Value","Regular Season"
"165","125","Left1105-Tim T.","T. Thomas","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"166","125","T. Thomas","T. Thomas","NBA","PHX","2005-2006","Transaction Li","Basketball Value","Regular Season"
"167","126","Felton","Felton","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"168","127","May","May","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"169","128","Carroll","Carroll","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"170","129","Jones","J. Jones","NBA","CHA","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"171","129","J. Jones","J. Jones","NBA","CHA","2005-2006","20051118CHAIND","Basketball Value","Regular Season"
"172","130","Allen","M. Allen","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"173","130","M. Allen","M. Allen","NBA","CHI","2005-2006","20051217BOSCHI","Basketball Value","Regular Season"
"174","131","Piatkowski","Piatkowski","NBA","CHI","2005-2006","20051102CHACHI","Basketball Value","Regular Season"
"175","132","Okur","Okur","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"176","133","Giricek","Giricek","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"177","134","McLeod","McLeod","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"178","135","Ostertag","Ostertag","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"179","136","Kirilenko","Kirilenko","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"180","137","J. Collins","J. Collins","NBA","UTH","2005-2006","20051109UTANJN","Basketball Value","Regular Season"
"181","137","Collins","J. Collins","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"182","138","Harpring","Harpring","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"183","139","Williams","D. Williams","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
"184","139","D. Williams","D. Williams","NBA","UTH","2005-2006","20051111UTATOR","Basketball Value","Regular Season"
"185","140","Brown","D. Brown","NBA","UTH","2005-2006","20051102DALUTA","Basketball Value","Regular Season"
