"","A","B","C","D","Season","F","G","H","I","Source","Season.Type"
"1","PlayerID","PlayerName","PlayerTrueName","League","TeamName3","Year","Comment","StartDate","EndDate","Basketball Value","Regular Season"
"2","1","Howard","Howard, Josh","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"3","2","Thomas","Thomas, Kurt","NBA","SAS","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"4","3","Dampier","Dampier, Erick","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"5","4","Marion","Marion, Shawn","NBA","TOR","2008-2009","20090218CLETOR","2009-02-13","2009-07-01","Basketball Value","Regular Season"
"6","4","Marion","Marion, Shawn","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-02-13","Basketball Value","Regular Season"
"7","5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"8","6","Terry","Terry, Jason","NBA","DAL","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"9","7","Bell","Bell, Raja","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-12","Basketball Value","Regular Season"
"10","7","R. Bell","Bell, Raja","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-12","Basketball Value","Regular Season"
"11","7","Bell","Bell, Raja","NBA","CHA","2008-2009","Trade","2008-12-13","2009-07-01","Basketball Value","Regular Season"
"12","8","Nash","Nash, Steve","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"13","10","Jones","Jones, James","NBA","MIA","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
"14","12","Diaw","Diaw, Boris","NBA","CHA","2008-2009","Trade","2008-12-13","2009-07-01","Basketball Value","Regular Season"
"15","12","Diaw","Diaw, Boris","NBA","PHX","2008-2009","SeasonStart","2008-10-28","2008-12-12","Basketball Value","Regular Season"
"16","14","M. Daniels","Daniels, Marquis","NBA","IND","2008-2009","SeasonStart","2008-10-28","2009-07-01","Basketball Value","Regular Season"
