"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"1","Howard","Howard, Josh","NBA","WAS","2010-2011",3.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"2","Thomas","Thomas, Kurt","NBA","CHI","2010-2011",4.48,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"3","Dampier","Dampier, Erick","NBA","MIA","2010-2011",4.99,"20101127MIADAL","2010-11-23","2011-07-01","Basketball Value","Regular Season"
"4","Marion","Marion, Shawn","NBA","DAL","2010-2011",3.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"5","Nowitzki","Nowitzki, Dirk","NBA","DAL","2010-2011",4.02,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"6","Terry","Terry, Jason","NBA","DAL","2010-2011",1.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"7","Bell","Bell, Raja","NBA","UTA","2010-2011",1.98,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"8","Nash","Nash, Steve","NBA","PHX","2010-2011",1,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"10","Jones","Jones, James","NBA","MIA","2010-2011",2.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"12","Diaw","Diaw, Boris","NBA","CHA","2010-2011",4.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"14","Daniels","Daniels, Marquis","NBA","BOS","2010-2011",2.48,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"15","Harris","Harris, Devin","NBA","UTA","2010-2011",1,"20110225UTAIND","2011-02-23","2011-07-01","Basketball Value","Regular Season"
"15","Harris","Harris, Devin","NBA","NJN","2010-2011",1,"SeasonStart","2010-10-25","2011-02-23","Basketball Value","Regular Season"
"16","Barbosa","Barbosa, Leandro","NBA","TOR","2010-2011",1.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"17","Diop","Diop, DeSagana","NBA","CHA","2010-2011",5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"20","House","House, Eddie","NBA","MIA","2010-2011",1.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"21","Martin","Martin, Kenyon","NBA","DEN","2010-2011",4.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"23","Camby","Camby, Marcus","NBA","POR","2010-2011",4.51,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"24","Ginobili","Ginobili, Manu","NBA","SAS","2010-2011",2.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"25","Anthony","Anthony, Carmelo","NBA","NYK","2010-2011",3,"20110223MILNYK","2011-02-22","2011-07-01","Basketball Value","Regular Season"
